alp,alt,bil,cre,crp,wbc,pct,0
True,True,True,True,True,True,False,7393
False,False,False,False,False,False,False,4196
False,False,False,True,True,True,False,1473
True,False,False,True,True,True,False,526
True,True,True,True,False,True,False,303
False,False,False,False,False,True,False,247
False,False,False,True,False,True,False,216
True,True,True,True,True,True,True,181
False,False,False,True,False,False,False,119
False,False,False,False,True,True,False,109
True,True,True,True,True,False,False,105
False,False,False,False,True,False,False,88
False,False,False,False,False,False,True,62
True,True,True,False,False,False,False,56
True,True,True,False,True,True,False,55
True,True,True,True,False,False,False,52
False,False,False,True,True,False,False,47
True,True,True,False,False,True,False,43
True,False,False,True,False,True,False,43
True,False,False,True,True,False,False,20
True,True,True,False,True,False,False,15
True,False,False,True,False,False,False,15
True,True,False,True,True,True,False,14
True,False,False,False,False,False,False,13
False,False,True,False,False,False,False,11
True,False,False,True,True,True,True,8
True,False,True,True,True,True,False,8
True,False,False,False,True,True,False,8
False,True,True,False,False,True,False,7
False,True,True,True,True,True,False,7
True,False,True,False,True,True,False,7
True,True,False,False,True,True,False,7
True,True,False,True,False,False,False,7
False,False,True,True,False,False,False,6
True,False,False,False,True,False,False,6
True,False,False,False,False,True,False,6
False,True,False,False,False,False,False,6
False,True,True,False,False,False,False,5
True,False,True,False,False,False,False,5
True,True,False,False,True,False,False,5
False,True,False,True,False,False,False,5
False,False,False,True,True,True,True,4
False,False,True,True,False,True,False,4
True,True,False,False,False,True,False,4
False,True,False,True,True,False,False,4
False,True,False,True,True,True,False,4
False,True,True,True,False,False,False,4
True,False,True,True,True,False,False,4
False,True,True,True,True,False,False,4
False,True,True,False,True,False,False,4
True,True,False,False,False,False,False,4
True,True,True,True,True,False,True,3
True,True,False,True,True,False,False,3
False,True,False,False,False,True,False,3
False,True,True,False,True,True,False,3
True,False,True,True,False,False,False,3
True,False,True,False,True,False,False,3
True,False,True,False,False,True,False,3
False,False,True,False,True,True,False,3
False,False,True,False,True,False,False,3
False,False,True,False,False,True,False,3
True,False,True,True,False,True,False,3
True,True,False,True,False,True,False,2
True,True,True,True,False,True,True,2
True,True,True,False,True,True,True,2
False,False,True,True,True,False,False,2
False,False,True,True,True,True,False,2
False,True,True,True,False,True,False,2
False,True,False,False,True,False,False,2
False,True,False,False,True,True,False,1
False,False,False,True,False,False,True,1
False,True,False,True,False,True,False,1
False,True,True,False,True,True,True,1
False,False,False,False,True,False,True,1
True,True,True,False,True,False,True,1
False,True,True,True,True,False,True,1
