alp,alt,bil,cre,crp,wbc,0
True,True,True,True,True,True,7574
False,False,False,False,False,False,4258
False,False,False,True,True,True,1477
True,False,False,True,True,True,534
True,True,True,True,False,True,305
False,False,False,False,False,True,247
False,False,False,True,False,True,216
False,False,False,True,False,False,120
False,False,False,False,True,True,109
True,True,True,True,True,False,108
False,False,False,False,True,False,89
True,True,True,False,True,True,57
True,True,True,False,False,False,56
True,True,True,True,False,False,52
False,False,False,True,True,False,47
True,False,False,True,False,True,43
True,True,True,False,False,True,43
True,False,False,True,True,False,20
True,True,True,False,True,False,16
True,False,False,True,False,False,15
True,True,False,True,True,True,14
True,False,False,False,False,False,13
False,False,True,False,False,False,11
True,False,True,True,True,True,8
True,False,False,False,True,True,8
False,True,True,False,False,True,7
False,True,True,True,True,True,7
True,True,False,True,False,False,7
True,False,True,False,True,True,7
True,True,False,False,True,True,7
True,False,False,False,True,False,6
True,False,False,False,False,True,6
False,False,True,True,False,False,6
False,True,False,False,False,False,6
True,False,True,False,False,False,5
False,True,True,False,False,False,5
True,True,False,False,True,False,5
False,True,False,True,False,False,5
False,True,True,True,True,False,5
False,True,True,True,False,False,4
False,True,False,True,True,False,4
False,True,True,False,True,False,4
True,True,False,False,False,True,4
False,True,True,False,True,True,4
True,True,False,False,False,False,4
True,False,True,True,True,False,4
False,False,True,True,False,True,4
False,True,False,True,True,True,4
False,False,True,False,True,False,3
True,True,False,True,True,False,3
True,False,True,False,True,False,3
True,False,True,True,False,False,3
False,False,True,False,False,True,3
True,False,True,True,False,True,3
False,False,True,False,True,True,3
False,True,False,False,False,True,3
True,False,True,False,False,True,3
False,False,True,True,True,False,2
False,False,True,True,True,True,2
False,True,True,True,False,True,2
True,True,False,True,False,True,2
False,True,False,False,True,False,2
False,True,False,False,True,True,1
False,True,False,True,False,True,1
