,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,imb_sens_micro,power_t,imb_spec,solver,prec_score,learning_rate_init,confusion_matrix,imb_sens_spec_supp,imb_spec_micro,alpha,pr_curve,zero_one_loss,accuracy,batch_size,max_iter,imb_sens,avg_prec_score,matthews_corrcoef,hinge_loss,log_loss,fbeta_score,momentum,warm_start,imb_sens_spec_supp_micro,roc_curve,activation,rec_score,imb_report_0.1,imb_report_0.3,bal_report,learning_rate,X,y,tol,hidden_layer_sizes,hamming_loss,roc_auc_score,cohen_kappa_score,f1_score
0,HOS,0,0,0.7001301023077238,0.8298228772450489,0.6031606672519754,0.7029360967184801,0.6511400810364982,0.2893788046626071,0.6367869615832363,687,407,172,452,579,1139,0.47380675203725264,0.79976717112922,0.7029360967184801,0.6031606672519754,0.5660639777468707,0.6876876876876877,1.7713367569963467,2.030407129877289,0.39683933274802463,0.6031606672519754,0.6367869615832363,0.5,[0.60316067 0.7029361 ],adam,0.6367869615832363,0.001,"[[407 172]
 [452 687]]","(array([0.7029361 , 0.60316067]), array([0.60316067, 0.7029361 ]), array([ 579, 1139], dtype=int32))",0.6367869615832363,1.0,,0.36321303841676367,0.6367869615832363,auto,1000,[0.7029361  0.60316067],0.7454847245658989,0.2893788046626071,,12.545013970420406,0.6367869615832364,0.9,False,"(0.6367869615832363, 0.6367869615832363, None)","(array([0.       , 0.2970639, 1.       ]), array([0.        , 0.60316067, 1.        ]), array([2, 1, 0]))",logistic,0.6367869615832363,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.70      0.60      0.57      0.65      0.43       579
          1       0.80      0.60      0.70      0.69      0.65      0.42      1139

avg / total       0.69      0.64      0.67      0.65      0.65      0.42      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.70      0.60      0.57      0.65      0.44       579
          1       0.80      0.60      0.70      0.69      0.65      0.41      1139

avg / total       0.69      0.64      0.67      0.65      0.65      0.42      1718
","              precision    recall  f1-score   support

           0       0.47      0.70      0.57       579
           1       0.80      0.60      0.69      1139

    accuracy                           0.64      1718
   macro avg       0.64      0.65      0.63      1718
weighted avg       0.69      0.64      0.65      1718
",constant,"[[-1.00204666 -0.69671164 -0.29604536 ...  0.46646721 -0.43250518
  -0.72333417]
 [-1.51912211  0.73157816  0.36496237 ...  0.03367889  0.02394568
  -0.4097723 ]
 [-0.35570234 -0.68934932 -0.42824691 ...  0.52829411 -0.72297391
  -0.54913313]
 ...
 [ 0.67987414 -0.37032422 -0.18614758 ...  0.01216082 -0.88307428
  -1.55949918]
 [ 0.41110742 -0.55503692 -0.42824691 ...  0.03367889 -0.09731131
   0.1217771 ]
 [-0.10835333 -0.5598186  -0.29918115 ... -0.03944312  1.10326245
   0.5388695 ]]",[1 1 1 ... 0 0 0],0.0001,"(1,)",0.36321303841676367,0.6530483819852277,0.27357392316647267,0.6367869615832363
36,HOS,0,1,0.6970837673867785,0.8262726531139909,0.6066725197541704,0.7012089810017271,0.652230188950628,0.29107099612446585,0.6385331781140862,691,406,173,448,579,1139,0.47540983606557374,0.7997685185185185,0.7012089810017271,0.6066725197541704,0.5666434054431263,0.689965052421368,1.782761226252159,2.0304242135125126,0.39332748024582964,0.6066725197541704,0.6385331781140862,0.5,[0.60667252 0.70120898],adam,0.6385331781140862,0.001,"[[406 173]
 [448 691]]","(array([0.70120898, 0.60667252]), array([0.60667252, 0.70120898]), array([ 579, 1139], dtype=int32))",0.6385331781140862,1.0,,0.36146682188591384,0.6385331781140862,auto,1000,[0.70120898 0.60667252],0.7459659176232634,0.29107099612446585,,12.484702253547706,0.6385331781140862,0.9,False,"(0.6385331781140862, 0.6385331781140862, None)","(array([0.        , 0.29879102, 1.        ]), array([0.        , 0.60667252, 1.        ]), array([2, 1, 0]))",logistic,0.6385331781140862,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.70      0.61      0.57      0.65      0.43       579
          1       0.80      0.61      0.70      0.69      0.65      0.42      1139

avg / total       0.69      0.64      0.67      0.65      0.65      0.42      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.70      0.61      0.57      0.65      0.44       579
          1       0.80      0.61      0.70      0.69      0.65      0.41      1139

avg / total       0.69      0.64      0.67      0.65      0.65      0.42      1718
","              precision    recall  f1-score   support

           0       0.48      0.70      0.57       579
           1       0.80      0.61      0.69      1139

    accuracy                           0.64      1718
   macro avg       0.64      0.65      0.63      1718
weighted avg       0.69      0.64      0.65      1718
",constant,"[[-1.01797571e+00 -6.93844056e-01 -2.96782712e-01 ...  4.91490523e-01
  -4.40161207e-01 -6.98232886e-01]
 [-1.53950096e+00  7.41320859e-01  3.54074538e-01 ...  1.35281426e-02
   8.77980052e-03 -3.97652100e-01]
 [-3.66069147e-01 -6.86446298e-01 -4.26954162e-01 ...  5.59770863e-01
  -7.25850939e-01 -5.31243560e-01]
 ...
 [-9.62791713e-01 -5.23173787e-01 -4.22668982e-01 ... -5.73833003e-03
  -1.01554824e+00  1.37128370e-01]
 [ 5.87562670e-01 -4.84184323e-01 -4.26954162e-01 ... -1.12215175e-03
  -4.24993174e-01 -2.33733670e-01]
 [ 6.87773185e-01 -5.03339332e-01 -8.03286692e-02 ... -9.17181941e-02
  -4.40505971e-01  3.04986011e+00]]",[1 1 1 ... 0 0 0],0.0001,"(1,)",0.36146682188591384,0.6539407503779487,0.275692108825618,0.6385331781140862
72,HOS,0,2,0.6922860552464741,0.8275025276805796,0.5908691834942933,0.7426597582037997,0.6624309510763733,0.315605640080117,0.6420256111757858,673,430,149,466,579,1139,0.4799107142857143,0.818734793187348,0.7426597582037997,0.5908691834942933,0.5830508474576273,0.6863844977052526,1.8152134433350386,2.296062129148966,0.4091308165057067,0.5908691834942933,0.6420256111757858,0.5,[0.59086918 0.74265976],adam,0.6420256111757858,0.001,"[[430 149]
 [466 673]]","(array([0.74265976, 0.59086918]), array([0.59086918, 0.74265976]), array([ 579, 1139], dtype=int32))",0.6420256111757858,1.0,,0.3579743888242142,0.6420256111757858,auto,1000,[0.74265976 0.59086918],0.7550107932076502,0.315605640080117,,12.364066718793463,0.6420256111757858,0.9,False,"(0.6420256111757858, 0.6420256111757858, None)","(array([0.        , 0.25734024, 1.        ]), array([0.        , 0.59086918, 1.        ]), array([2, 1, 0]))",logistic,0.6420256111757858,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.74      0.59      0.58      0.66      0.45       579
          1       0.82      0.59      0.74      0.69      0.66      0.43      1139

avg / total       0.70      0.64      0.69      0.65      0.66      0.44      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.74      0.59      0.58      0.66      0.46       579
          1       0.82      0.59      0.74      0.69      0.66      0.42      1139

avg / total       0.70      0.64      0.69      0.65      0.66      0.43      1718
","              precision    recall  f1-score   support

           0       0.48      0.74      0.58       579
           1       0.82      0.59      0.69      1139

    accuracy                           0.64      1718
   macro avg       0.65      0.67      0.63      1718
weighted avg       0.70      0.64      0.65      1718
",constant,"[[-1.01349531 -0.69507339 -0.29318746 ...  0.4762582  -0.44089484
  -0.73115275]
 [-1.53623885  0.73487001  0.36926589 ...  0.02982712  0.01120687
  -0.41464402]
 [-1.1441812   0.13783179 -0.3285183  ... -0.09772461  2.68271695
   1.34373781]
 ...
 [-0.55122653  0.95050385 -0.42567812 ...  0.05933934  2.87489156
   1.4516763 ]
 [ 0.81716551 -0.60653374  0.07771488 ...  0.25265528 -0.30472648
  -0.69683957]
 [-0.74332414 -0.56234308 -0.42514948 ... -0.28952935 -0.50867763
  -0.00863759]]",[1 1 0 ... 0 0 0],0.0001,"(1,)",0.35797438882421423,0.6667644708490466,0.29396411049381155,0.6420256111757858
108,HOS,0,3,0.6959040518225695,0.8277067867772088,0.5987708516242318,0.7271157167530224,0.6598300515659854,0.3081631494788457,0.6420256111757858,682,421,158,457,579,1139,0.479498861047836,0.8119047619047619,0.7271157167530224,0.5987708516242318,0.5778997940974606,0.6892369883779687,1.8122205719511875,2.1942298929774062,0.4012291483757682,0.5987708516242318,0.6420256111757858,0.5,[0.59877085 0.72711572],adam,0.6420256111757858,0.001,"[[421 158]
 [457 682]]","(array([0.72711572, 0.59877085]), array([0.59877085, 0.72711572]), array([ 579, 1139], dtype=int32))",0.6420256111757858,1.0,,0.3579743888242142,0.6420256111757858,auto,1000,[0.72711572 0.59877085],0.7521518905896067,0.3081631494788457,,12.364070907604214,0.6420256111757858,0.9,False,"(0.6420256111757858, 0.6420256111757858, None)","(array([0.        , 0.27288428, 1.        ]), array([0.        , 0.59877085, 1.        ]), array([2, 1, 0]))",logistic,0.6420256111757858,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.73      0.60      0.58      0.66      0.44       579
          1       0.81      0.60      0.73      0.69      0.66      0.43      1139

avg / total       0.70      0.64      0.68      0.65      0.66      0.43      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.73      0.60      0.58      0.66      0.45       579
          1       0.81      0.60      0.73      0.69      0.66      0.42      1139

avg / total       0.70      0.64      0.68      0.65      0.66      0.43      1718
","              precision    recall  f1-score   support

           0       0.48      0.73      0.58       579
           1       0.81      0.60      0.69      1139

    accuracy                           0.64      1718
   macro avg       0.65      0.66      0.63      1718
weighted avg       0.70      0.64      0.65      1718
",constant,"[[-1.00214967 -0.68108632 -0.28337373 ...  0.47904704 -0.44334284
  -0.72292778]
 [-0.35026779 -0.67384496 -0.41355611 ...  0.54364049 -0.73104091
  -0.55036462]
 [ 0.95349598 -0.73901716 -0.1011184  ...  0.28526668  0.10465349
  -0.48133936]
 ...
 [ 1.04713098 -0.50897273 -0.09378105 ...  0.45085976 -0.37282903
   0.02094804]
 [-1.26290243 -0.56063817 -0.13529947 ...  0.28659204 -0.66282247
  -0.2671821 ]
 [ 0.43562037 -0.42836135 -0.12922893 ... -0.0086261  -0.79588504
  -0.85821555]]",[1 1 1 ... 0 0 0],0.0001,"(1,)",0.35797438882421423,0.6629432841886271,0.2891761448114305,0.6420256111757858
144,HOS,0,4,0.7016525115962401,0.8289377136721087,0.6005267778753293,0.7150259067357513,0.6552802483437192,0.29833849180862404,0.6391152502910361,684,414,165,455,579,1139,0.476409666283084,0.8056537102473498,0.7150259067357513,0.6005267778753293,0.5718232044198894,0.6881287726358148,1.7899219951033423,2.1073030569079734,0.39947322212467073,0.6005267778753293,0.6391152502910361,0.5,[0.60052678 0.71502591],adam,0.6391152502910361,0.001,"[[414 165]
 [455 684]]","(array([0.71502591, 0.60052678]), array([0.60052678, 0.71502591]), array([ 579, 1139], dtype=int32))",0.6391152502910361,1.0,,0.3608847497089639,0.6391152502910361,auto,1000,[0.71502591 0.60052678],0.7486594672103686,0.29833849180862404,,12.464594469394996,0.6391152502910361,0.9,False,"(0.6391152502910361, 0.6391152502910361, None)","(array([0.        , 0.28497409, 1.        ]), array([0.        , 0.60052678, 1.        ]), array([2, 1, 0]))",logistic,0.6391152502910361,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.72      0.60      0.57      0.66      0.43       579
          1       0.81      0.60      0.72      0.69      0.66      0.42      1139

avg / total       0.69      0.64      0.68      0.65      0.66      0.43      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.72      0.60      0.57      0.66      0.44       579
          1       0.81      0.60      0.72      0.69      0.66      0.41      1139

avg / total       0.69      0.64      0.68      0.65      0.66      0.42      1718
","              precision    recall  f1-score   support

           0       0.48      0.72      0.57       579
           1       0.81      0.60      0.69      1139

    accuracy                           0.64      1718
   macro avg       0.64      0.66      0.63      1718
weighted avg       0.69      0.64      0.65      1718
",constant,"[[-1.02456199 -0.68641278 -0.30155207 ...  0.49468542 -0.43883818
  -0.71652487]
 [-1.55000897  0.75196219  0.41019123 ...  0.01621064  0.01094328
  -0.40432257]
 [-0.36775327 -0.67899848 -0.44390073 ...  0.56303896 -0.72506274
  -0.54307915]
 ...
 [ 1.85190846  0.33634592  1.47288405 ...  0.01684867 -0.22610576
  -0.54939326]
 [ 0.52167866 -0.46079489 -0.29789437 ...  0.13115063 -0.26469466
   0.26785598]
 [-1.33650963 -0.23969685 -0.31697581 ...  1.0501529  -0.72167803
  -0.22437744]]",[1 1 1 ... 0 0 0],0.0001,"(1,)",0.3608847497089639,0.6577763423055404,0.28095900934410356,0.6391152502910361
180,HOS,0,5,0.7033978234399475,0.8294015303694067,0.6101843722563652,0.7046632124352331,0.6557243932720106,0.2976615689342188,0.6420256111757858,695,408,171,444,579,1139,0.4788732394366197,0.8025404157043879,0.7046632124352331,0.6101843722563652,0.5702306079664571,0.6932668329177057,1.8076833309993932,2.0660628744820784,0.38981562774363476,0.6101843722563652,0.6420256111757858,0.5,[0.61018437 0.70466321],adam,0.6420256111757858,0.001,"[[408 171]
 [444 695]]","(array([0.70466321, 0.61018437]), array([0.61018437, 0.70466321]), array([ 579, 1139], dtype=int32))",0.6420256111757858,1.0,,0.3579743888242142,0.6420256111757858,auto,1000,[0.70466321 0.61018437],0.7481376663327185,0.2976615689342188,,12.364076958108633,0.6420256111757858,0.9,False,"(0.6420256111757858, 0.6420256111757858, None)","(array([0.        , 0.29533679, 1.        ]), array([0.        , 0.61018437, 1.        ]), array([2, 1, 0]))",logistic,0.6420256111757858,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.70      0.61      0.57      0.66      0.43       579
          1       0.80      0.61      0.70      0.69      0.66      0.43      1139

avg / total       0.69      0.64      0.67      0.65      0.66      0.43      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.70      0.61      0.57      0.66      0.44       579
          1       0.80      0.61      0.70      0.69      0.66      0.42      1139

avg / total       0.69      0.64      0.67      0.65      0.66      0.43      1718
","              precision    recall  f1-score   support

           0       0.48      0.70      0.57       579
           1       0.80      0.61      0.69      1139

    accuracy                           0.64      1718
   macro avg       0.64      0.66      0.63      1718
weighted avg       0.69      0.64      0.65      1718
",constant,"[[-1.00370759 -0.70694034 -0.30147133 ...  0.47604483 -0.4437043
  -0.70710057]
 [-1.51888181  0.75140369  0.37153896 ...  0.02334141  0.00485422
  -0.40845417]
 [-0.35973982 -0.6994231  -0.43607339 ...  0.54071675 -0.72915062
  -0.5411859 ]
 ...
 [ 2.01444663 -0.14442724 -0.18555472 ... -0.14544722 -0.03771678
  -0.38247271]
 [ 0.73403914 -0.48826369  0.12133508 ...  0.15171486 -0.19339757
   0.82080808]
 [ 2.09710041 -0.66237018 -0.27038247 ...  0.01843921 -0.52423005
   0.17751977]]",[1 1 1 ... 0 0 0],0.0001,"(1,)",0.35797438882421423,0.6574237923457993,0.2821444149575838,0.6420256111757858
216,HOS,0,6,0.7032067641069266,0.8283576911831081,0.6057945566286216,0.7012089810017271,0.6517580714881472,0.29023920019251553,0.6379511059371362,690,406,173,449,579,1139,0.47485380116959064,0.7995365005793743,0.7012089810017271,0.6057945566286216,0.5662482566248256,0.6893106893106893,1.778790711271642,2.027485828254173,0.3942054433713784,0.6057945566286216,0.6379511059371362,0.5,[0.60579456 0.70120898],adam,0.6379511059371362,0.001,"[[406 173]
 [449 690]]","(array([0.70120898, 0.60579456]), array([0.60579456, 0.70120898]), array([ 579, 1139], dtype=int32))",0.6379511059371362,1.0,,0.3620488940628638,0.6379511059371362,auto,1000,[0.70120898 0.60579456],0.7457052673274056,0.29023920019251553,,12.504806314313077,0.6379511059371363,0.9,False,"(0.6379511059371362, 0.6379511059371362, None)","(array([0.        , 0.29879102, 1.        ]), array([0.        , 0.60579456, 1.        ]), array([2, 1, 0]))",logistic,0.6379511059371362,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.70      0.61      0.57      0.65      0.43       579
          1       0.80      0.61      0.70      0.69      0.65      0.42      1139

avg / total       0.69      0.64      0.67      0.65      0.65      0.42      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.70      0.61      0.57      0.65      0.44       579
          1       0.80      0.61      0.70      0.69      0.65      0.41      1139

avg / total       0.69      0.64      0.67      0.65      0.65      0.42      1718
","              precision    recall  f1-score   support

           0       0.47      0.70      0.57       579
           1       0.80      0.61      0.69      1139

    accuracy                           0.64      1718
   macro avg       0.64      0.65      0.63      1718
weighted avg       0.69      0.64      0.65      1718
",constant,"[[-1.02023364 -0.69567551 -0.30764956 ...  0.48493852 -0.43823426
  -0.70903241]
 [-1.54063494  0.71556936  0.39604409 ...  0.02255307  0.01289413
  -0.4076094 ]
 [-0.36973202 -0.68840105 -0.4483883  ...  0.55099359 -0.72531597
  -0.54157518]
 ...
 [-0.5245055   0.12790611 -0.20100382 ...  0.08860813 -0.62649875
   0.39856906]
 [-0.10470655 -0.26594293 -0.2027075  ... -0.15115846 -0.80431528
  -0.10804946]
 [ 0.11830002  0.09726366 -0.04028343 ... -0.05993665 -0.51317127
  -1.34520941]]",[1 1 1 ... 0 0 0],0.0001,"(1,)",0.3620488940628638,0.6535017688151744,0.2748014620752184,0.6379511059371362
252,HOS,0,7,0.703256803456051,0.8306702110516865,0.5935030728709394,0.7271157167530224,0.6569211613471394,0.30323613764681684,0.6385331781140862,676,421,158,463,579,1139,0.4762443438914027,0.8105515587529976,0.7271157167530224,0.5935030728709394,0.5755297334244703,0.6852508869741509,1.788736072098688,2.17492581767262,0.4064969271290606,0.5935030728709394,0.6385331781140862,0.5,[0.59350307 0.72711572],adam,0.6385331781140862,0.001,"[[421 158]
 [463 676]]","(array([0.72711572, 0.59350307]), array([0.59350307, 0.72711572]), array([ 579, 1139], dtype=int32))",0.6385331781140862,1.0,,0.36146682188591384,0.6385331781140862,auto,1000,[0.72711572 0.59350307],0.7505642587680569,0.30323613764681684,,12.48469527219645,0.6385331781140862,0.9,False,"(0.6385331781140862, 0.6385331781140862, None)","(array([0.        , 0.27288428, 1.        ]), array([0.        , 0.59350307, 1.        ]), array([2, 1, 0]))",logistic,0.6385331781140862,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.73      0.59      0.58      0.66      0.44       579
          1       0.81      0.59      0.73      0.69      0.66      0.43      1139

avg / total       0.70      0.64      0.68      0.65      0.66      0.43      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.73      0.59      0.58      0.66      0.45       579
          1       0.81      0.59      0.73      0.69      0.66      0.41      1139

avg / total       0.70      0.64      0.68      0.65      0.66      0.43      1718
","              precision    recall  f1-score   support

           0       0.48      0.73      0.58       579
           1       0.81      0.59      0.69      1139

    accuracy                           0.64      1718
   macro avg       0.64      0.66      0.63      1718
weighted avg       0.70      0.64      0.65      1718
",constant,"[[-1.5370214   0.74548618  0.32753061 ...  0.02586583  0.00939596
  -0.40788627]
 [-0.35861422 -0.68685401 -0.40881045 ...  0.54063646 -0.72924564
  -0.54485575]
 [-1.144219    0.14434859 -0.31881321 ... -0.10282683  2.67671287
   1.3042322 ]
 ...
 [-0.19413115 -0.03864987  1.1648641  ... -0.18757413  0.57021644
   0.93674988]
 [ 0.40158788 -0.05459077 -0.3445165  ... -0.06393001 -0.82254648
   0.19761409]
 [ 0.08589782 -0.64388486 -0.25164138 ...  0.47629013 -0.08749412
   2.84625675]]",[1 1 0 ... 0 0 0],0.0001,"(1,)",0.36146682188591384,0.6603093948119809,0.283860106513658,0.6385331781140862
288,HOS,0,8,0.7047200753319656,0.8304296519086822,0.6136962247585601,0.7029360967184801,0.6568022752721319,0.2993681588036284,0.6437718277066357,699,407,172,440,579,1139,0.4805194805194805,0.8025258323765786,0.7029360967184801,0.6136962247585601,0.5708274894810659,0.6955223880597015,1.8196459412780654,2.0658727566000366,0.3863037752414399,0.6136962247585601,0.6437718277066357,0.5,[0.61369622 0.7029361 ],adam,0.6437718277066357,0.001,"[[407 172]
 [440 699]]","(array([0.7029361 , 0.61369622]), array([0.61369622, 0.7029361 ]), array([ 579, 1139], dtype=int32))",0.6437718277066357,1.0,,0.35622817229336434,0.6437718277066357,auto,1000,[0.7029361  0.61369622],0.7486188314587017,0.2993681588036284,,12.303765241235931,0.6437718277066355,0.9,False,"(0.6437718277066357, 0.6437718277066357, None)","(array([0.       , 0.2970639, 1.       ]), array([0.        , 0.61369622, 1.        ]), array([2, 1, 0]))",logistic,0.6437718277066357,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.70      0.61      0.57      0.66      0.44       579
          1       0.80      0.61      0.70      0.70      0.66      0.43      1139

avg / total       0.69      0.64      0.67      0.65      0.66      0.43      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.70      0.61      0.57      0.66      0.44       579
          1       0.80      0.61      0.70      0.70      0.66      0.42      1139

avg / total       0.69      0.64      0.67      0.65      0.66      0.43      1718
","              precision    recall  f1-score   support

           0       0.48      0.70      0.57       579
           1       0.80      0.61      0.70      1139

    accuracy                           0.64      1718
   macro avg       0.64      0.66      0.63      1718
weighted avg       0.69      0.64      0.65      1718
",constant,"[[-1.01872706 -0.68529802 -0.29555851 ...  0.50001988 -0.43976207
  -0.70713744]
 [-1.53950635  0.73390089  0.36366261 ...  0.01142032  0.0075084
  -0.39996883]
 [-0.36775294 -0.67798256 -0.42740274 ...  0.56981982 -0.72438873
  -0.53648821]
 ...
 [ 0.04304771 -0.59803821 -0.20256969 ... -0.3661307   0.17594828
   0.1002135 ]
 [ 2.20870821 -0.10392904  0.51908079 ... -0.12817955 -0.70156557
  -0.823911  ]
 [-0.33096934  0.06425091 -0.09316865 ... -0.51298737 -0.49987177
  -0.07827293]]",[1 1 1 ... 0 0 0],0.0001,"(1,)",0.3562281722933644,0.6583161607385202,0.28428458818740376,0.6437718277066357
324,HOS,0,9,0.704231812592023,0.8274079966238458,0.6198419666374012,0.6994818652849741,0.6584589698724106,0.30197370724934597,0.6466821885913854,706,405,174,433,579,1139,0.48329355608591884,0.8022727272727272,0.6994818652849741,0.6198419666374012,0.5716302046577276,0.6993561168895491,1.8399765463269873,2.062577578638249,0.3801580333625988,0.6198419666374012,0.6466821885913854,0.5,[0.61984197 0.69948187],adam,0.6466821885913854,0.001,"[[405 174]
 [433 706]]","(array([0.69948187, 0.61984197]), array([0.61984197, 0.69948187]), array([ 579, 1139], dtype=int32))",0.6466821885913854,1.0,,0.3533178114086146,0.6466821885913854,auto,1000,[0.69948187 0.61984197],0.7493195576716034,0.30197370724934597,,12.2032458682559,0.6466821885913854,0.9,False,"(0.6466821885913854, 0.6466821885913854, None)","(array([0.        , 0.30051813, 1.        ]), array([0.        , 0.61984197, 1.        ]), array([2, 1, 0]))",logistic,0.6466821885913854,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.70      0.62      0.57      0.66      0.44       579
          1       0.80      0.62      0.70      0.70      0.66      0.43      1139

avg / total       0.69      0.65      0.67      0.66      0.66      0.43      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.70      0.62      0.57      0.66      0.44       579
          1       0.80      0.62      0.70      0.70      0.66      0.42      1139

avg / total       0.69      0.65      0.67      0.66      0.66      0.43      1718
","              precision    recall  f1-score   support

           0       0.48      0.70      0.57       579
           1       0.80      0.62      0.70      1139

    accuracy                           0.65      1718
   macro avg       0.64      0.66      0.64      1718
weighted avg       0.69      0.65      0.66      1718
",constant,"[[-1.00177776 -0.68369158 -0.29340214 ...  0.47874708 -0.4350894
  -0.69773361]
 [-1.51408577  0.73386764  0.36022144 ...  0.02858034  0.01663664
  -0.3968663 ]
 [-0.36139275 -0.67638457 -0.42412686 ...  0.54305661 -0.72255143
  -0.5305851 ]
 ...
 [ 0.63494601 -0.57408648 -0.33387081 ... -0.19051759 -0.65574771
   1.39210436]
 [ 1.74595646 -0.56665443 -0.15220165 ...  0.27987211 -0.72255143
  -0.74759212]
 [ 0.16102396 -0.11598059 -0.20883346 ...  0.46414802  1.88143682
   1.43708894]]",[1 1 1 ... 0 0 0],0.0001,"(1,)",0.3533178114086147,0.6596619159611876,0.28768813157359074,0.6466821885913854
