id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,imb_sens_micro,power_t,imb_spec,solver,prec_score,learning_rate_init,confusion_matrix,imb_sens_spec_supp,imb_spec_micro,alpha,pr_curve,zero_one_loss,accuracy,batch_size,max_iter,imb_sens,avg_prec_score,matthews_corrcoef,hinge_loss,log_loss,fbeta_score,momentum,warm_start,imb_sens_spec_supp_micro,roc_curve,activation,rec_score,imb_report_0.1,imb_report_0.3,bal_report,learning_rate,X,y,tol,hidden_layer_sizes,hamming_loss,roc_auc_score,cohen_kappa_score,f1_score
CVS,0,6,0.7083986263461474,0.820127109283067,0.6172106824925816,0.7471910112359551,0.6790981328182739,0.34665257633217017,0.6621359223300971,208,133,45,129,178,337,0.5076335877862596,0.8221343873517787,0.7471910112359551,0.6172106824925816,0.6045454545454546,0.7050847457627119,1.9519641146241618,2.441411144081768,0.3827893175074184,0.6172106824925816,0.6621359223300971,0.5,[0.61721068 0.74719101],adam,0.6621359223300971,0.001,"[[133  45]
 [129 208]]","(array([0.74719101, 0.61721068]), array([0.61721068, 0.74719101]), array([178, 337], dtype=int32))",0.6621359223300971,1.0,,0.3378640776699029,0.6621359223300971,auto,1000,[0.74719101 0.61721068],0.7579155632112157,0.34665257633217017,,11.66948169825013,0.6621359223300971,0.9,False,"(0.6621359223300971, 0.6621359223300971, None)","(array([0.        , 0.25280899, 1.        ]), array([0.        , 0.61721068, 1.        ]), array([2, 1, 0]))",logistic,0.6621359223300971,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.75      0.62      0.60      0.68      0.47       178
          1       0.82      0.62      0.75      0.71      0.68      0.46       337

avg / total       0.71      0.66      0.70      0.67      0.68      0.46       515
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.75      0.62      0.60      0.68      0.48       178
          1       0.82      0.62      0.75      0.71      0.68      0.44       337

avg / total       0.71      0.66      0.70      0.67      0.68      0.46       515
","              precision    recall  f1-score   support

           0       0.51      0.75      0.60       178
           1       0.82      0.62      0.71       337

    accuracy                           0.66       515
   macro avg       0.66      0.68      0.65       515
weighted avg       0.71      0.66      0.67       515
",constant,"[[-1.02023364 -0.69567551 -0.30764956 ...  0.48493852 -0.43823426
  -0.70903241]
 [-1.54063494  0.71556936  0.39604409 ...  0.02255307  0.01289413
  -0.4076094 ]
 [-0.36973202 -0.68840105 -0.4483883  ...  0.55099359 -0.72531597
  -0.54157518]
 ...
 [-0.5245055   0.12790611 -0.20100382 ...  0.08860813 -0.62649875
   0.39856906]
 [-0.10470655 -0.26594293 -0.2027075  ... -0.15115846 -0.80431528
  -0.10804946]
 [ 0.11830002  0.09726366 -0.04028343 ... -0.05993665 -0.51317127
  -1.34520941]]",[1 1 1 ... 0 0 0],0.0001,"(1,)",0.3378640776699029,0.6822008468642683,0.327898115924637,0.6621359223300971
CVS,1,6,0.7196512519587904,0.8258332616063684,0.6498516320474778,0.702247191011236,0.6755416220925314,0.33543002623008916,0.6679611650485436,219,125,53,118,178,337,0.51440329218107,0.8051470588235294,0.702247191011236,0.6498516320474778,0.5938242280285035,0.7192118226600985,2.0055703675490384,2.1825205755556802,0.35014836795252224,0.6498516320474778,0.6679611650485436,0.5,[0.64985163 0.70224719],adam,0.6679611650485436,0.001,"[[125  53]
 [118 219]]","(array([0.70224719, 0.64985163]), array([0.64985163, 0.70224719]), array([178, 337], dtype=int32))",0.6679611650485436,1.0,,0.33203883495145636,0.6679611650485436,auto,1000,[0.70224719 0.64985163],0.7523523438069302,0.33543002623008916,,11.468297363482577,0.6679611650485436,0.9,False,"(0.6679611650485436, 0.6679611650485436, None)","(array([0.        , 0.29775281, 1.        ]), array([0.        , 0.64985163, 1.        ]), array([2, 1, 0]))",logistic,0.6679611650485436,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.70      0.65      0.59      0.68      0.46       178
          1       0.81      0.65      0.70      0.72      0.68      0.45       337

avg / total       0.70      0.67      0.68      0.68      0.68      0.46       515
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.70      0.65      0.59      0.68      0.46       178
          1       0.81      0.65      0.70      0.72      0.68      0.45       337

avg / total       0.70      0.67      0.68      0.68      0.68      0.45       515
","              precision    recall  f1-score   support

           0       0.51      0.70      0.59       178
           1       0.81      0.65      0.72       337

    accuracy                           0.67       515
   macro avg       0.66      0.68      0.66       515
weighted avg       0.70      0.67      0.68       515
",constant,"[[-1.02023364 -0.69567551 -0.30764956 ...  0.48493852 -0.43823426
  -0.70903241]
 [-1.54063494  0.71556936  0.39604409 ...  0.02255307  0.01289413
  -0.4076094 ]
 [-0.36973202 -0.68840105 -0.4483883  ...  0.55099359 -0.72531597
  -0.54157518]
 ...
 [-0.5245055   0.12790611 -0.20100382 ...  0.08860813 -0.62649875
   0.39856906]
 [-0.10470655 -0.26594293 -0.2027075  ... -0.15115846 -0.80431528
  -0.10804946]
 [ 0.11830002  0.09726366 -0.04028343 ... -0.05993665 -0.51317127
  -1.34520941]]",[1 1 1 ... 0 0 0],0.0001,"(10,)",0.3320388349514563,0.6760494115293569,0.3241729147321325,0.6679611650485436
CVS,2,6,0.7178008201913779,0.8247493475579506,0.6498516320474778,0.702247191011236,0.6755416220925314,0.33543002623008916,0.6679611650485436,219,125,53,118,178,337,0.51440329218107,0.8051470588235294,0.702247191011236,0.6498516320474778,0.5938242280285035,0.7192118226600985,2.0055703675490384,2.1825205755556802,0.35014836795252224,0.6498516320474778,0.6679611650485436,0.5,[0.64985163 0.70224719],adam,0.6679611650485436,0.001,"[[125  53]
 [118 219]]","(array([0.70224719, 0.64985163]), array([0.64985163, 0.70224719]), array([178, 337], dtype=int32))",0.6679611650485436,1.0,,0.33203883495145636,0.6679611650485436,auto,1000,[0.70224719 0.64985163],0.7523523438069302,0.33543002623008916,,11.468297363482577,0.6679611650485436,0.9,False,"(0.6679611650485436, 0.6679611650485436, None)","(array([0.        , 0.29775281, 1.        ]), array([0.        , 0.64985163, 1.        ]), array([2, 1, 0]))",logistic,0.6679611650485436,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.70      0.65      0.59      0.68      0.46       178
          1       0.81      0.65      0.70      0.72      0.68      0.45       337

avg / total       0.70      0.67      0.68      0.68      0.68      0.46       515
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.70      0.65      0.59      0.68      0.46       178
          1       0.81      0.65      0.70      0.72      0.68      0.45       337

avg / total       0.70      0.67      0.68      0.68      0.68      0.45       515
","              precision    recall  f1-score   support

           0       0.51      0.70      0.59       178
           1       0.81      0.65      0.72       337

    accuracy                           0.67       515
   macro avg       0.66      0.68      0.66       515
weighted avg       0.70      0.67      0.68       515
",constant,"[[-1.02023364 -0.69567551 -0.30764956 ...  0.48493852 -0.43823426
  -0.70903241]
 [-1.54063494  0.71556936  0.39604409 ...  0.02255307  0.01289413
  -0.4076094 ]
 [-0.36973202 -0.68840105 -0.4483883  ...  0.55099359 -0.72531597
  -0.54157518]
 ...
 [-0.5245055   0.12790611 -0.20100382 ...  0.08860813 -0.62649875
   0.39856906]
 [-0.10470655 -0.26594293 -0.2027075  ... -0.15115846 -0.80431528
  -0.10804946]
 [ 0.11830002  0.09726366 -0.04028343 ... -0.05993665 -0.51317127
  -1.34520941]]",[1 1 1 ... 0 0 0],0.0001,"(50,)",0.3320388349514563,0.6760494115293569,0.3241729147321325,0.6679611650485436
CVS,3,6,0.7139999333177742,0.8242877195786739,0.6320474777448071,0.7303370786516854,0.6794171829335114,0.3447128879154147,0.6660194174757281,213,130,48,124,178,337,0.5118110236220472,0.8160919540229885,0.7303370786516854,0.6320474777448071,0.6018518518518519,0.7123745819397992,1.9848677056904673,2.3438427299703264,0.3679525222551929,0.6320474777448071,0.6660194174757281,0.5,[0.63204748 0.73033708],adam,0.6660194174757281,0.001,"[[130  48]
 [124 213]]","(array([0.73033708, 0.63204748]), array([0.63204748, 0.73033708]), array([178, 337], dtype=int32))",0.6660194174757281,1.0,,0.3339805825242719,0.6660194174757281,auto,1000,[0.73033708 0.63204748],0.7565855601771871,0.3447128879154147,,11.535355185633566,0.6660194174757281,0.9,False,"(0.6660194174757281, 0.6660194174757281, None)","(array([0.        , 0.26966292, 1.        ]), array([0.        , 0.63204748, 1.        ]), array([2, 1, 0]))",logistic,0.6660194174757281,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.73      0.63      0.60      0.68      0.47       178
          1       0.82      0.63      0.73      0.71      0.68      0.46       337

avg / total       0.71      0.67      0.70      0.67      0.68      0.46       515
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.73      0.63      0.60      0.68      0.48       178
          1       0.82      0.63      0.73      0.71      0.68      0.45       337

avg / total       0.71      0.67      0.70      0.67      0.68      0.46       515
","              precision    recall  f1-score   support

           0       0.51      0.73      0.60       178
           1       0.82      0.63      0.71       337

    accuracy                           0.67       515
   macro avg       0.66      0.68      0.66       515
weighted avg       0.71      0.67      0.67       515
",constant,"[[-1.02023364 -0.69567551 -0.30764956 ...  0.48493852 -0.43823426
  -0.70903241]
 [-1.54063494  0.71556936  0.39604409 ...  0.02255307  0.01289413
  -0.4076094 ]
 [-0.36973202 -0.68840105 -0.4483883  ...  0.55099359 -0.72531597
  -0.54157518]
 ...
 [-0.5245055   0.12790611 -0.20100382 ...  0.08860813 -0.62649875
   0.39856906]
 [-0.10470655 -0.26594293 -0.2027075  ... -0.15115846 -0.80431528
  -0.10804946]
 [ 0.11830002  0.09726366 -0.04028343 ... -0.05993665 -0.51317127
  -1.34520941]]",[1 1 1 ... 0 0 0],0.0001,"(5, 5)",0.3339805825242718,0.6811922781982462,0.3292239655903556,0.6660194174757281
CVS,4,6,0.7169006101423665,0.8261743199556502,0.6320474777448071,0.7303370786516854,0.6794171829335114,0.3447128879154147,0.6660194174757281,213,130,48,124,178,337,0.5118110236220472,0.8160919540229885,0.7303370786516854,0.6320474777448071,0.6018518518518519,0.7123745819397992,1.9848677056904673,2.3438427299703264,0.3679525222551929,0.6320474777448071,0.6660194174757281,0.5,[0.63204748 0.73033708],adam,0.6660194174757281,0.001,"[[130  48]
 [124 213]]","(array([0.73033708, 0.63204748]), array([0.63204748, 0.73033708]), array([178, 337], dtype=int32))",0.6660194174757281,1.0,,0.3339805825242719,0.6660194174757281,auto,1000,[0.73033708 0.63204748],0.7565855601771871,0.3447128879154147,,11.535355185633566,0.6660194174757281,0.9,False,"(0.6660194174757281, 0.6660194174757281, None)","(array([0.        , 0.26966292, 1.        ]), array([0.        , 0.63204748, 1.        ]), array([2, 1, 0]))",logistic,0.6660194174757281,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.73      0.63      0.60      0.68      0.47       178
          1       0.82      0.63      0.73      0.71      0.68      0.46       337

avg / total       0.71      0.67      0.70      0.67      0.68      0.46       515
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.73      0.63      0.60      0.68      0.48       178
          1       0.82      0.63      0.73      0.71      0.68      0.45       337

avg / total       0.71      0.67      0.70      0.67      0.68      0.46       515
","              precision    recall  f1-score   support

           0       0.51      0.73      0.60       178
           1       0.82      0.63      0.71       337

    accuracy                           0.67       515
   macro avg       0.66      0.68      0.66       515
weighted avg       0.71      0.67      0.67       515
",constant,"[[-1.02023364 -0.69567551 -0.30764956 ...  0.48493852 -0.43823426
  -0.70903241]
 [-1.54063494  0.71556936  0.39604409 ...  0.02255307  0.01289413
  -0.4076094 ]
 [-0.36973202 -0.68840105 -0.4483883  ...  0.55099359 -0.72531597
  -0.54157518]
 ...
 [-0.5245055   0.12790611 -0.20100382 ...  0.08860813 -0.62649875
   0.39856906]
 [-0.10470655 -0.26594293 -0.2027075  ... -0.15115846 -0.80431528
  -0.10804946]
 [ 0.11830002  0.09726366 -0.04028343 ... -0.05993665 -0.51317127
  -1.34520941]]",[1 1 1 ... 0 0 0],0.0001,"(10, 10)",0.3339805825242718,0.6811922781982462,0.3292239655903556,0.6660194174757281
CVS,5,6,0.6857433401126929,0.7989645486982514,1.0,0.0,0.0,inf,0.654368932038835,337,0,178,0,178,337,0.0,0.654368932038835,0.0,1.0,0.0,0.7910798122065729,inf,1.0,0.0,1.0,0.654368932038835,0.5,[1. 0.],adam,0.654368932038835,0.001,"[[  0 178]
 [  0 337]]","(array([0., 1.]), array([1., 0.]), array([178, 337], dtype=int32))",0.654368932038835,1.0,,0.34563106796116505,0.654368932038835,auto,1000,[0. 1.],0.654368932038835,0.0,,11.937950537158596,0.654368932038835,0.9,False,"(0.654368932038835, 0.654368932038835, None)","(array([0., 1.]), array([0., 1.]), array([2, 1]))",logistic,0.654368932038835,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.00      0.00      1.00      0.00      0.00      0.00       178
          1       0.65      1.00      0.00      0.79      0.00      0.00       337

avg / total       0.43      0.65      0.35      0.52      0.00      0.00       515
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.00      0.00      1.00      0.00      0.00      0.00       178
          1       0.65      1.00      0.00      0.79      0.00      0.00       337

avg / total       0.43      0.65      0.35      0.52      0.00      0.00       515
","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       178
           1       0.65      1.00      0.79       337

    accuracy                           0.65       515
   macro avg       0.33      0.50      0.40       515
weighted avg       0.43      0.65      0.52       515
",constant,"[[-1.02023364 -0.69567551 -0.30764956 ...  0.48493852 -0.43823426
  -0.70903241]
 [-1.54063494  0.71556936  0.39604409 ...  0.02255307  0.01289413
  -0.4076094 ]
 [-0.36973202 -0.68840105 -0.4483883  ...  0.55099359 -0.72531597
  -0.54157518]
 ...
 [-0.5245055   0.12790611 -0.20100382 ...  0.08860813 -0.62649875
   0.39856906]
 [-0.10470655 -0.26594293 -0.2027075  ... -0.15115846 -0.80431528
  -0.10804946]
 [ 0.11830002  0.09726366 -0.04028343 ... -0.05993665 -0.51317127
  -1.34520941]]",[1 1 1 ... 0 0 0],0.0001,"(5, 5, 5)",0.34563106796116505,0.5,0.0,0.654368932038835
CVS,6,6,0.7118327609775614,0.822944059782763,0.5875370919881305,0.7640449438202247,0.6700035406177861,0.33518120687532166,0.6485436893203883,198,136,42,139,178,337,0.49454545454545457,0.825,0.7640449438202247,0.5875370919881305,0.6004415011037527,0.6863084922010398,1.8523967342979546,2.4900381517592196,0.41246290801186947,0.5875370919881305,0.6485436893203883,0.5,[0.58753709 0.76404494],adam,0.6485436893203883,0.001,"[[136  42]
 [139 198]]","(array([0.76404494, 0.58753709]), array([0.58753709, 0.76404494]), array([178, 337], dtype=int32))",0.6485436893203883,0.1,,0.3514563106796117,0.6485436893203883,auto,1000,[0.76404494 0.58753709],0.754621013511567,0.33518120687532166,,12.138936137030877,0.6485436893203884,0.9,False,"(0.6485436893203883, 0.6485436893203883, None)","(array([0.        , 0.23595506, 1.        ]), array([0.        , 0.58753709, 1.        ]), array([2, 1, 0]))",logistic,0.6485436893203883,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.49      0.76      0.59      0.60      0.67      0.46       178
          1       0.82      0.59      0.76      0.69      0.67      0.44       337

avg / total       0.71      0.65      0.70      0.66      0.67      0.45       515
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.49      0.76      0.59      0.60      0.67      0.47       178
          1       0.82      0.59      0.76      0.69      0.67      0.43       337

avg / total       0.71      0.65      0.70      0.66      0.67      0.44       515
","              precision    recall  f1-score   support

           0       0.49      0.76      0.60       178
           1       0.82      0.59      0.69       337

    accuracy                           0.65       515
   macro avg       0.66      0.68      0.64       515
weighted avg       0.71      0.65      0.66       515
",constant,"[[-1.02023364 -0.69567551 -0.30764956 ...  0.48493852 -0.43823426
  -0.70903241]
 [-1.54063494  0.71556936  0.39604409 ...  0.02255307  0.01289413
  -0.4076094 ]
 [-0.36973202 -0.68840105 -0.4483883  ...  0.55099359 -0.72531597
  -0.54157518]
 ...
 [-0.5245055   0.12790611 -0.20100382 ...  0.08860813 -0.62649875
   0.39856906]
 [-0.10470655 -0.26594293 -0.2027075  ... -0.15115846 -0.80431528
  -0.10804946]
 [ 0.11830002  0.09726366 -0.04028343 ... -0.05993665 -0.51317127
  -1.34520941]]",[1 1 1 ... 0 0 0],0.0001,"(1,)",0.35145631067961164,0.6757910179041776,0.31153292219062745,0.6485436893203883
CVS,7,6,0.8191244623745539,0.8927729423526085,0.7270029673590505,0.7303370786516854,0.7286681160529226,0.43919145854705005,0.7281553398058253,245,130,48,92,178,337,0.5855855855855856,0.8361774744027304,0.7303370786516854,0.7270029673590505,0.65,0.7777777777777778,2.675256472887152,2.6959693372898124,0.27299703264094954,0.7270029673590505,0.7281553398058253,0.5,[0.72700297 0.73033708],adam,0.7281553398058253,0.001,"[[130  48]
 [ 92 245]]","(array([0.73033708, 0.72700297]), array([0.72700297, 0.73033708]), array([178, 337], dtype=int32))",0.7281553398058253,0.1,,0.27184466019417475,0.7281553398058253,auto,1000,[0.73033708 0.72700297],0.7865442818286106,0.43919145854705005,,9.389256458182805,0.7281553398058253,0.9,False,"(0.7281553398058253, 0.7281553398058253, None)","(array([0.        , 0.26966292, 1.        ]), array([0.        , 0.72700297, 1.        ]), array([2, 1, 0]))",logistic,0.7281553398058253,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.73      0.73      0.65      0.73      0.53       178
          1       0.84      0.73      0.73      0.78      0.73      0.53       337

avg / total       0.75      0.73      0.73      0.73      0.73      0.53       515
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.73      0.73      0.65      0.73      0.53       178
          1       0.84      0.73      0.73      0.78      0.73      0.53       337

avg / total       0.75      0.73      0.73      0.73      0.73      0.53       515
","              precision    recall  f1-score   support

           0       0.59      0.73      0.65       178
           1       0.84      0.73      0.78       337

    accuracy                           0.73       515
   macro avg       0.71      0.73      0.71       515
weighted avg       0.75      0.73      0.73       515
",constant,"[[-1.02023364 -0.69567551 -0.30764956 ...  0.48493852 -0.43823426
  -0.70903241]
 [-1.54063494  0.71556936  0.39604409 ...  0.02255307  0.01289413
  -0.4076094 ]
 [-0.36973202 -0.68840105 -0.4483883  ...  0.55099359 -0.72531597
  -0.54157518]
 ...
 [-0.5245055   0.12790611 -0.20100382 ...  0.08860813 -0.62649875
   0.39856906]
 [-0.10470655 -0.26594293 -0.2027075  ... -0.15115846 -0.80431528
  -0.10804946]
 [ 0.11830002  0.09726366 -0.04028343 ... -0.05993665 -0.51317127
  -1.34520941]]",[1 1 1 ... 0 0 0],0.0001,"(10,)",0.27184466019417475,0.7286700230053679,0.4321403818284921,0.7281553398058251
CVS,8,6,0.8902577268029206,0.9329608266398354,0.8160237388724035,0.8202247191011236,0.8181215325344187,0.6166671856031419,0.8174757281553398,275,146,32,62,178,337,0.7019230769230769,0.8957654723127035,0.8202247191011236,0.8160237388724035,0.7564766839378237,0.8540372670807452,4.4583182312432035,4.539132047477745,0.18397626112759646,0.8160237388724035,0.8174757281553398,0.5,[0.81602374 0.82022472],adam,0.8174757281553398,0.001,"[[146  32]
 [ 62 275]]","(array([0.82022472, 0.81602374]), array([0.81602374, 0.82022472]), array([178, 337], dtype=int32))",0.8174757281553398,0.1,,0.18252427184466025,0.8174757281553398,auto,1000,[0.82022472 0.81602374],0.8513542393839799,0.6166671856031419,,6.304214695610428,0.8174757281553398,0.9,False,"(0.8174757281553398, 0.8174757281553398, None)","(array([0.        , 0.17977528, 1.        ]), array([0.        , 0.81602374, 1.        ]), array([2, 1, 0]))",logistic,0.8174757281553398,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.70      0.82      0.82      0.76      0.82      0.67       178
          1       0.90      0.82      0.82      0.85      0.82      0.67       337

avg / total       0.83      0.82      0.82      0.82      0.82      0.67       515
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.70      0.82      0.82      0.76      0.82      0.67       178
          1       0.90      0.82      0.82      0.85      0.82      0.67       337

avg / total       0.83      0.82      0.82      0.82      0.82      0.67       515
","              precision    recall  f1-score   support

           0       0.70      0.82      0.76       178
           1       0.90      0.82      0.85       337

    accuracy                           0.82       515
   macro avg       0.80      0.82      0.81       515
weighted avg       0.83      0.82      0.82       515
",constant,"[[-1.02023364 -0.69567551 -0.30764956 ...  0.48493852 -0.43823426
  -0.70903241]
 [-1.54063494  0.71556936  0.39604409 ...  0.02255307  0.01289413
  -0.4076094 ]
 [-0.36973202 -0.68840105 -0.4483883  ...  0.55099359 -0.72531597
  -0.54157518]
 ...
 [-0.5245055   0.12790611 -0.20100382 ...  0.08860813 -0.62649875
   0.39856906]
 [-0.10470655 -0.26594293 -0.2027075  ... -0.15115846 -0.80431528
  -0.10804946]
 [ 0.11830002  0.09726366 -0.04028343 ... -0.05993665 -0.51317127
  -1.34520941]]",[1 1 1 ... 0 0 0],0.0001,"(50,)",0.1825242718446602,0.8181242289867636,0.6119190008176878,0.8174757281553398
CVS,9,6,0.7901010235721669,0.8775799860333163,0.6973293768545994,0.7415730337078652,0.7191110216702845,0.4192101883314874,0.7126213592233009,235,132,46,102,178,337,0.5641025641025641,0.8362989323843416,0.7415730337078652,0.6973293768545994,0.6407766990291262,0.7605177993527509,2.4500991407799075,2.698361501741711,0.3026706231454006,0.6973293768545994,0.7126213592233009,0.5,[0.69732938 0.74157303],adam,0.7126213592233009,0.001,"[[132  46]
 [102 235]]","(array([0.74157303, 0.69732938]), array([0.69732938, 0.74157303]), array([178, 337], dtype=int32))",0.7126213592233009,0.1,,0.28737864077669906,0.7126213592233009,auto,1000,[0.74157303 0.69732938],0.7812340658109241,0.4192101883314874,,9.925778034812756,0.7126213592233009,0.9,False,"(0.7126213592233009, 0.7126213592233009, None)","(array([0.        , 0.25842697, 1.        ]), array([0.        , 0.69732938, 1.        ]), array([2, 1, 0]))",logistic,0.7126213592233009,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.56      0.74      0.70      0.64      0.72      0.52       178
          1       0.84      0.70      0.74      0.76      0.72      0.51       337

avg / total       0.74      0.71      0.73      0.72      0.72      0.52       515
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.56      0.74      0.70      0.64      0.72      0.52       178
          1       0.84      0.70      0.74      0.76      0.72      0.51       337

avg / total       0.74      0.71      0.73      0.72      0.72      0.52       515
","              precision    recall  f1-score   support

           0       0.56      0.74      0.64       178
           1       0.84      0.70      0.76       337

    accuracy                           0.71       515
   macro avg       0.70      0.72      0.70       515
weighted avg       0.74      0.71      0.72       515
",constant,"[[-1.02023364 -0.69567551 -0.30764956 ...  0.48493852 -0.43823426
  -0.70903241]
 [-1.54063494  0.71556936  0.39604409 ...  0.02255307  0.01289413
  -0.4076094 ]
 [-0.36973202 -0.68840105 -0.4483883  ...  0.55099359 -0.72531597
  -0.54157518]
 ...
 [-0.5245055   0.12790611 -0.20100382 ...  0.08860813 -0.62649875
   0.39856906]
 [-0.10470655 -0.26594293 -0.2027075  ... -0.15115846 -0.80431528
  -0.10804946]
 [ 0.11830002  0.09726366 -0.04028343 ... -0.05993665 -0.51317127
  -1.34520941]]",[1 1 1 ... 0 0 0],0.0001,"(5, 5)",0.287378640776699,0.7194512052812323,0.40857878891337407,0.7126213592233008
