,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,prec_score,imb_report_0.3,solver,imb_sens_micro,roc_auc_score,alpha,confusion_matrix,max_iter,bal_report,cohen_kappa_score,imb_sens_spec_supp,pr_curve,learning_rate_init,y,hinge_loss,fbeta_score,learning_rate,activation,hidden_layer_sizes,imb_spec_micro,imb_sens,roc_curve,X,warm_start,momentum,avg_prec_score,accuracy,imb_sens_spec_supp_micro,imb_report_0.1,tol,rec_score,matthews_corrcoef,zero_one_loss,f1_score,hamming_loss,batch_size,imb_spec,power_t,log_loss
0,HOS,0,0,0.6709841411906798,0.7460534751073539,0.5752285951787198,0.6613603473227206,0.6167928205624307,0.2278363992789664,0.6066525871172123,692,457,234,511,691,1203,0.47210743801652894,0.7473002159827213,0.6613603473227206,0.5752285951787198,0.5509342977697407,0.6500704556129637,1.5569794478067178,1.69864512507904,0.4247714048212802,0.5752285951787198,0.6066525871172123,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.66      0.58      0.55      0.62      0.39       691
          1       0.75      0.58      0.66      0.65      0.62      0.37      1203

avg / total       0.65      0.61      0.63      0.61      0.62      0.38      1894
",adam,0.6066525871172123,0.6182944712507202,1.0,"[[457 234]
 [511 692]]",1000,"              precision    recall  f1-score   support

           0       0.47      0.66      0.55       691
           1       0.75      0.58      0.65      1203

    accuracy                           0.61      1894
   macro avg       0.61      0.62      0.60      1894
weighted avg       0.65      0.61      0.61      1894
",0.21799298370068232,"(array([0.66136035, 0.5752286 ]), array([0.5752286 , 0.66136035]), array([ 691, 1203], dtype=int32))",,0.001,[0 0 1 ... 0 0 0],,0.6066525871172123,constant,logistic,"(1,)",0.6066525871172123,[0.66136035 0.5752286 ],"(array([0.        , 0.33863965, 1.        ]), array([0.       , 0.5752286, 1.       ]), array([2, 1, 0]))","[[ 1.40850079 -0.12155545  0.0839485  -0.47403516  0.9731148   0.17547583]
 [ 1.17886734 -0.44252476 -0.23506867 -0.40553402 -0.42209087  0.64974965]
 [-0.18309656 -0.30496648 -0.12113397  3.58221055 -0.86546526 -0.1209453 ]
 ...
 [-0.64224959  0.0716196   0.06148926 -0.45939153 -0.8969969  -0.45174339]
 [ 0.09054219  0.08215221  0.02741677 -0.43489165 -0.2128908  -1.01591046]
 [-0.28944699 -0.35900211 -0.18949479  0.38057449  0.0858496   0.47846747]]",False,0.9,0.6996678198367693,0.6066525871172123,"(0.6066525871172123, 0.6066525871172123, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.66      0.58      0.55      0.62      0.38       691
          1       0.75      0.58      0.66      0.65      0.62      0.38      1203

avg / total       0.65      0.61      0.63      0.61      0.62      0.38      1894
",0.0001,0.6066525871172123,0.2278363992789664,0.39334741288278774,0.6066525871172123,0.39334741288278774,auto,[0.5752286  0.66136035],0.5,13.58583712777567
36,HOS,0,1,0.6687357823482779,0.7406191509140101,0.6084788029925187,0.6338639652677279,0.6210416949337608,0.23350804348235307,0.617740232312566,732,438,253,471,691,1203,0.48184818481848185,0.7431472081218274,0.6338639652677279,0.6084788029925187,0.5475,0.6691042047531992,1.6189773889959165,1.6618926990823335,0.39152119700748134,0.6084788029925187,0.617740232312566,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.63      0.61      0.55      0.62      0.39       691
          1       0.74      0.61      0.63      0.67      0.62      0.38      1203

avg / total       0.65      0.62      0.62      0.62      0.62      0.38      1894
",adam,0.617740232312566,0.6211713841301233,1.0,"[[438 253]
 [471 732]]",1000,"              precision    recall  f1-score   support

           0       0.48      0.63      0.55       691
           1       0.74      0.61      0.67      1203

    accuracy                           0.62      1894
   macro avg       0.61      0.62      0.61      1894
weighted avg       0.65      0.62      0.62      1894
",0.22709651091613958,"(array([0.63386397, 0.6084788 ]), array([0.6084788 , 0.63386397]), array([ 691, 1203], dtype=int32))",,0.001,[0 0 1 ... 0 0 0],,0.617740232312566,constant,logistic,"(1,)",0.617740232312566,[0.63386397 0.6084788 ],"(array([0.        , 0.36613603, 1.        ]), array([0.       , 0.6084788, 1.       ]), array([2, 1, 0]))","[[ 1.41760931 -0.13039714  0.09233535 -0.47132339  0.97029762  0.18555909]
 [ 1.18604885 -0.47075    -0.24239613 -0.40213387 -0.42467314  0.69989136]
 [-0.18734422 -0.32488449 -0.12284917  3.62568468 -0.86797288 -0.13589858]
 ...
 [-0.42398608 -0.09267833 -0.20737711 -0.47661486 -0.52491974 -0.92622997]
 [ 0.14434381 -0.26129    -0.23898512 -0.51164515 -0.77136729 -0.61430371]
 [-0.51635256 -0.25951278 -0.17066795 -0.46043046  1.19344297 -0.05329169]]",False,0.9,0.7008693658838501,0.617740232312566,"(0.617740232312566, 0.617740232312566, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.63      0.61      0.55      0.62      0.39       691
          1       0.74      0.61      0.63      0.67      0.62      0.38      1203

avg / total       0.65      0.62      0.62      0.62      0.62      0.39      1894
",0.0001,0.617740232312566,0.23350804348235307,0.38225976768743397,0.617740232312566,0.382259767687434,auto,[0.6084788  0.63386397],0.5,13.202891450931983
72,HOS,0,2,0.670833769411493,0.7433901345145846,0.5876974231088944,0.6512301013024602,0.6186487310149437,0.23003201503031845,0.6108764519535375,707,450,241,496,691,1203,0.47568710359408034,0.7457805907172996,0.6512301013024602,0.5876974231088944,0.5497861942577886,0.6573686657368666,1.579495588441249,1.6850577567147136,0.4123025768911056,0.5876974231088944,0.6108764519535375,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.65      0.59      0.55      0.62      0.39       691
          1       0.75      0.59      0.65      0.66      0.62      0.38      1203

avg / total       0.65      0.61      0.63      0.62      0.62      0.38      1894
",adam,0.6108764519535375,0.6194637622056773,1.0,"[[450 241]
 [496 707]]",1000,"              precision    recall  f1-score   support

           0       0.48      0.65      0.55       691
           1       0.75      0.59      0.66      1203

    accuracy                           0.61      1894
   macro avg       0.61      0.62      0.60      1894
weighted avg       0.65      0.61      0.62      1894
",0.22153068474479476,"(array([0.6512301 , 0.58769742]), array([0.58769742, 0.6512301 ]), array([ 691, 1203], dtype=int32))",,0.001,[0 0 1 ... 0 0 0],,0.6108764519535375,constant,logistic,"(1,)",0.6108764519535375,[0.6512301  0.58769742],"(array([0.       , 0.3487699, 1.       ]), array([0.        , 0.58769742, 1.        ]), array([2, 1, 0]))","[[ 1.33752667 -0.12727747  0.14940944 -0.477375    0.96920866  0.17339281]
 [ 1.11851292 -0.44461709 -0.27006204 -0.41071138 -0.42461015  0.64773724]
 [-0.18046514 -0.3086144  -0.1202508   3.47006348 -0.86754382 -0.12307245]
 ...
 [-0.58278062 -0.3731718  -0.15021305  2.69660303 -0.81687859 -0.40538088]
 [ 0.65415149  1.09466431  0.0595227  -0.48421298  1.41052405 -1.02432686]
 [-0.33683806  0.2176464  -0.25586646 -0.50704904 -0.54503344 -0.75220062]]",False,0.9,0.7001729512213508,0.6108764519535375,"(0.6108764519535375, 0.6108764519535375, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.65      0.59      0.55      0.62      0.39       691
          1       0.75      0.59      0.65      0.66      0.62      0.38      1203

avg / total       0.65      0.61      0.63      0.62      0.62      0.38      1894
",0.0001,0.6108764519535375,0.23003201503031845,0.38912354804646254,0.6108764519535375,0.3891235480464625,auto,[0.58769742 0.6512301 ],0.5,13.439952959889045
108,HOS,0,3,0.6702070198358421,0.7454120057070059,0.5569409808811305,0.6685962373371924,0.6102201604634258,0.2174195891060415,0.5976768743400211,670,462,229,533,691,1203,0.464321608040201,0.7452725250278087,0.6685962373371924,0.5569409808811305,0.5480427046263345,0.6374881065651761,1.5090455413070216,1.680551169383673,0.44305901911886947,0.5569409808811305,0.5976768743400211,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.46      0.67      0.56      0.55      0.61      0.38       691
          1       0.75      0.56      0.67      0.64      0.61      0.36      1203

avg / total       0.64      0.60      0.63      0.60      0.61      0.37      1894
",adam,0.5976768743400211,0.6127686091091615,1.0,"[[462 229]
 [533 670]]",1000,"              precision    recall  f1-score   support

           0       0.46      0.67      0.55       691
           1       0.75      0.56      0.64      1203

    accuracy                           0.60      1894
   macro avg       0.60      0.61      0.59      1894
weighted avg       0.64      0.60      0.60      1894
",0.20622991825954762,"(array([0.66859624, 0.55694098]), array([0.55694098, 0.66859624]), array([ 691, 1203], dtype=int32))",,0.001,[0 1 1 ... 0 0 0],,0.5976768743400211,constant,logistic,"(1,)",0.5976768743400211,[0.66859624 0.55694098],"(array([0.        , 0.33140376, 1.        ]), array([0.        , 0.55694098, 1.        ]), array([2, 1, 0]))","[[ 1.16275429 -0.44128294 -0.25010442 -0.40744678 -0.42910911  0.61258708]
 [-0.1697346  -0.30498506 -0.12262831  3.57309553 -0.86913725 -0.12823017]
 [-0.21621677 -0.20503328 -0.2246092  -0.56373801 -0.86812801 -0.17381893]
 ...
 [ 0.30605721 -0.12431223  2.05478171 -0.49472679 -0.83199187  0.38673172]
 [-0.59488095 -0.16919755 -0.16766049 -0.48787524  0.05749383  0.2537414 ]
 [-0.32662496 -0.20669514 -0.0578208  -0.45255916  1.63688914 -0.8047378 ]]",False,0.9,0.6964878058329136,0.5976768743400211,"(0.5976768743400211, 0.5976768743400211, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.46      0.67      0.56      0.55      0.61      0.38       691
          1       0.75      0.56      0.67      0.64      0.61      0.37      1203

avg / total       0.64      0.60      0.63      0.60      0.61      0.37      1894
",0.0001,0.5976768743400211,0.2174195891060415,0.40232312565997885,0.5976768743400211,0.40232312565997885,auto,[0.55694098 0.66859624],0.5,13.89584515350235
144,HOS,0,4,0.6697077855289417,0.7390598691103643,0.5951787198669992,0.6396526772793053,0.6170151226854944,0.22612911636602578,0.6114044350580782,716,442,249,487,691,1203,0.4757804090419806,0.7419689119170985,0.6396526772793053,0.5951787198669992,0.545679012345679,0.6605166051660516,1.5800865929507277,1.6516807045305075,0.4048212801330008,0.5951787198669992,0.6114044350580782,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.64      0.60      0.55      0.62      0.39       691
          1       0.74      0.60      0.64      0.66      0.62      0.38      1203

avg / total       0.64      0.61      0.62      0.62      0.62      0.38      1894
",adam,0.6114044350580782,0.6174156985731523,1.0,"[[442 249]
 [487 716]]",1000,"              precision    recall  f1-score   support

           0       0.48      0.64      0.55       691
           1       0.74      0.60      0.66      1203

    accuracy                           0.61      1894
   macro avg       0.61      0.62      0.60      1894
weighted avg       0.64      0.61      0.62      1894
",0.21879486797257564,"(array([0.63965268, 0.59517872]), array([0.59517872, 0.63965268]), array([ 691, 1203], dtype=int32))",,0.001,[0 0 1 ... 0 0 0],,0.6114044350580782,constant,logistic,"(1,)",0.6114044350580782,[0.63965268 0.59517872],"(array([0.        , 0.36034732, 1.        ]), array([0.        , 0.59517872, 1.        ]), array([2, 1, 0]))","[[ 1.42818637 -0.12649277  0.10638475 -0.47001917  0.95750866  0.19075046]
 [ 1.19708795 -0.46008118 -0.24773855 -0.40105547 -0.42597204  0.69788802]
 [-0.17356477 -0.31711472 -0.12126594  3.6136171  -0.86562042 -0.12621052]
 ...
 [ 1.01490202 -0.07292138  0.014801   -0.57040719  0.83463859 -0.95642997]
 [-0.23700304 -0.32589705 -0.20929999  1.70726338 -0.75053858 -0.14436703]
 [-0.18263724  0.17161104  0.21807142 -0.52564468 -0.87505362 -0.54908986]]",False,0.9,0.6987318790872278,0.6114044350580782,"(0.6114044350580782, 0.6114044350580782, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.64      0.60      0.55      0.62      0.38       691
          1       0.74      0.60      0.64      0.66      0.62      0.38      1203

avg / total       0.64      0.61      0.62      0.62      0.62      0.38      1894
",0.0001,0.6114044350580782,0.22612911636602578,0.3885955649419218,0.6114044350580782,0.3885955649419219,auto,[0.59517872 0.63965268],0.5,13.421720446892493
180,HOS,0,5,0.6714484892448089,0.7464337224049389,0.5818786367414797,0.6657018813314037,0.6223806738527117,0.23839674462046065,0.6124604012671595,700,460,231,503,691,1203,0.47767393561786087,0.7518796992481203,0.6657018813314037,0.5818786367414797,0.5562273276904475,0.6560449859418931,1.592125970659401,1.7405979999496208,0.41812136325852034,0.5818786367414797,0.6124604012671595,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.67      0.58      0.56      0.62      0.40       691
          1       0.75      0.58      0.67      0.66      0.62      0.38      1203

avg / total       0.65      0.61      0.64      0.62      0.62      0.38      1894
",adam,0.6124604012671595,0.6237902590364417,1.0,"[[460 231]
 [503 700]]",1000,"              precision    recall  f1-score   support

           0       0.48      0.67      0.56       691
           1       0.75      0.58      0.66      1203

    accuracy                           0.61      1894
   macro avg       0.61      0.62      0.61      1894
weighted avg       0.65      0.61      0.62      1894
",0.22844473057647596,"(array([0.66570188, 0.58187864]), array([0.58187864, 0.66570188]), array([ 691, 1203], dtype=int32))",,0.001,[0 0 1 ... 0 0 0],,0.6124604012671595,constant,logistic,"(1,)",0.6124604012671595,[0.66570188 0.58187864],"(array([0.        , 0.33429812, 1.        ]), array([0.        , 0.58187864, 1.        ]), array([2, 1, 0]))","[[ 1.40079644 -0.12814664  0.10108137 -0.47065505  0.96691164  0.21292819]
 [ 1.17312299 -0.46459613 -0.24293334 -0.40324733 -0.42957661  0.78287843]
 [-0.17721608 -0.32040349 -0.12007094  3.52084476 -0.87335859 -0.14329071]
 ...
 [ 0.17413385 -0.33468486 -0.05015916 -0.26450089 -0.08647799  0.33887884]
 [-0.26803761 -0.4023669  -0.05980545 -0.16098544 -0.82354724 -0.33317843]
 [-0.13583276 -0.33513693 -0.08837845 -0.51880342  0.81630681  0.33078275]]",False,0.9,0.7030782359760392,0.6124604012671595,"(0.6124604012671595, 0.6124604012671595, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.48      0.67      0.58      0.56      0.62      0.39       691
          1       0.75      0.58      0.67      0.66      0.62      0.38      1203

avg / total       0.65      0.61      0.64      0.62      0.62      0.39      1894
",0.0001,0.6124604012671595,0.23839674462046065,0.3875395987328405,0.6124604012671595,0.38753959873284055,auto,[0.58187864 0.66570188],0.5,13.385241066985648
216,HOS,0,6,0.6713029293625561,0.7532099254546731,0.5519534497090607,0.6888567293777135,0.6166172622748489,0.232444470463887,0.6019007391763463,664,476,215,539,691,1203,0.4689655172413793,0.7554038680318543,0.6888567293777135,0.5519534497090607,0.5580304806565064,0.6378482228626321,1.5374668746593494,1.7739527151114463,0.4480465502909393,0.5519534497090607,0.6019007391763463,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.69      0.55      0.56      0.62      0.40       691
          1       0.76      0.55      0.69      0.64      0.62      0.36      1203

avg / total       0.65      0.60      0.64      0.61      0.62      0.38      1894
",adam,0.6019007391763463,0.6204050895433871,1.0,"[[476 215]
 [539 664]]",1000,"              precision    recall  f1-score   support

           0       0.47      0.69      0.56       691
           1       0.76      0.55      0.64      1203

    accuracy                           0.60      1894
   macro avg       0.61      0.62      0.60      1894
weighted avg       0.65      0.60      0.61      1894
",0.2189622376306719,"(array([0.68885673, 0.55195345]), array([0.55195345, 0.68885673]), array([ 691, 1203], dtype=int32))",,0.001,[0 1 1 ... 0 0 0],,0.6019007391763463,constant,logistic,"(1,)",0.6019007391763463,[0.68885673 0.55195345],"(array([0.        , 0.31114327, 1.        ]), array([0.        , 0.55195345, 1.        ]), array([2, 1, 0]))","[[ 1.36511768 -0.12396221  0.12143918 -0.47378309  0.95125974  0.15170556]
 [-0.18422487 -0.32517344 -0.12269971  3.5103577  -0.86063901 -0.12860704]
 [-0.2304739  -0.21450726 -0.23120588 -0.56029037 -0.85963686 -0.17345706]
 ...
 [ 0.14130435 -0.23972741 -0.11853146 -0.40221179  1.56915322  0.95329577]
 [ 6.1355247  -0.24000644  0.13996388 -0.45947417  0.1887469   0.05023446]
 [-0.57244277 -0.42493057 -0.21396582 -0.41350593  0.19524744  0.20482986]]",False,0.9,0.701530664231163,0.6019007391763463,"(0.6019007391763463, 0.6019007391763463, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.69      0.55      0.56      0.62      0.39       691
          1       0.76      0.55      0.69      0.64      0.62      0.38      1203

avg / total       0.65      0.60      0.64      0.61      0.62      0.38      1894
",0.0001,0.6019007391763463,0.232444470463887,0.39809926082365366,0.6019007391763463,0.39809926082365366,auto,[0.55195345 0.68885673],0.5,13.749952119963119
252,HOS,0,7,0.6715302914926864,0.7523285631152612,0.5610972568578554,0.6772793053545586,0.6164572656405606,0.22980927468625284,0.6034846884899683,675,468,223,528,691,1203,0.46987951807228917,0.7516703786191536,0.6772793053545586,0.5610972568578554,0.5548310610551275,0.6425511661113755,1.5431193264044205,1.73864665690035,0.4389027431421446,0.5610972568578554,0.6034846884899683,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.68      0.56      0.55      0.62      0.39       691
          1       0.75      0.56      0.68      0.64      0.62      0.37      1203

avg / total       0.65      0.60      0.63      0.61      0.62      0.38      1894
",adam,0.6034846884899683,0.619188281106207,1.0,"[[468 223]
 [528 675]]",1000,"              precision    recall  f1-score   support

           0       0.47      0.68      0.55       691
           1       0.75      0.56      0.64      1203

    accuracy                           0.60      1894
   macro avg       0.61      0.62      0.60      1894
weighted avg       0.65      0.60      0.61      1894
",0.21790877689961985,"(array([0.67727931, 0.56109726]), array([0.56109726, 0.67727931]), array([ 691, 1203], dtype=int32))",,0.001,[0 0 1 ... 0 0 0],,0.6034846884899683,constant,logistic,"(1,)",0.6034846884899683,[0.67727931 0.56109726],"(array([0.        , 0.32272069, 1.        ]), array([0.        , 0.56109726, 1.        ]), array([2, 1, 0]))","[[ 1.39578413e+00 -1.22332556e-01  1.07925878e-01 -4.68344433e-01
   9.76249128e-01  1.62232840e-01]
 [ 1.16918751e+00 -4.53140687e-01 -2.44391849e-01 -3.99820455e-01
  -4.23988398e-01  6.24901594e-01]
 [-1.74764871e-01 -3.11365774e-01 -1.18564089e-01  3.58925396e+00
  -8.68961839e-01 -1.26935131e-01]
 ...
 [ 2.62708542e-01  6.53486678e-01 -4.29929726e-02  2.56095349e-01
  -7.83178656e-01 -6.47574374e-01]
 [-3.36477409e-01 -2.00937494e-01  4.86773992e-02 -5.01242335e-01
  -8.61287516e-01 -6.64852996e-01]
 [-1.27067387e-01 -2.77591233e-03  3.82120707e-01 -4.09936102e-01
   2.35954922e-01 -4.45004530e-01]]",False,0.9,0.7005352667019784,0.6034846884899683,"(0.6034846884899683, 0.6034846884899683, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.68      0.56      0.55      0.62      0.38       691
          1       0.75      0.56      0.68      0.64      0.62      0.38      1203

avg / total       0.65      0.60      0.63      0.61      0.62      0.38      1894
",0.0001,0.6034846884899683,0.22980927468625284,0.3965153115100317,0.6034846884899683,0.39651531151003166,auto,[0.56109726 0.67727931],0.5,13.695247826190526
288,HOS,0,8,0.6712415776766478,0.7470071000211723,0.5702410640066501,0.6642547033285094,0.6154553670230449,0.2258710631283714,0.6045406546990496,686,459,232,517,691,1203,0.4702868852459016,0.7472766884531591,0.6642547033285094,0.5702410640066501,0.5506898620275945,0.6468646864686469,1.5456448899500908,1.6984335139163589,0.4297589359933499,0.5702410640066501,0.6045406546990496,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.66      0.57      0.55      0.62      0.39       691
          1       0.75      0.57      0.66      0.65      0.62      0.37      1203

avg / total       0.65      0.60      0.63      0.61      0.62      0.38      1894
",adam,0.6045406546990496,0.6172478836675797,1.0,"[[459 232]
 [517 686]]",1000,"              precision    recall  f1-score   support

           0       0.47      0.66      0.55       691
           1       0.75      0.57      0.65      1203

    accuracy                           0.60      1894
   macro avg       0.61      0.62      0.60      1894
weighted avg       0.65      0.60      0.61      1894
",0.21557496795626796,"(array([0.6642547 , 0.57024106]), array([0.57024106, 0.6642547 ]), array([ 691, 1203], dtype=int32))",,0.001,[0 0 1 ... 0 0 0],,0.6045406546990496,constant,logistic,"(1,)",0.6045406546990496,[0.6642547  0.57024106],"(array([0.       , 0.3357453, 1.       ]), array([0.        , 0.57024106, 1.        ]), array([2, 1, 0]))","[[ 1.42764529 -0.12288059  0.16192828 -0.471744    0.97429378  0.18215278]
 [ 1.19664052 -0.45949053 -0.27065009 -0.40347821 -0.42562177  0.67493218]
 [ 0.19296459 -0.37293369 -0.17795473 -0.52538142 -0.28583429  1.10611414]
 ...
 [ 0.11810847 -0.1613503   0.17420511 -0.44248724 -0.6043238  -1.00541264]
 [-0.31784867 -0.39525149 -0.26044929  1.00988751 -0.67703457  0.06815453]
 [ 0.62241996  1.03748534  0.39702475 -0.54679405 -0.37607013 -0.70913628]]",False,0.9,0.6990951189784138,0.6045406546990496,"(0.6045406546990496, 0.6045406546990496, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.66      0.57      0.55      0.62      0.38       691
          1       0.75      0.57      0.66      0.65      0.62      0.38      1203

avg / total       0.65      0.60      0.63      0.61      0.62      0.38      1894
",0.0001,0.6045406546990496,0.2258710631283714,0.3954593453009504,0.6045406546990496,0.3954593453009504,auto,[0.57024106 0.6642547 ],0.5,13.658779844979886
324,HOS,0,9,0.6714593160129103,0.7482067569098305,0.5685785536159601,0.6743849493487699,0.619225983854922,0.2341061489979666,0.6071805702217529,684,466,225,519,691,1203,0.4730964467005076,0.7524752475247525,0.6743849493487699,0.5685785536159601,0.5560859188544153,0.6477272727272728,1.5631697380858771,1.7461679135494597,0.4314214463840399,0.5685785536159601,0.6071805702217529,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.67      0.57      0.56      0.62      0.40       691
          1       0.75      0.57      0.67      0.65      0.62      0.37      1203

avg / total       0.65      0.61      0.64      0.61      0.62      0.38      1894
",adam,0.6071805702217529,0.6214817514823651,1.0,"[[466 225]
 [519 684]]",1000,"              precision    recall  f1-score   support

           0       0.47      0.67      0.56       691
           1       0.75      0.57      0.65      1203

    accuracy                           0.61      1894
   macro avg       0.61      0.62      0.60      1894
weighted avg       0.65      0.61      0.61      1894
",0.2227917889727612,"(array([0.67438495, 0.56857855]), array([0.56857855, 0.67438495]), array([ 691, 1203], dtype=int32))",,0.001,[0 0 1 ... 0 0 0],,0.6071805702217529,constant,logistic,"(1,)",0.6071805702217529,[0.67438495 0.56857855],"(array([0.        , 0.32561505, 1.        ]), array([0.        , 0.56857855, 1.        ]), array([2, 1, 0]))","[[ 1.39281847 -0.12825926  0.12450155 -0.47199058  0.97158698  0.17093839]
 [ 1.1663683  -0.49479949 -0.25797109 -0.40367852 -0.42607964  0.64070893]
 [-0.17671549 -0.33771082 -0.12137372  3.57305908 -0.87023609 -0.12266819]
 ...
 [-0.31075107  1.54403594 19.50779985  0.130549   -0.87814523  1.34448628]
 [-0.31257782 -0.40138201 -0.19897189 -0.44446621 -0.22974857  0.18648988]
 [-0.27777729 -0.35865597 -0.23065162  3.65782352  0.68608137  0.71958054]]",False,0.9,0.7018645191260351,0.6071805702217529,"(0.6071805702217529, 0.6071805702217529, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.47      0.67      0.57      0.56      0.62      0.39       691
          1       0.75      0.57      0.67      0.65      0.62      0.38      1203

avg / total       0.65      0.61      0.64      0.61      0.62      0.38      1894
",0.0001,0.6071805702217529,0.2341061489979666,0.39281942977824713,0.6071805702217529,0.3928194297782471,auto,[0.56857855 0.67438495],0.5,13.56759743782225
