,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,fbeta_score,confusion_matrix,accuracy,y,cohen_kappa_score,bal_report,roc_auc_score,imb_report_0.3,pr_curve,rec_score,X,imb_spec,prec_score,f1_score,matthews_corrcoef,roc_curve,hamming_loss,imb_sens,imb_sens_micro,imb_report_0.1,imb_spec_micro,log_loss,avg_prec_score,imb_sens_spec_supp_micro,imb_sens_spec_supp,priors,hinge_loss,zero_one_loss
4,HOS,0,0,0.6868608389467238,0.4786014062925503,0.7394366197183099,0.5226086956521739,0.6216397729782406,0.24859746217818474,0.5942956926658906,420,601,549,148,1150,568,0.8024032042723631,0.43343653250773995,0.5226086956521739,0.7394366197183099,0.6329647182727751,0.5465191932335719,2.005687426556992,1.5489109520511046,0.2605633802816901,0.7394366197183099,0.5942956926658906,"[[601 549]
 [148 420]]",0.5942956926658906,[0 1 1 ... 1 1 1],0.22232757624131216,"              precision    recall  f1-score   support

           0       0.80      0.52      0.63      1150
           1       0.43      0.74      0.55       568

    accuracy                           0.59      1718
   macro avg       0.62      0.63      0.59      1718
weighted avg       0.68      0.59      0.60      1718
",0.6310226576852419,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.52      0.74      0.63      0.62      0.36      1150
          1       0.43      0.74      0.52      0.55      0.62      0.41       568

avg / total       0.68      0.59      0.67      0.60      0.62      0.38      1718
",,0.5942956926658906,"[[-0.9843516  -0.71116835 -0.33610828 ...  0.37123731 -0.49063233
  -0.82260158]
 [-1.6752101   0.12837635 -0.47645329 ...  1.88255475 -0.27383538
  -0.34159764]
 [-0.29349309 -0.70386796 -0.47645329 ... -0.91891172 -0.77517834
  -0.64445197]
 ...
 [ 1.81761314 -0.55091855  0.02909891 ... -1.00169173 -0.59392057
  -0.62458038]
 [ 0.77875372 -0.76444755  0.01904883 ...  1.25925371 -0.05533853
   0.54784457]
 [-0.8461799   1.57253368  0.19809289 ...  0.73809788  0.31074008
   0.48587529]]",[0.73943662 0.5226087 ],0.5942956926658906,0.5942956926658906,0.24859746217818474,"(array([0.       , 0.4773913, 1.       ]), array([0.        , 0.73943662, 1.        ]), array([2, 1, 0]))",0.40570430733410945,[0.5226087  0.73943662],0.5942956926658906,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.52      0.74      0.63      0.62      0.38      1150
          1       0.43      0.74      0.52      0.55      0.62      0.39       568

avg / total       0.68      0.59      0.67      0.60      0.62      0.38      1718
",0.5942956926658906,14.012785870920794,0.40664552664854,"(0.5942956926658906, 0.5942956926658906, None)","(array([0.5226087 , 0.73943662]), array([0.73943662, 0.5226087 ]), array([1150,  568]))",,,0.40570430733410945
5,HOS,0,1,0.684309552969994,0.4777763992773594,0.7235915492957746,0.5391304347826087,0.6245880454962714,0.24832141949253278,0.60011641443539,411,620,530,157,1150,568,0.797940797940798,0.436769394261424,0.5391304347826087,0.7235915492957746,0.6434872859366891,0.5447316103379721,1.9504846302963166,1.5700571352644166,0.2764084507042254,0.7235915492957746,0.60011641443539,"[[620 530]
 [157 411]]",0.60011641443539,[0 1 1 ... 1 1 1],0.2252859560245385,"              precision    recall  f1-score   support

           0       0.80      0.54      0.64      1150
           1       0.44      0.72      0.54       568

    accuracy                           0.60      1718
   macro avg       0.62      0.63      0.59      1718
weighted avg       0.68      0.60      0.61      1718
",0.6313609920391916,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.54      0.72      0.64      0.62      0.37      1150
          1       0.44      0.72      0.54      0.54      0.62      0.41       568

avg / total       0.68      0.60      0.66      0.61      0.62      0.38      1718
",,0.60011641443539,"[[-0.95578543 -0.70508318 -0.3226368  ...  0.36977802 -0.49640764
  -0.81111102]
 [-1.64164527  0.10862038 -0.46329775 ...  1.8787944  -0.278319
  -0.34218392]
 [-0.26992559 -0.6980075  -0.46329775 ... -0.91840668 -0.78264896
  -0.63743432]
 ...
 [-0.26950475 -0.18262424 -0.36755049 ... -0.03530586  2.3717004
   1.53173472]
 [-1.41209159  0.74369796  0.09312635 ... -0.06099481  0.11098499
  -0.75936268]
 [ 1.23896605 -0.66197704 -0.28065456 ...  0.5608859  -0.55292432
  -1.41483763]]",[0.72359155 0.53913043],0.60011641443539,0.60011641443539,0.24832141949253278,"(array([0.        , 0.46086957, 1.        ]), array([0.        , 0.72359155, 1.        ]), array([2, 1, 0]))",0.39988358556461,[0.53913043 0.72359155],0.60011641443539,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.54      0.72      0.64      0.62      0.38      1150
          1       0.44      0.72      0.54      0.54      0.62      0.40       568

avg / total       0.68      0.60      0.66      0.61      0.62      0.39      1718
",0.60011641443539,13.811736420222143,0.40742797445974166,"(0.60011641443539, 0.60011641443539, None)","(array([0.53913043, 0.72359155]), array([0.72359155, 0.53913043]), array([1150,  568]))",,,0.39988358556461
7,HOS,0,2,0.6895254133496632,0.4774335641347007,0.6971830985915493,0.5852173913043478,0.6387516530070418,0.26573763004932816,0.6222351571594877,396,673,477,172,1150,568,0.7964497041420119,0.4536082474226804,0.5852173913043478,0.6971830985915493,0.67468671679198,0.549618320610687,1.9325783619817996,1.6808397555142172,0.30281690140845074,0.6971830985915493,0.6222351571594877,"[[673 477]
 [172 396]]",0.6222351571594877,[1 1 0 ... 1 1 1],0.24861885154760066,"              precision    recall  f1-score   support

           0       0.80      0.59      0.67      1150
           1       0.45      0.70      0.55       568

    accuracy                           0.62      1718
   macro avg       0.63      0.64      0.61      1718
weighted avg       0.68      0.62      0.63      1718
",0.6412002449479485,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.59      0.70      0.67      0.64      0.39      1150
          1       0.45      0.70      0.59      0.55      0.64      0.42       568

avg / total       0.68      0.62      0.66      0.63      0.64      0.40      1718
",,0.6222351571594877,"[[-1.66160424  0.12860506 -0.44230804 ...  1.88065197 -0.27374404
  -0.34432278]
 [-1.25297722 -0.08077781 -0.34004425 ...  0.07528204  0.43926263
   1.1592174 ]
 [ 1.06257593 -0.75946711 -0.13551668 ... -0.62475936  0.04912691
  -0.57160211]
 ...
 [-0.16330515 -0.6477364  -0.31447831 ...  0.16057754 -0.49538089
   0.90448447]
 [-1.17500669 -0.51502969 -0.11970727 ...  0.01734688 -0.06044562
   1.09435069]
 [ 0.19021445 -0.61853739 -0.25807711 ... -0.83457488 -0.78125939
   0.34685721]]",[0.6971831  0.58521739],0.6222351571594877,0.6222351571594877,0.26573763004932816,"(array([0.        , 0.41478261, 1.        ]), array([0.       , 0.6971831, 1.       ]), array([2, 1, 0]))",0.3777648428405122,[0.58521739 0.6971831 ],0.6222351571594877,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.59      0.70      0.67      0.64      0.40      1150
          1       0.45      0.70      0.59      0.55      0.64      0.41       568

avg / total       0.68      0.62      0.66      0.63      0.64      0.41      1718
",0.6222351571594877,13.047757443696877,0.41636441792021645,"(0.6222351571594877, 0.6222351571594877, None)","(array([0.58521739, 0.6971831 ]), array([0.6971831 , 0.58521739]), array([1150,  568]))",,,0.37776484284051226
6,HOS,0,3,0.6797948560930802,0.46611078608932305,0.7200704225352113,0.5434782608695652,0.6255738333266901,0.2489158029253029,0.6018626309662398,409,625,525,159,1150,568,0.7971938775510204,0.43790149892933616,0.5434782608695652,0.7200704225352113,0.6463288521199585,0.5446071904127829,1.941482089144107,1.5772971160295102,0.27992957746478875,0.7200704225352113,0.6018626309662398,"[[625 525]
 [159 409]]",0.6018626309662398,[0 1 1 ... 1 1 1],0.22660081663169707,"              precision    recall  f1-score   support

           0       0.80      0.54      0.65      1150
           1       0.44      0.72      0.54       568

    accuracy                           0.60      1718
   macro avg       0.62      0.63      0.60      1718
weighted avg       0.68      0.60      0.61      1718
",0.6317743417023882,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.54      0.72      0.65      0.63      0.37      1150
          1       0.44      0.72      0.54      0.54      0.63      0.41       568

avg / total       0.68      0.60      0.66      0.61      0.63      0.38      1718
",,0.6018626309662398,"[[-0.98163026 -0.70098624 -0.31387506 ...  0.36906535 -0.48465138
  -0.80980913]
 [-1.6656705   0.14630804 -0.44879682 ...  1.87706998 -0.26549801
  -0.33836256]
 [-0.29759002 -0.69361846 -0.44879682 ... -0.91825567 -0.77229017
  -0.63519929]
 ...
 [-0.57120612 -0.60390169 -0.32195213 ...  0.47440364 -0.52667429
  -0.13560273]
 [-0.57120612 -0.601532   -0.32286571 ...  0.47938459 -0.52574684
  -0.14624352]
 [-0.16237708 -0.47275698 -0.33620471 ... -0.26085604  1.17850643
  -0.32433116]]",[0.72007042 0.54347826],0.6018626309662398,0.6018626309662398,0.2489158029253029,"(array([0.        , 0.45652174, 1.        ]), array([0.        , 0.72007042, 1.        ]), array([2, 1, 0]))",0.3981373690337602,[0.54347826 0.72007042],0.6018626309662398,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.54      0.72      0.65      0.63      0.38      1150
          1       0.44      0.72      0.54      0.54      0.63      0.40       568

avg / total       0.68      0.60      0.66      0.61      0.63      0.39      1718
",0.6018626309662398,13.751421910808938,0.4078693934978902,"(0.6018626309662398, 0.6018626309662398, None)","(array([0.54347826, 0.72007042]), array([0.72007042, 0.54347826]), array([1150,  568]))",,,0.3981373690337602
3,HOS,0,4,0.6835027556644213,0.4740735038191186,0.7359154929577465,0.5173913043478261,0.6170545168712258,0.24045586553204898,0.589639115250291,418,595,555,150,1150,568,0.7986577181208053,0.4295991778006166,0.5173913043478261,0.7359154929577465,0.6279683377308707,0.5425048669695004,1.9591884057971016,1.5248699403628982,0.2640845070422535,0.7359154929577465,0.589639115250291,"[[595 555]
 [150 418]]",0.589639115250291,[0 1 1 ... 1 1 1],0.21458910194473801,"              precision    recall  f1-score   support

           0       0.80      0.52      0.63      1150
           1       0.43      0.74      0.54       568

    accuracy                           0.59      1718
   macro avg       0.61      0.63      0.59      1718
weighted avg       0.68      0.59      0.60      1718
",0.6266533986527862,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.52      0.74      0.63      0.62      0.36      1150
          1       0.43      0.74      0.52      0.54      0.62      0.41       568

avg / total       0.68      0.59      0.66      0.60      0.62      0.37      1718
",,0.589639115250291,"[[-0.96949674 -0.70982895 -0.31968053 ...  0.35922862 -0.48945127
  -0.80925263]
 [-1.653328    0.11715774 -0.45200552 ...  1.85536273 -0.26778286
  -0.33332322]
 [-0.28566548 -0.70263776 -0.45200552 ... -0.91795903 -0.78039105
  -0.63298247]
 ...
 [-0.30783433 -0.25970047 -0.28272467 ...  0.21030685  0.16020552
  -0.90262405]
 [-1.61678733  0.38006617  0.20724025 ...  0.59201016  3.32801842
   3.1085641 ]
 [ 0.94795234 -0.08486334  0.37693855 ...  0.01510491 -0.51725171
  -1.21525859]]",[0.73591549 0.5173913 ],0.589639115250291,0.589639115250291,0.24045586553204898,"(array([0.       , 0.4826087, 1.       ]), array([0.        , 0.73591549, 1.        ]), array([2, 1, 0]))",0.41036088474970894,[0.5173913  0.73591549],0.589639115250291,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.52      0.74      0.63      0.62      0.37      1150
          1       0.43      0.74      0.52      0.54      0.62      0.39       568

avg / total       0.68      0.59      0.66      0.60      0.62      0.38      1718
",0.589639115250291,14.173621149584276,0.40345951724787465,"(0.589639115250291, 0.589639115250291, None)","(array([0.5173913 , 0.73591549]), array([0.73591549, 0.5173913 ]), array([1150,  568]))",,,0.410360884749709
2,HOS,0,5,0.6741243110838946,0.4675494658787768,0.7306338028169014,0.5226086956521739,0.6179284575818859,0.24006867070915455,0.5913853317811408,415,601,549,153,1150,568,0.7970822281167109,0.43049792531120334,0.5226086956521739,0.7306338028169014,0.6313025210084033,0.5417754569190601,1.940142085819835,1.5304715359552579,0.2693661971830986,0.7306338028169014,0.5913853317811408,"[[601 549]
 [153 415]]",0.5913853317811408,[0 1 1 ... 1 1 1],0.21526581263761713,"              precision    recall  f1-score   support

           0       0.80      0.52      0.63      1150
           1       0.43      0.73      0.54       568

    accuracy                           0.59      1718
   macro avg       0.61      0.63      0.59      1718
weighted avg       0.68      0.59      0.60      1718
",0.6266212492345377,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.52      0.73      0.63      0.62      0.36      1150
          1       0.43      0.73      0.52      0.54      0.62      0.41       568

avg / total       0.68      0.59      0.66      0.60      0.62      0.37      1718
",,0.5913853317811408,"[[-0.97219375 -0.71381814 -0.32931399 ...  0.36094466 -0.48132883
  -0.81449161]
 [-1.65327763  0.13121009 -0.46914558 ...  1.87244961 -0.25887647
  -0.34368963]
 [-0.29110987 -0.70647006 -0.46914558 ... -0.92936444 -0.77329755
  -0.64012051]
 ...
 [ 0.27357743  0.06619202 -0.2629332  ...  0.95307782  1.99069613
   0.70847316]
 [-0.34762277  0.38300004 -0.23341159 ...  0.37861769 -0.38531419
  -0.03388419]
 [ 0.72781244 -0.66339371  2.69632254 ... -0.59757067 -0.26653621
  -0.43764655]]",[0.7306338 0.5226087],0.5913853317811408,0.5913853317811408,0.24006867070915455,"(array([0.       , 0.4773913, 1.       ]), array([0.       , 0.7306338, 1.       ]), array([2, 1, 0]))",0.4086146682188591,[0.5226087 0.7306338],0.5913853317811408,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.52      0.73      0.63      0.62      0.37      1150
          1       0.43      0.73      0.52      0.54      0.62      0.39       568

avg / total       0.68      0.59      0.66      0.60      0.62      0.38      1718
",0.5913853317811408,14.113306174747658,0.403593379348252,"(0.5913853317811408, 0.5913853317811408, None)","(array([0.5226087, 0.7306338]), array([0.7306338, 0.5226087]), array([1150,  568]))",,,0.40861466821885917
0,HOS,0,6,0.6884951010410288,0.47555186647397263,0.6813380281690141,0.6147826086956522,0.6472053540888689,0.2787701274923918,0.6367869615832363,387,707,443,181,1150,568,0.7961711711711712,0.46626506024096387,0.6147826086956522,0.6813380281690141,0.6938174681059863,0.553648068669528,1.9292625510449197,1.7687104568721586,0.3186619718309859,0.6813380281690141,0.6367869615832364,"[[707 443]
 [181 387]]",0.6367869615832363,[0 1 1 ... 1 1 1],0.26516981473509893,"              precision    recall  f1-score   support

           0       0.80      0.61      0.69      1150
           1       0.47      0.68      0.55       568

    accuracy                           0.64      1718
   macro avg       0.63      0.65      0.62      1718
weighted avg       0.69      0.64      0.65      1718
",0.6480603184323331,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.61      0.68      0.69      0.65      0.41      1150
          1       0.47      0.68      0.61      0.55      0.65      0.43       568

avg / total       0.69      0.64      0.66      0.65      0.65      0.42      1718
",,0.6367869615832363,"[[-0.965009   -0.70643434 -0.30950841 ...  0.3677984  -0.48805445
  -0.83562212]
 [-1.64453337  0.10435054 -0.43481821 ...  1.88327392 -0.2707516
  -0.34435408]
 [-0.28548464 -0.69938404 -0.43481821 ... -0.92590021 -0.77326444
  -0.65367099]
 ...
 [-0.28548464 -0.35908417 -0.36748989 ...  0.59177179  2.56828423
   3.16691445]
 [-1.47074421  0.20359888 -0.2691063  ... -0.83651917  0.56898159
   0.59076152]
 [-1.04880156  2.61060043  0.57871419 ... -0.15635139 -0.43270781
   0.60603316]]",[0.68133803 0.61478261],0.6367869615832363,0.6367869615832363,0.2787701274923918,"(array([0.        , 0.38521739, 1.        ]), array([0.        , 0.68133803, 1.        ]), array([2, 1, 0]))",0.36321303841676367,[0.61478261 0.68133803],0.6367869615832363,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.61      0.68      0.69      0.65      0.42      1150
          1       0.47      0.68      0.61      0.55      0.65      0.42       568

avg / total       0.69      0.64      0.66      0.65      0.65      0.42      1718
",0.6367869615832363,12.545140100166378,0.4230391807766244,"(0.6367869615832363, 0.6367869615832363, None)","(array([0.61478261, 0.68133803]), array([0.68133803, 0.61478261]), array([1150,  568]))",,,0.36321303841676367
1,HOS,0,7,0.6805082669932638,0.470136537407151,0.704225352112676,0.5530434782608695,0.6240731032594498,0.24255438917544153,0.6030267753201397,400,636,514,168,1150,568,0.7910447761194029,0.437636761487965,0.5530434782608695,0.704225352112676,0.6509723643807573,0.5398110661268556,1.8698136645962729,1.5756014687345863,0.295774647887324,0.704225352112676,0.6030267753201397,"[[636 514]
 [168 400]]",0.6030267753201397,[0 1 1 ... 1 1 1],0.22290903399187667,"              precision    recall  f1-score   support

           0       0.79      0.55      0.65      1150
           1       0.44      0.70      0.54       568

    accuracy                           0.60      1718
   macro avg       0.61      0.63      0.60      1718
weighted avg       0.67      0.60      0.61      1718
",0.6286344151867728,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.55      0.70      0.65      0.62      0.37      1150
          1       0.44      0.70      0.55      0.54      0.62      0.41       568

avg / total       0.67      0.60      0.65      0.61      0.62      0.38      1718
",,0.6030267753201397,"[[-0.97862248 -0.69931709 -0.32387019 ...  0.36443851 -0.48210509
  -0.81804645]
 [-0.29493046 -0.69216373 -0.4627215  ... -0.92024645 -0.77078928
  -0.6407931 ]
 [-1.25209929 -0.08412823 -0.35164045 ...  0.07079623  0.46642869
   1.18491635]
 ...
 [-0.12256583 -0.06701692 -0.45146652 ...  0.06432878  1.53459173
   1.95392563]
 [-0.68411126  1.99253893 -0.4627215  ...  2.42558081  1.15324703
  -0.50103258]
 [ 0.10334102 -0.56625176 -0.31614137 ...  0.53014269 -0.02592457
  -0.19524625]]",[0.70422535 0.55304348],0.6030267753201397,0.6030267753201397,0.24255438917544153,"(array([0.        , 0.44695652, 1.        ]), array([0.        , 0.70422535, 1.        ]), array([2, 1, 0]))",0.3969732246798603,[0.55304348 0.70422535],0.6030267753201397,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.55      0.70      0.65      0.62      0.38      1150
          1       0.44      0.70      0.55      0.54      0.62      0.40       568

avg / total       0.67      0.60      0.65      0.61      0.62      0.39      1718
",0.6030267753201397,13.711208669620607,0.40598302818390364,"(0.6030267753201397, 0.6030267753201397, None)","(array([0.55304348, 0.70422535]), array([0.70422535, 0.55304348]), array([1150,  568]))",,,0.3969732246798603
9,HOS,0,8,0.6830633802816901,0.4733737265484965,0.7059859154929577,0.551304347826087,0.6238694612779567,0.2426305672678401,0.6024447031431898,401,634,516,167,1150,568,0.7915106117353309,0.4372955288985823,0.551304347826087,0.7059859154929577,0.6499231163505894,0.5400673400673401,1.8750950273366311,1.5734182225133748,0.29401408450704225,0.7059859154929577,0.6024447031431898,"[[634 516]
 [167 401]]",0.6024447031431898,[0 1 1 ... 1 1 1],0.22266975286150947,"              precision    recall  f1-score   support

           0       0.79      0.55      0.65      1150
           1       0.44      0.71      0.54       568

    accuracy                           0.60      1718
   macro avg       0.61      0.63      0.59      1718
weighted avg       0.67      0.60      0.61      1718
",0.6286451316595224,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.55      0.71      0.65      0.62      0.37      1150
          1       0.44      0.71      0.55      0.54      0.62      0.41       568

avg / total       0.67      0.60      0.65      0.61      0.62      0.38      1718
",,0.6024447031431898,"[[-0.98546219 -0.69534275 -0.30807695 ...  0.37787329 -0.4789141
  -0.81196092]
 [-1.67335601  0.1079832  -0.43446503 ...  1.89017801 -0.25941105
  -0.34030421]
 [-0.29756838 -0.6883573  -0.43446503 ... -0.91311854 -0.76701187
  -0.63727325]
 ...
 [-1.03393493 -0.38678913 -0.11332166 ... -0.70079035 -0.34897503
  -0.77503259]
 [-0.14531959  0.77596137  0.06266142 ...  0.08278944  0.32604666
   2.46933949]
 [-0.87579517 -0.68932297 -0.22381823 ... -0.64743691 -0.49174628
   0.59190733]]",[0.70598592 0.55130435],0.6024447031431898,0.6024447031431898,0.2426305672678401,"(array([0.        , 0.44869565, 1.        ]), array([0.        , 0.70598592, 1.        ]), array([2, 1, 0]))",0.39755529685681024,[0.55130435 0.70598592],0.6024447031431898,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.55      0.71      0.65      0.62      0.38      1150
          1       0.44      0.71      0.55      0.54      0.62      0.40       568

avg / total       0.67      0.60      0.65      0.61      0.62      0.39      1718
",0.6024447031431898,13.731313661232814,0.4059305378610831,"(0.6024447031431898, 0.6024447031431898, None)","(array([0.55130435, 0.70598592]), array([0.70598592, 0.55130435]), array([1150,  568]))",,,0.39755529685681024
8,HOS,0,9,0.6839758113900796,0.47563615858150093,0.6936619718309859,0.5730434782608695,0.6304747965425116,0.2510503565515907,0.6129220023282888,394,659,491,174,1150,568,0.7911164465786314,0.44519774011299434,0.5730434782608695,0.6936619718309859,0.6646495209278871,0.5423262216104611,1.8706246876561716,1.624666532801698,0.3063380281690141,0.6936619718309859,0.6129220023282888,"[[659 491]
 [174 394]]",0.6129220023282888,[0 1 1 ... 1 1 1],0.23370138990431244,"              precision    recall  f1-score   support

           0       0.79      0.57      0.66      1150
           1       0.45      0.69      0.54       568

    accuracy                           0.61      1718
   macro avg       0.62      0.63      0.60      1718
weighted avg       0.68      0.61      0.62      1718
",0.6333527250459278,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.57      0.69      0.66      0.63      0.38      1150
          1       0.45      0.69      0.57      0.54      0.63      0.41       568

avg / total       0.68      0.61      0.65      0.62      0.63      0.39      1718
",,0.6129220023282888,"[[-0.96666195 -0.72777222 -0.3091184  ...  0.36421232 -0.48251578
  -0.81097604]
 [-1.64760804  0.12538818 -0.44162318 ...  1.86650761 -0.26217674
  -0.33573695]
 [-0.28571586 -0.72035343 -0.44162318 ... -0.91823489 -0.77171078
  -0.63496156]
 ...
 [-0.96666195 -0.18327413  0.11244355 ... -0.71161931  0.44876249
  -0.22753725]
 [ 0.47636434 -0.59687238 -0.2752337  ... -0.41188276  0.34187201
   0.0105409 ]
 [ 1.90268556 -0.47323199 -0.05050607 ... -0.3831433  -0.54662561
  -0.42859887]]",[0.69366197 0.57304348],0.6129220023282888,0.6129220023282888,0.2510503565515907,"(array([0.        , 0.42695652, 1.        ]), array([0.        , 0.69366197, 1.        ]), array([2, 1, 0]))",0.3870779976717113,[0.57304348 0.69366197],0.6129220023282888,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.57      0.69      0.66      0.63      0.39      1150
          1       0.45      0.69      0.57      0.54      0.63      0.40       568

avg / total       0.68      0.61      0.65      0.62      0.63      0.40      1718
",0.6129220023282888,13.36942893187068,0.41009730105076836,"(0.6129220023282888, 0.6129220023282888, None)","(array([0.57304348, 0.69366197]), array([0.69366197, 0.57304348]), array([1150,  568]))",,,0.38707799767171125
