,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,y,min_samples_leaf,log_loss,rec_score,imb_spec,class_weight,hamming_loss,cohen_kappa_score,n_estimators,imb_report_0.3,min_samples_split,X,zero_one_loss,matthews_corrcoef,imb_sens,roc_curve,pr_curve,imb_report_0.1,criterion,max_features,avg_prec_score,fbeta_score,accuracy,roc_auc_score,imb_sens_spec_supp_micro,hinge_loss,confusion_matrix,imb_sens_spec_supp,imb_sens_micro,bal_report,f1_score,imb_spec_micro,prec_score
0,HOS,0,0,0.7815134137641905,0.8418988243220527,0.7514546965918537,0.6859623733719248,0.7179621488321147,0.4284252030546189,0.7275607180570222,904,474,217,299,691,1203,0.6131953428201811,0.8064228367528992,0.6859623733719248,0.7514546965918537,0.6475409836065574,0.7779690189328744,2.7599088132656373,2.3928810845390367,0.2485453034081463,0.7514546965918537,[0 0 1 ... 0 0 0],5,9.409811051962127,0.7275607180570222,[0.7514547  0.68596237],,0.27243928194297784,0.4266431215643022,3,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.69      0.75      0.65      0.72      0.51       691
          1       0.81      0.75      0.69      0.78      0.72      0.53      1203

avg / total       0.74      0.73      0.71      0.73      0.72      0.52      1894
",5,"[[ 1.43875225 -0.1267357   0.11775135 -0.47503107  0.95467865  0.1875893 ]
 [ 1.20525888 -0.43906361 -0.25190254 -0.40741915 -0.42610557  0.70352185]
 [-0.17959838 -0.30520879 -0.11988329  3.52856087 -0.86489705 -0.13486855]
 ...
 [-0.58295829  0.06699718  0.02573428  0.20699204  2.25335055  1.03500889]
 [ 0.22832627 -0.30808474 -0.11119871 -0.48468992 -0.66188806 -0.45533344]
 [ 0.44990351 -0.25470459 -0.11988329 -0.39073888 -0.68674244  0.18877895]]",0.27243928194297784,0.4284252030546189,[0.68596237 0.7514547 ],"(array([0.        , 0.31403763, 1.        ]), array([0.       , 0.7514547, 1.       ]), array([2, 1, 0]))",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.69      0.75      0.65      0.72      0.51       691
          1       0.81      0.75      0.69      0.78      0.72      0.52      1203

avg / total       0.74      0.73      0.71      0.73      0.72      0.52      1894
",gini,,0.7638571763745476,0.7275607180570222,0.7275607180570222,0.7187085349818892,"(0.7275607180570222, 0.7275607180570222, None)",,"[[474 217]
 [299 904]]","(array([0.68596237, 0.7514547 ]), array([0.7514547 , 0.68596237]), array([ 691, 1203], dtype=int32))",0.7275607180570222,"              precision    recall  f1-score   support

           0       0.61      0.69      0.65       691
           1       0.81      0.75      0.78      1203

    accuracy                           0.73      1894
   macro avg       0.71      0.72      0.71      1894
weighted avg       0.74      0.73      0.73      1894
",0.7275607180570222,0.7275607180570222,0.7275607180570222
24,HOS,0,1,0.7756308697624005,0.847356070731706,0.7547797173732336,0.6483357452966715,0.6995360395276189,0.39743785089797745,0.7159450897571278,908,448,243,295,691,1203,0.6029609690444145,0.788879235447437,0.6483357452966715,0.7547797173732336,0.6248256624825662,0.7714528462192014,2.6438911918369348,2.146307755987261,0.24522028262676643,0.7547797173732336,[0 0 1 ... 0 0 0],5,9.811011617020847,0.7159450897571278,[0.75477972 0.64833575],,0.2840549102428722,0.3967617232131757,3,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.65      0.75      0.62      0.70      0.47       691
          1       0.79      0.75      0.65      0.77      0.70      0.50      1203

avg / total       0.72      0.72      0.69      0.72      0.70      0.49      1894
",5,"[[ 1.41688559 -0.12337398  0.12214162 -0.47209834  0.97044941  0.16963202]
 [ 1.18579255 -0.45322562 -0.2570331  -0.40404536 -0.41921114  0.65496338]
 [-0.18482822 -0.31186063 -0.12161356  3.55761024 -0.86082338 -0.13370009]
 ...
 [-0.30967915  0.9800309  -0.08548883 -0.44454501 -0.00404026 -0.61403133]
 [-0.62932306 -0.32681772 -0.23417383  2.6670349  -0.86455943 -0.18935633]
 [ 0.21044828 -0.09798565 -0.13550883 -0.41714027 -0.77379036 -0.32960506]]",0.2840549102428722,0.39743785089797745,[0.64833575 0.75477972],"(array([0.        , 0.35166425, 1.        ]), array([0.        , 0.75477972, 1.        ]), array([2, 1, 0]))",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.65      0.75      0.62      0.70      0.48       691
          1       0.79      0.75      0.65      0.77      0.70      0.49      1203

avg / total       0.72      0.72      0.69      0.72      0.70      0.49      1894
",gini,,0.7511850622121222,0.7159450897571278,0.7159450897571278,0.7015577313349526,"(0.7159450897571278, 0.7159450897571278, None)",,"[[448 243]
 [295 908]]","(array([0.64833575, 0.75477972]), array([0.75477972, 0.64833575]), array([ 691, 1203], dtype=int32))",0.7159450897571278,"              precision    recall  f1-score   support

           0       0.60      0.65      0.62       691
           1       0.79      0.75      0.77      1203

    accuracy                           0.72      1894
   macro avg       0.70      0.70      0.70      1894
weighted avg       0.72      0.72      0.72      1894
",0.7159450897571278,0.7159450897571278,0.7159450897571278
48,HOS,0,2,0.7906975205498072,0.8616773911558935,0.743142144638404,0.6671490593342981,0.7041211420964323,0.4021013448244357,0.7154171066525871,894,461,230,309,691,1203,0.5987012987012987,0.7953736654804271,0.6671490593342981,0.743142144638404,0.6310746064339493,0.7683712935109583,2.597347308670423,2.232657486717988,0.256857855361596,0.743142144638404,[0 0 1 ... 0 0 0],5,9.829242019147731,0.7154171066525871,[0.74314214 0.66714906],,0.2845828933474129,0.40054633193070555,3,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.67      0.74      0.63      0.70      0.48       691
          1       0.80      0.74      0.67      0.77      0.70      0.51      1203

avg / total       0.72      0.72      0.69      0.72      0.70      0.50      1894
",5,"[[ 1.36851899 -0.12425084  0.14081749 -0.46642581  0.97311412  0.22791601]
 [ 1.14547263 -0.48605316 -0.26132716 -0.39758409 -0.42253183  0.80443706]
 [-0.177423   -0.33099502 -0.11770407  3.60998734 -0.86604614 -0.13240964]
 ...
 [-0.46207506 -0.31037145 -0.37580172 -0.431884   -0.85353909 -0.34739973]
 [-0.45825476 -0.07759765 -0.19455451 -0.4238956   0.64366093  0.30902688]
 [-0.47352018 -0.3723006  -0.23260254  1.77215419 -0.85034001  0.18856664]]",0.28458289334741294,0.4021013448244357,[0.66714906 0.74314214],"(array([0.        , 0.33285094, 1.        ]), array([0.        , 0.74314214, 1.        ]), array([2, 1, 0]))",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.67      0.74      0.63      0.70      0.49       691
          1       0.80      0.74      0.67      0.77      0.70      0.50      1203

avg / total       0.72      0.72      0.69      0.72      0.70      0.50      1894
",gini,,0.7542224708570954,0.7154171066525872,0.7154171066525871,0.705145601986351,"(0.7154171066525871, 0.7154171066525871, None)",,"[[461 230]
 [309 894]]","(array([0.66714906, 0.74314214]), array([0.74314214, 0.66714906]), array([ 691, 1203], dtype=int32))",0.7154171066525871,"              precision    recall  f1-score   support

           0       0.60      0.67      0.63       691
           1       0.80      0.74      0.77      1203

    accuracy                           0.72      1894
   macro avg       0.70      0.71      0.70      1894
weighted avg       0.72      0.72      0.72      1894
",0.715417106652587,0.7154171066525871,0.7154171066525871
72,HOS,0,3,0.78560412764519,0.8561750258341673,0.7522859517871987,0.6700434153400868,0.709974822404191,0.41468262178352844,0.7222808870116156,905,463,228,298,691,1203,0.6084099868593955,0.7987643424536628,0.6700434153400868,0.7522859517871987,0.6377410468319559,0.7748287671232876,2.7049068075641762,2.2799543538813785,0.2477140482128013,0.7522859517871987,[0 0 1 ... 0 0 0],5,9.5921745997556,0.7222808870116156,[0.75228595 0.67004342],,0.27771911298838436,0.41341720904435153,3,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.67      0.75      0.64      0.71      0.49       691
          1       0.80      0.75      0.67      0.77      0.71      0.52      1203

avg / total       0.73      0.72      0.70      0.72      0.71      0.51      1894
",5,"[[ 1.36854699 -0.12685895  0.14578702 -0.47345217  0.9529666   0.18215938]
 [ 1.14377015 -0.47093802 -0.26570061 -0.40522506 -0.42984349  0.69144774]
 [-0.18938908 -0.32347556 -0.11874074  3.56656717 -0.86927877 -0.13614584]
 ...
 [-0.66245753 -0.46861202  0.11838197 -0.06425425 -0.89097517 -0.78893133]
 [-0.02477656 -0.24482891 -0.12514157 -0.30881906 -0.23171251 -0.63244718]
 [ 1.09879585 -0.04418286 -0.22426151 -0.30488189 -0.90253878 -0.12215596]]",0.27771911298838436,0.41468262178352844,[0.67004342 0.75228595],"(array([0.        , 0.32995658, 1.        ]), array([0.        , 0.75228595, 1.        ]), array([2, 1, 0]))",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.67      0.75      0.64      0.71      0.50       691
          1       0.80      0.75      0.67      0.77      0.71      0.51      1203

avg / total       0.73      0.72      0.70      0.72      0.71      0.51      1894
",gini,,0.7582381587695447,0.7222808870116156,0.7222808870116156,0.7111646835636427,"(0.7222808870116156, 0.7222808870116156, None)",,"[[463 228]
 [298 905]]","(array([0.67004342, 0.75228595]), array([0.75228595, 0.67004342]), array([ 691, 1203], dtype=int32))",0.7222808870116156,"              precision    recall  f1-score   support

           0       0.61      0.67      0.64       691
           1       0.80      0.75      0.77      1203

    accuracy                           0.72      1894
   macro avg       0.70      0.71      0.71      1894
weighted avg       0.73      0.72      0.72      1894
",0.7222808870116156,0.7222808870116156,0.7222808870116156
96,HOS,0,4,0.7709176167155676,0.8349137370395624,0.7298420615128844,0.6758321273516642,0.7023180996264989,0.39590941142604363,0.7101372756071805,878,467,224,325,691,1203,0.5896464646464646,0.7967332123411979,0.6758321273516642,0.7298420615128844,0.6298044504383008,0.761822125813449,2.5016186129355447,2.251432430827692,0.27015793848711556,0.7298420615128844,[0 0 1 ... 0 0 0],5,10.011598389984334,0.7101372756071805,[0.72984206 0.67583213],,0.2898627243928194,0.3934366938932179,3,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.68      0.73      0.63      0.70      0.49       691
          1       0.80      0.73      0.68      0.76      0.70      0.50      1203

avg / total       0.72      0.71      0.70      0.71      0.70      0.50      1894
",5,"[[ 1.43160605 -0.13039999  0.12428664 -0.47169585  0.97095438  0.17101222]
 [ 1.19984238 -0.46224465 -0.25956528 -0.40406739 -0.42177226  0.65879553]
 [-0.17475595 -0.32002551 -0.12247531  3.53287549 -0.86435886 -0.13385234]
 ...
 [ 0.23362184 -0.20562269  0.00698754 -0.52150553 -0.76584625 -0.41401237]
 [-0.11373351 -0.32781992  0.36825642 -0.46461296 -0.54648588  0.45861006]
 [ 0.08226434  0.40028914  0.24910655 -0.51135476 -0.87396068 -0.36757373]]",0.28986272439281946,0.39590941142604363,[0.67583213 0.72984206],"(array([0.        , 0.32416787, 1.        ]), array([0.        , 0.72984206, 1.        ]), array([2, 1, 0]))",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.68      0.73      0.63      0.70      0.49       691
          1       0.80      0.73      0.68      0.76      0.70      0.50      1203

avg / total       0.72      0.71      0.70      0.71      0.70      0.49      1894
",gini,,0.7530839191465953,0.7101372756071805,0.7101372756071805,0.7028370944322744,"(0.7101372756071805, 0.7101372756071805, None)",,"[[467 224]
 [325 878]]","(array([0.67583213, 0.72984206]), array([0.72984206, 0.67583213]), array([ 691, 1203], dtype=int32))",0.7101372756071805,"              precision    recall  f1-score   support

           0       0.59      0.68      0.63       691
           1       0.80      0.73      0.76      1203

    accuracy                           0.71      1894
   macro avg       0.69      0.70      0.70      1894
weighted avg       0.72      0.71      0.71      1894
",0.7101372756071805,0.7101372756071805,0.7101372756071805
120,HOS,0,5,0.7711173104383278,0.8406735713940866,0.7572734829592684,0.6526772793053546,0.7030328559519428,0.40417687986793055,0.7191129883843717,911,451,240,292,691,1203,0.6069986541049798,0.7914856646394439,0.6526772793053546,0.7572734829592684,0.6290097629009762,0.7740016992353441,2.6889409828915802,2.180316569686894,0.24272651704073156,0.7572734829592684,[0 0 1 ... 0 0 0],5,9.701595008170925,0.7191129883843717,[0.75727348 0.65267728],,0.2808870116156283,0.4034892876383076,3,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.65      0.76      0.63      0.70      0.48       691
          1       0.79      0.76      0.65      0.77      0.70      0.51      1203

avg / total       0.72      0.72      0.69      0.72      0.70      0.50      1894
",5,"[[ 1.38286857 -0.12261077  0.13170236 -0.48405192  0.96393217  0.19001653]
 [ 1.15689762 -0.43014214 -0.26065784 -0.41679159 -0.43007548  0.6975143 ]
 [-0.18334385 -0.29834298 -0.1205292   3.49872005 -0.87306916 -0.12716957]
 ...
 [ 3.83274241 -0.19317187 -0.03059022  2.53804835  1.88865488  0.50894542]
 [-0.75184447 -0.37757847 -0.09266932 -0.38776672  0.85685107 -0.33234609]
 [ 0.47741069 -0.26473396 -0.26894968 -0.57815625  1.21823701  2.04391722]]",0.28088701161562835,0.40417687986793055,[0.65267728 0.75727348],"(array([0.        , 0.34732272, 1.        ]), array([0.        , 0.75727348, 1.        ]), array([2, 1, 0]))",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.61      0.65      0.76      0.63      0.70      0.49       691
          1       0.79      0.76      0.65      0.77      0.70      0.50      1203

avg / total       0.72      0.72      0.69      0.72      0.70      0.50      1894
",gini,,0.7535421724997144,0.7191129883843717,0.7191129883843717,0.7049753811323115,"(0.7191129883843717, 0.7191129883843717, None)",,"[[451 240]
 [292 911]]","(array([0.65267728, 0.75727348]), array([0.75727348, 0.65267728]), array([ 691, 1203], dtype=int32))",0.7191129883843717,"              precision    recall  f1-score   support

           0       0.61      0.65      0.63       691
           1       0.79      0.76      0.77      1203

    accuracy                           0.72      1894
   macro avg       0.70      0.70      0.70      1894
weighted avg       0.72      0.72      0.72      1894
",0.7191129883843717,0.7191129883843717,0.7191129883843717
144,HOS,0,6,0.7602797155687722,0.8310282175778629,0.741479634247714,0.6353111432706223,0.6863455938124744,0.37087576720291227,0.7027455121436114,892,439,252,311,691,1203,0.5853333333333334,0.7797202797202797,0.6353111432706223,0.741479634247714,0.6092990978487163,0.7601193012356199,2.4574897278281624,2.033184235179248,0.258520365752286,0.741479634247714,[0 0 1 ... 0 0 0],5,10.26691267628676,0.7027455121436114,[0.74147963 0.63531114],,0.2972544878563886,0.3700667669371923,3,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.64      0.74      0.61      0.69      0.46       691
          1       0.78      0.74      0.64      0.76      0.69      0.49      1203

avg / total       0.71      0.70      0.67      0.71      0.69      0.48      1894
",5,"[[ 1.37778944 -0.12931377  0.12148265 -0.47096157  0.97686207  0.17957087]
 [ 1.15349917 -0.47004629 -0.25627624 -0.40251843 -0.42019885  0.67006218]
 [-0.17677417 -0.32401807 -0.12136235  3.58184969 -0.86416281 -0.12698619]
 ...
 [ 0.52290336 -0.26915479 -0.33790973 -0.55467169  1.29872081  1.82504746]
 [-0.59741691 -0.1850573   0.09575806 -0.33584283  0.76073731  0.03020678]
 [-0.06957817 -0.11497243 -0.20637244  2.07862453  3.01663639  0.57222814]]",0.29725448785638864,0.37087576720291227,[0.63531114 0.74147963],"(array([0.        , 0.36468886, 1.        ]), array([0.        , 0.74147963, 1.        ]), array([2, 1, 0]))",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.64      0.74      0.61      0.69      0.47       691
          1       0.78      0.74      0.64      0.76      0.69      0.48      1203

avg / total       0.71      0.70      0.67      0.71      0.69      0.47      1894
",gini,,0.7423494533346618,0.7027455121436114,0.7027455121436114,0.6883953887591681,"(0.7027455121436114, 0.7027455121436114, None)",,"[[439 252]
 [311 892]]","(array([0.63531114, 0.74147963]), array([0.74147963, 0.63531114]), array([ 691, 1203], dtype=int32))",0.7027455121436114,"              precision    recall  f1-score   support

           0       0.59      0.64      0.61       691
           1       0.78      0.74      0.76      1203

    accuracy                           0.70      1894
   macro avg       0.68      0.69      0.68      1894
weighted avg       0.71      0.70      0.71      1894
",0.7027455121436114,0.7027455121436114,0.7027455121436114
168,HOS,0,7,0.7574864093985971,0.8250415446482926,0.7589359933499584,0.6324167872648335,0.6927942426536364,0.3873803862022823,0.7127771911298838,913,437,254,290,691,1203,0.6011004126547456,0.7823479005998286,0.6324167872648335,0.7589359933499584,0.616361071932299,0.770464135021097,2.623439293377913,2.06466445434969,0.24106400665004157,0.7589359933499584,[0 1 1 ... 0 0 0],5,9.92043160326224,0.7127771911298838,[0.75893599 0.63241679],,0.28722280887011614,0.3870615796280499,3,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.63      0.76      0.62      0.69      0.46       691
          1       0.78      0.76      0.63      0.77      0.69      0.50      1203

avg / total       0.72      0.71      0.68      0.71      0.69      0.48      1894
",5,"[[ 1.4303156  -0.11721394  0.17841722 -0.47246898  0.95856093  0.17511281]
 [-0.16942642 -0.30288848 -0.12825973  3.46338713 -0.86561396 -0.12449642]
 [ 0.19668369 -0.35859084 -0.19641016 -0.52469385 -0.28748774  1.07394051]
 ...
 [ 0.25964551 -0.05613042 -0.23048537 -0.50966444 -0.67908723 -0.6678385 ]
 [-0.16689486 -0.16716106  0.0695778  -0.54427336  2.63493156 -0.85467565]
 [ 0.39278346  0.08269263 -0.1659468  -0.49307884 -0.60311132 -0.58859129]]",0.2872228088701162,0.3873803862022823,[0.63241679 0.75893599],"(array([0.        , 0.36758321, 1.        ]), array([0.        , 0.75893599, 1.        ]), array([2, 1, 0]))",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.63      0.76      0.62      0.69      0.47       691
          1       0.78      0.76      0.63      0.77      0.69      0.49      1203

avg / total       0.72      0.71      0.68      0.71      0.69      0.48      1894
",gini,,0.7468670814037753,0.7127771911298838,0.7127771911298838,0.6956763903073961,"(0.7127771911298838, 0.7127771911298838, None)",,"[[437 254]
 [290 913]]","(array([0.63241679, 0.75893599]), array([0.75893599, 0.63241679]), array([ 691, 1203], dtype=int32))",0.7127771911298838,"              precision    recall  f1-score   support

           0       0.60      0.63      0.62       691
           1       0.78      0.76      0.77      1203

    accuracy                           0.71      1894
   macro avg       0.69      0.70      0.69      1894
weighted avg       0.72      0.71      0.71      1894
",0.7127771911298838,0.7127771911298838,0.7127771911298838
192,HOS,0,8,0.7681922785895849,0.8321408759310187,0.7539484621778886,0.6454413892908828,0.697588376395293,0.39385890612318,0.7143611404435058,907,446,245,296,691,1203,0.601078167115903,0.7873263888888888,0.6454413892908828,0.7539484621778886,0.6224703419399861,0.7702760084925688,2.6231959166112566,2.126442397407841,0.24605153782211142,0.7539484621778886,[0 0 1 ... 0 0 0],5,9.865720132532775,0.7143611404435058,[0.75394846 0.64544139],,0.2856388595564942,0.39321401965347635,3,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.65      0.75      0.62      0.70      0.47       691
          1       0.79      0.75      0.65      0.77      0.70      0.50      1203

avg / total       0.72      0.71      0.69      0.72      0.70      0.49      1894
",5,"[[ 1.37122451e+00 -1.27030177e-01  1.27507943e-01 -4.69525016e-01
   9.75857769e-01  1.89765149e-01]
 [ 1.14701295e+00 -4.42823493e-01 -2.51123970e-01 -4.02328379e-01
  -4.21169693e-01  7.08985978e-01]
 [-2.29182120e-01 -2.08234172e-01 -2.24078833e-01 -5.55920692e-01
  -8.64104785e-01 -1.86669953e-01]
 ...
 [ 2.81680118e-01 -8.84301812e-04 -1.97033697e-01 -5.07740681e-01
  -5.88374153e-01 -6.59842308e-01]
 [ 1.05423575e+00 -1.01374883e-01  2.27531501e-01  5.61270365e-01
  -7.18548689e-01 -1.30832861e-01]
 [-5.51056572e-01 -3.15825977e-01 -1.72027407e-01 -4.72377194e-01
  -1.40509802e-01 -4.65247266e-01]]",0.28563885955649415,0.39385890612318,[0.64544139 0.75394846],"(array([0.        , 0.35455861, 1.        ]), array([0.        , 0.75394846, 1.        ]), array([2, 1, 0]))",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.60      0.65      0.75      0.62      0.70      0.48       691
          1       0.79      0.75      0.65      0.77      0.70      0.49      1203

avg / total       0.72      0.71      0.69      0.72      0.70      0.49      1894
",gini,,0.7498865190788818,0.7143611404435058,0.7143611404435058,0.6996949257343856,"(0.7143611404435058, 0.7143611404435058, None)",,"[[446 245]
 [296 907]]","(array([0.64544139, 0.75394846]), array([0.75394846, 0.64544139]), array([ 691, 1203], dtype=int32))",0.7143611404435058,"              precision    recall  f1-score   support

           0       0.60      0.65      0.62       691
           1       0.79      0.75      0.77      1203

    accuracy                           0.71      1894
   macro avg       0.69      0.70      0.70      1894
weighted avg       0.72      0.71      0.72      1894
",0.7143611404435058,0.7143611404435058,0.7143611404435058
216,HOS,0,9,0.7784025223963728,0.8421272185108974,0.742310889443059,0.6555716353111433,0.6975944120342819,0.390510873495788,0.7106652587117213,893,453,238,310,691,1203,0.5937090432503277,0.7895667550839964,0.6555716353111433,0.742310889443059,0.6231086657496562,0.7652099400171379,2.5440408944493718,2.155196742038461,0.257689110556941,0.742310889443059,[0 1 1 ... 0 0 0],5,9.993368410031383,0.7106652587117213,[0.74231089 0.65557164],,0.2893347412882788,0.38925156377801706,3,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.66      0.74      0.62      0.70      0.47       691
          1       0.79      0.74      0.66      0.77      0.70      0.50      1203

avg / total       0.72      0.71      0.69      0.71      0.70      0.49      1894
",5,"[[ 1.15016889 -0.46583792 -0.2536276  -0.40503739 -0.41958139  0.67074806]
 [-0.17904921 -0.32306891 -0.12168142  3.57249697 -0.86430114 -0.13141637]
 [-0.22541729 -0.21837163 -0.22723836 -0.56121052 -0.86328114 -0.18078034]
 ...
 [-0.04626355  0.07674421  0.53738531 -0.50270701 -0.22020034 -0.96276436]
 [-0.65217432 -0.37700027  0.12168264 -0.07208557 -0.88515652 -0.57153172]
 [-0.41689411 -0.19264805 -0.00631571 -0.17674653 -0.900362    0.07947457]]",0.28933474128827874,0.390510873495788,[0.65557164 0.74231089],"(array([0.        , 0.34442836, 1.        ]), array([0.        , 0.74231089, 1.        ]), array([2, 1, 0]))",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.59      0.66      0.74      0.62      0.70      0.48       691
          1       0.79      0.74      0.66      0.77      0.70      0.49      1203

avg / total       0.72      0.71      0.69      0.71      0.70      0.49      1894
",gini,,0.7497787626486743,0.7106652587117213,0.7106652587117213,0.6989412623771011,"(0.7106652587117213, 0.7106652587117213, None)",,"[[453 238]
 [310 893]]","(array([0.65557164, 0.74231089]), array([0.74231089, 0.65557164]), array([ 691, 1203], dtype=int32))",0.7106652587117213,"              precision    recall  f1-score   support

           0       0.59      0.66      0.62       691
           1       0.79      0.74      0.77      1203

    accuracy                           0.71      1894
   macro avg       0.69      0.70      0.69      1894
weighted avg       0.72      0.71      0.71      1894
",0.7106652587117213,0.7106652587117213,0.7106652587117213
