,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,kernel,probability,f1_score,imb_sens_spec_supp_micro,hinge_loss,pr_curve,zero_one_loss,imb_spec,imb_sens_micro,C,avg_prec_score,imb_sens,hamming_loss,imb_sens_spec_supp,max_iter,imb_report_0.3,roc_auc_score,prec_score,rec_score,bal_report,roc_curve,cohen_kappa_score,fbeta_score,matthews_corrcoef,log_loss,X,gamma,confusion_matrix,imb_spec_micro,imb_report_0.1,y,accuracy
0,HOS,0,0,0.7014223967336843,0.7656237368264085,0.6492103075644223,0.6237337192474675,0.6363445290964238,0.2640861051890703,0.6399155227032735,781,431,260,422,691,1203,0.5052754982415005,0.7502401536983669,0.6237337192474675,0.6492103075644223,0.5582901554404145,0.6960784313725491,1.778084512451904,1.7254012404885224,0.35078969243557767,0.6492103075644223,rbf,True,0.6399155227032735,"(0.6399155227032735, 0.6399155227032735, None)",,,0.36008447729672655,[0.64921031 0.62373372],0.6399155227032735,0.1,0.7098725110458526,[0.62373372 0.64921031],0.3600844772967265,"(array([0.62373372, 0.64921031]), array([0.64921031, 0.62373372]), array([ 691, 1203], dtype=int32))",-1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.62      0.65      0.56      0.64      0.40       691
          1       0.75      0.65      0.62      0.70      0.64      0.41      1203

avg / total       0.66      0.64      0.63      0.65      0.64      0.41      1894
",0.6364720134059448,0.6399155227032735,0.6399155227032735,"              precision    recall  f1-score   support

           0       0.51      0.62      0.56       691
           1       0.75      0.65      0.70      1203

    accuracy                           0.64      1894
   macro avg       0.63      0.64      0.63      1894
weighted avg       0.66      0.64      0.65      1894
","(array([0.        , 0.37626628, 1.        ]), array([0.        , 0.64921031, 1.        ]), array([2, 1, 0]))",0.2599739901116591,0.6399155227032735,0.2640861051890703,12.436987009852658,"[[ 1.40888344 -0.12400306  0.09333375 -0.46765981  0.97911879  0.15944918]
 [ 1.17946047 -0.43974003 -0.23765746 -0.39938968 -0.42065881  0.62949042]
 [-0.18125508 -0.30442419 -0.11944631  3.57490712 -0.86548609 -0.13432659]
 ...
 [ 0.11401682 -0.03783741 -0.17055577 -0.57494144 -0.4196826  -0.26816881]
 [ 0.04358579 -0.22397044 -0.23081071 -0.08884245 -0.4474662  -0.05791712]
 [-0.52983368 -0.33832279 -0.33222637 -0.47962503 -0.61367435 -0.20555851]]",0.1,"[[431 260]
 [422 781]]",0.6399155227032735,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.62      0.65      0.56      0.64      0.40       691
          1       0.75      0.65      0.62      0.70      0.64      0.41      1203

avg / total       0.66      0.64      0.63      0.65      0.64      0.41      1894
",[0 0 1 ... 0 0 0],0.6399155227032735
9,HOS,0,1,0.6982844384456129,0.7636794162166146,0.6392352452202826,0.6367583212735166,0.6379955812114468,0.2665109109835273,0.6383315733896515,769,440,251,434,691,1203,0.5034324942791762,0.753921568627451,0.6367583212735166,0.6392352452202826,0.5623003194888179,0.6918578497525867,1.7650236416867293,1.759806989829543,0.36076475477971737,0.6392352452202826,rbf,True,0.6383315733896515,"(0.6383315733896515, 0.6383315733896515, None)",,,0.3616684266103485,[0.63923525 0.63675832],0.6383315733896515,0.1,0.7110779061690728,[0.63675832 0.63923525],0.3616684266103485,"(array([0.63675832, 0.63923525]), array([0.63923525, 0.63675832]), array([ 691, 1203], dtype=int32))",-1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.64      0.64      0.56      0.64      0.41       691
          1       0.75      0.64      0.64      0.69      0.64      0.41      1203

avg / total       0.66      0.64      0.64      0.64      0.64      0.41      1894
",0.6379967832468996,0.6383315733896515,0.6383315733896515,"              precision    recall  f1-score   support

           0       0.50      0.64      0.56       691
           1       0.75      0.64      0.69      1203

    accuracy                           0.64      1894
   macro avg       0.63      0.64      0.63      1894
weighted avg       0.66      0.64      0.64      1894
","(array([0.        , 0.36324168, 1.        ]), array([0.        , 0.63923525, 1.        ]), array([2, 1, 0]))",0.2612692328278222,0.6383315733896515,0.2665109109835273,12.491690881451317,"[[ 1.37272164 -0.12328637  0.12482161 -0.47016601  0.96831208  0.14577338]
 [ 1.14834337 -0.46250473 -0.25021078 -0.40237983 -0.42741661  0.58201304]
 [-0.18245184 -0.31712544 -0.11627064  3.5437439  -0.87095721 -0.12687641]
 ...
 [ 1.06023681 -0.0483261  -0.14414539 -0.54377616 -0.90652126 -0.15585588]
 [-0.40994577 -0.31842638 -0.22342275  1.69588283 -0.7747671   0.21967548]
 [ 0.534786    0.09614812 -0.0094282  -0.40442993  1.19415156 -0.0555462 ]]",0.1,"[[440 251]
 [434 769]]",0.6383315733896515,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.64      0.64      0.56      0.64      0.41       691
          1       0.75      0.64      0.64      0.69      0.64      0.41      1203

avg / total       0.66      0.64      0.64      0.64      0.64      0.41      1894
",[0 0 1 ... 0 0 0],0.6383315733896515
18,HOS,0,2,0.6963644915689551,0.7587742555244215,0.6259351620947631,0.6483357452966715,0.6370370003572015,0.2644135719979084,0.6341077085533263,753,448,243,450,691,1203,0.49888641425389757,0.7560240963855421,0.6483357452966715,0.6259351620947631,0.5638766519823789,0.6848567530695769,1.7332175590931016,1.7799226214299642,0.3740648379052369,0.6259351620947631,rbf,True,0.6341077085533263,"(0.6341077085533263, 0.6341077085533263, None)",,,0.3658922914466737,[0.62593516 0.64833575],0.6341077085533263,0.1,0.7108144623619257,[0.64833575 0.62593516],0.36589229144667373,"(array([0.64833575, 0.62593516]), array([0.62593516, 0.64833575]), array([ 691, 1203], dtype=int32))",-1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.65      0.63      0.56      0.64      0.41       691
          1       0.76      0.63      0.65      0.68      0.64      0.40      1203

avg / total       0.66      0.63      0.64      0.64      0.64      0.41      1894
",0.6371354536957172,0.6341077085533263,0.6341077085533263,"              precision    recall  f1-score   support

           0       0.50      0.65      0.56       691
           1       0.76      0.63      0.68      1203

    accuracy                           0.63      1894
   macro avg       0.63      0.64      0.62      1894
weighted avg       0.66      0.63      0.64      1894
","(array([0.        , 0.35166425, 1.        ]), array([0.        , 0.62593516, 1.        ]), array([2, 1, 0]))",0.25783447269766413,0.6341077085533263,0.2644135719979084,12.637574627164014,"[[ 1.18189351 -0.46459187 -0.25792956 -0.40233839 -0.42343711  0.48063694]
 [-0.18033223 -0.32057013 -0.11877027  3.53307146 -0.86397974 -0.12335062]
 [-0.22785174 -0.21495419 -0.2300977  -0.55685755 -0.86296932 -0.16051909]
 ...
 [ 0.18596942 -0.27729708 -0.19870008 -0.53993694  0.65384926 -0.20902584]
 [-1.21784137 -0.46459187 -0.36925699 -0.76449267 -0.91955277 -0.11025005]
 [-0.15322579 -0.17249114 -0.16181112 -0.41082605 -0.32018102 -0.07985038]]",0.1,"[[448 243]
 [450 753]]",0.6341077085533263,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.65      0.63      0.56      0.64      0.41       691
          1       0.76      0.63      0.65      0.68      0.64      0.40      1203

avg / total       0.66      0.63      0.64      0.64      0.64      0.41      1894
",[0 1 1 ... 0 0 0],0.6341077085533263
27,HOS,0,3,0.6986790139941992,0.7620806165024083,0.6683291770573566,0.61794500723589,0.6426435078273681,0.27789349013418274,0.6499472016895459,804,427,264,399,691,1203,0.5169491525423728,0.7528089887640449,0.61794500723589,0.6683291770573566,0.5629531970995386,0.7080581241743724,1.863127427831518,1.7493009899493688,0.3316708229426434,0.6683291770573566,rbf,True,0.6499472016895459,"(0.6499472016895459, 0.6499472016895459, None)",,,0.3500527983104541,[0.66832918 0.61794501],0.6499472016895459,0.1,0.7137894706537762,[0.61794501 0.66832918],0.35005279831045405,"(array([0.61794501, 0.66832918]), array([0.66832918, 0.61794501]), array([ 691, 1203], dtype=int32))",-1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.52      0.62      0.67      0.56      0.64      0.41       691
          1       0.75      0.67      0.62      0.71      0.64      0.42      1203

avg / total       0.67      0.65      0.64      0.66      0.64      0.41      1894
",0.6431370921466233,0.6499472016895459,0.6499472016895459,"              precision    recall  f1-score   support

           0       0.52      0.62      0.56       691
           1       0.75      0.67      0.71      1203

    accuracy                           0.65      1894
   macro avg       0.63      0.64      0.64      1894
weighted avg       0.67      0.65      0.66      1894
","(array([0.        , 0.38205499, 1.        ]), array([0.        , 0.66832918, 1.        ]), array([2, 1, 0]))",0.27484745903655794,0.6499472016895459,0.27789349013418274,12.090506781176003,"[[ 1.37563401 -0.12688317  0.13912964 -0.47580887  0.96848205  0.15888953]
 [ 1.1509911  -0.44074757 -0.27045029 -0.40769035 -0.4262338   0.62710539]
 [-0.18137378 -0.30623426 -0.12417174  3.55778081 -0.86945254 -0.13374537]
 ...
 [-0.88708533 -0.31243186 -0.07658684 -0.39722894 -0.52353247 -0.26722323]
 [ 0.64300207  0.6915438   0.09381018 -0.35745965  0.81288645 -0.93499051]
 [ 0.5205179  -0.13967887 -0.21015474 -0.51603866 -0.05697502 -0.10648145]]",0.1,"[[427 264]
 [399 804]]",0.6499472016895459,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.52      0.62      0.67      0.56      0.64      0.41       691
          1       0.75      0.67      0.62      0.71      0.64      0.42      1203

avg / total       0.67      0.65      0.64      0.66      0.64      0.41      1894
",[0 0 1 ... 0 0 0],0.6499472016895459
36,HOS,0,4,0.6993183947993017,0.762696022408333,0.6508728179551122,0.6324167872648335,0.641578441384357,0.2739824137256348,0.6441393875395988,783,437,254,420,691,1203,0.5099183197199533,0.7550626808100289,0.6324167872648335,0.6508728179551122,0.5645994832041342,0.6991071428571428,1.8114223692371303,1.7706815638070177,0.3491271820448878,0.6508728179551122,rbf,True,0.6441393875395988,"(0.6441393875395988, 0.6441393875395988, None)",,,0.35586061246040124,[0.65087282 0.63241679],0.6441393875395988,0.1,0.71320267869864,[0.63241679 0.65087282],0.3558606124604013,"(array([0.63241679, 0.65087282]), array([0.65087282, 0.63241679]), array([ 691, 1203], dtype=int32))",-1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.63      0.65      0.56      0.64      0.41       691
          1       0.76      0.65      0.63      0.70      0.64      0.41      1203

avg / total       0.67      0.64      0.64      0.65      0.64      0.41      1894
",0.6416448026099729,0.6441393875395988,0.6441393875395988,"              precision    recall  f1-score   support

           0       0.51      0.63      0.56       691
           1       0.76      0.65      0.70      1203

    accuracy                           0.64      1894
   macro avg       0.63      0.64      0.63      1894
weighted avg       0.67      0.64      0.65      1894
","(array([0.        , 0.36758321, 1.        ]), array([0.        , 0.65087282, 1.        ]), array([2, 1, 0]))",0.2695117359393616,0.6441393875395988,0.2739824137256348,12.291097353704895,"[[ 1.39702187 -0.12125426  0.09915447 -0.47312183  0.97327833  0.16529838]
 [ 1.17018316 -0.45904194 -0.25045942 -0.40543761 -0.42528882  0.63494516]
 [-0.17520509 -0.31427579 -0.12559732  3.534751   -0.86973144 -0.12823086]
 ...
 [-0.31532614 -0.09373126  0.79191353 -0.45628813 -0.89341465 -0.50060506]
 [-0.6009184  -0.2444494   0.12200448 -0.4196266   0.22151879  0.35581209]
 [-0.48690916 -0.10960654  0.24664064 -0.43408142 -0.6762122   0.11789205]]",0.1,"[[437 254]
 [420 783]]",0.6441393875395988,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.63      0.65      0.56      0.64      0.41       691
          1       0.76      0.65      0.63      0.70      0.64      0.41      1203

avg / total       0.67      0.64      0.64      0.65      0.64      0.41      1894
",[0 0 1 ... 0 0 0],0.6441393875395988
45,HOS,0,5,0.6999331146326178,0.7638394838874476,0.6600166251039069,0.61794500723589,0.6386344636610535,0.26947018356863006,0.6446673706441394,794,427,264,409,691,1203,0.5107655502392344,0.7504725897920604,0.61794500723589,0.6600166251039069,0.5592665356908971,0.70234409553295,1.8175741899872264,1.7275435149499985,0.3399833748960931,0.6600166251039069,rbf,True,0.6446673706441394,"(0.6446673706441394, 0.6446673706441394, None)",,,0.35533262935586063,[0.66001663 0.61794501],0.6446673706441394,0.1,0.7112694757046722,[0.61794501 0.66001663],0.35533262935586063,"(array([0.61794501, 0.66001663]), array([0.66001663, 0.61794501]), array([ 691, 1203], dtype=int32))",-1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.62      0.66      0.56      0.64      0.40       691
          1       0.75      0.66      0.62      0.70      0.64      0.41      1203

avg / total       0.66      0.64      0.63      0.65      0.64      0.41      1894
",0.6389808161698985,0.6446673706441394,0.6446673706441394,"              precision    recall  f1-score   support

           0       0.51      0.62      0.56       691
           1       0.75      0.66      0.70      1203

    accuracy                           0.64      1894
   macro avg       0.63      0.64      0.63      1894
weighted avg       0.66      0.64      0.65      1894
","(array([0.        , 0.38205499, 1.        ]), array([0.        , 0.66001663, 1.        ]), array([2, 1, 0]))",0.26607998912934583,0.6446673706441394,0.26947018356863006,12.272865685056209,"[[ 1.41925997 -0.12662239  0.11770358 -0.47473383  0.97652486  0.15308858]
 [-0.23018612 -0.21158163 -0.22712737 -0.56118004 -0.86980775 -0.16859342]
 [ 0.18416748 -0.37206019 -0.17407646 -0.52756207 -0.28535714  0.98502478]
 ...
 [-0.25733829 -0.32765716 -0.16621837 -0.13482024  0.72608922 -0.11641712]
 [-0.47854038  0.22599665  0.1630115  -0.35556492 -0.91229671 -0.24258619]
 [-0.62438301 -0.12829901 -0.09607048 -0.4250177  -0.73812411  0.05125028]]",0.1,"[[427 264]
 [409 794]]",0.6446673706441394,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.62      0.66      0.56      0.64      0.41       691
          1       0.75      0.66      0.62      0.70      0.64      0.41      1203

avg / total       0.66      0.64      0.63      0.65      0.64      0.41      1894
",[0 1 1 ... 0 0 0],0.6446673706441394
54,HOS,0,6,0.6985719492874182,0.761574908207819,0.6799667497921862,0.6150506512301013,0.6466946669599954,0.2870531516945183,0.6562829989440337,818,425,266,385,691,1203,0.5246913580246914,0.7546125461254612,0.6150506512301013,0.6799667497921862,0.5662891405729514,0.7153476169654568,1.9218335933241866,1.7663797898736866,0.3200332502078138,0.6799667497921862,rbf,True,0.6562829989440337,"(0.6562829989440337, 0.6562829989440337, None)",,,0.34371700105596625,[0.67996675 0.61505065],0.6562829989440337,0.1,0.7163849355894881,[0.61505065 0.67996675],0.3437170010559662,"(array([0.61505065, 0.67996675]), array([0.67996675, 0.61505065]), array([ 691, 1203], dtype=int32))",-1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.52      0.62      0.68      0.57      0.65      0.41       691
          1       0.75      0.68      0.62      0.72      0.65      0.43      1203

avg / total       0.67      0.66      0.64      0.66      0.65      0.42      1894
",0.6475087005111437,0.6562829989440337,0.6562829989440337,"              precision    recall  f1-score   support

           0       0.52      0.62      0.57       691
           1       0.75      0.68      0.72      1203

    accuracy                           0.66      1894
   macro avg       0.64      0.65      0.64      1894
weighted avg       0.67      0.66      0.66      1894
","(array([0.        , 0.38494935, 1.        ]), array([0.        , 0.67996675, 1.        ]), array([2, 1, 0]))",0.2845879891428591,0.6562829989440339,0.2870531516945183,11.871676940867628,"[[ 1.42104559 -0.12988293  0.11313535 -0.47226147  0.95480702  0.19858467]
 [ 1.18994507 -0.47474214 -0.25027236 -0.4046544  -0.42956145  0.73530187]
 [-0.18072008 -0.32694533 -0.12048389  3.53104313 -0.86949196 -0.13686358]
 ...
 [-0.50134106 -0.13384058  0.1718575  -0.43588511 -0.70454742 -0.08077644]
 [ 0.29367572 -0.20348299 -0.19835697 -0.50564414 -0.37345007 -0.61477577]
 [-0.64886709 -0.33189726 -0.16379126 -0.45819945  0.18757952 -0.00810815]]",0.1,"[[425 266]
 [385 818]]",0.6562829989440337,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.52      0.62      0.68      0.57      0.65      0.42       691
          1       0.75      0.68      0.62      0.72      0.65      0.42      1203

avg / total       0.67      0.66      0.64      0.66      0.65      0.42      1894
",[0 0 1 ... 0 0 0],0.6562829989440337
63,HOS,0,7,0.6972871728060457,0.7606021299456607,0.6433915211970075,0.6324167872648335,0.6378805521324863,0.2665162406941657,0.6393875395987328,774,437,254,429,691,1203,0.5046189376443418,0.7529182879377432,0.6324167872648335,0.6433915211970075,0.5613359023763649,0.6938592559390407,1.7734205013510367,1.7503289021540633,0.3566084788029925,0.6433915211970075,rbf,True,0.6393875395987328,"(0.6393875395987328, 0.6393875395987328, None)",,,0.36061246040126715,[0.64339152 0.63241679],0.6393875395987328,0.1,0.710925994461252,[0.63241679 0.64339152],0.36061246040126715,"(array([0.63241679, 0.64339152]), array([0.64339152, 0.63241679]), array([ 691, 1203], dtype=int32))",-1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.63      0.64      0.56      0.64      0.41       691
          1       0.75      0.64      0.63      0.69      0.64      0.41      1203

avg / total       0.66      0.64      0.64      0.65      0.64      0.41      1894
",0.6379041542309206,0.6393875395987328,0.6393875395987328,"              precision    recall  f1-score   support

           0       0.50      0.63      0.56       691
           1       0.75      0.64      0.69      1203

    accuracy                           0.64      1894
   macro avg       0.63      0.64      0.63      1894
weighted avg       0.66      0.64      0.65      1894
","(array([0.        , 0.36758321, 1.        ]), array([0.        , 0.64339152, 1.        ]), array([2, 1, 0]))",0.2617042187123676,0.6393875395987327,0.2665162406941657,12.455220367197077,"[[ 1.40593764 -0.12789787  0.12989625 -0.46724738  0.96264445  0.13639386]
 [ 1.17757061 -0.4519617  -0.266482   -0.39901636 -0.43531964  0.56754154]
 [-0.17688208 -0.3130772  -0.12491834  3.57300368 -0.87957062 -0.13307344]
 ...
 [ 1.09954247 -0.23479874 -0.04773652 -0.50223108 -0.39746313  0.05026126]
 [-0.27350578 -0.30727738 -0.19439838 -0.47607022  0.96644493  0.02643805]
 [-0.04322735 -0.07225957  0.4948612  -0.4771281  -0.39463169 -0.8345737 ]]",0.1,"[[437 254]
 [429 774]]",0.6393875395987328,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.50      0.63      0.64      0.56      0.64      0.41       691
          1       0.75      0.64      0.63      0.69      0.64      0.41      1203

avg / total       0.66      0.64      0.64      0.65      0.64      0.41      1894
",[0 0 1 ... 0 0 0],0.6393875395987328
72,HOS,0,8,0.6978483602859711,0.7615840064929413,0.657522859517872,0.6295224312590448,0.6433703359124434,0.2779119475268076,0.6473072861668426,791,435,256,412,691,1203,0.51357733175915,0.7554918815663801,0.6295224312590448,0.657522859517872,0.5656697009102731,0.7031111111111111,1.8381443805937647,1.774798030964256,0.34247714048212796,0.657522859517872,rbf,True,0.6473072861668426,"(0.6473072861668426, 0.6473072861668426, None)",,,0.35269271383315737,[0.65752286 0.62952243],0.6473072861668426,0.1,0.7142822213808135,[0.62952243 0.65752286],0.3526927138331573,"(array([0.62952243, 0.65752286]), array([0.65752286, 0.62952243]), array([ 691, 1203], dtype=int32))",-1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.63      0.66      0.57      0.64      0.41       691
          1       0.76      0.66      0.63      0.70      0.64      0.42      1203

avg / total       0.67      0.65      0.64      0.65      0.64      0.41      1894
",0.6435226453884584,0.6473072861668426,0.6473072861668426,"              precision    recall  f1-score   support

           0       0.51      0.63      0.57       691
           1       0.76      0.66      0.70      1203

    accuracy                           0.65      1894
   macro avg       0.63      0.64      0.63      1894
weighted avg       0.67      0.65      0.65      1894
","(array([0.        , 0.37047757, 1.        ]), array([0.        , 0.65752286, 1.        ]), array([2, 1, 0]))",0.27388720731764704,0.6473072861668427,0.2779119475268076,12.181682855724638,"[[ 1.35598159 -0.12211526  0.13263195 -0.47083045  0.98659644  0.19350744]
 [ 1.1344546  -0.46725129 -0.24958573 -0.4020378  -0.41685898  0.69475034]
 [-0.17942963 -0.31933585 -0.11307942  3.60267688 -0.86285502 -0.11976937]
 ...
 [-0.49218392 -0.34891894 -0.30314216 -0.53026627 -0.50785238 -0.17685584]
 [ 0.07280169 -0.41666098 -0.18706882 -0.09802506 -0.29784686 -0.03617297]
 [-0.55565202 -0.29961379 -0.03318399 -0.26334638 -0.66427881 -0.02521796]]",0.1,"[[435 256]
 [412 791]]",0.6473072861668426,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.63      0.66      0.57      0.64      0.41       691
          1       0.76      0.66      0.63      0.70      0.64      0.42      1203

avg / total       0.67      0.65      0.64      0.65      0.64      0.41      1894
",[0 0 1 ... 0 0 0],0.6473072861668426
81,HOS,0,9,0.7021640303486341,0.7644680541061567,0.6608478802992519,0.6251808972503617,0.6427670423656505,0.2771542986566619,0.6478352692713834,795,432,259,408,691,1203,0.5142857142857142,0.75426944971537,0.6251808972503617,0.6608478802992519,0.5643370346178966,0.7044749667700488,1.8433642632161402,1.7631115262037953,0.3391521197007481,0.6608478802992519,rbf,True,0.6478352692713834,"(0.6478352692713834, 0.6478352692713834, None)",,,0.35216473072861665,[0.66084788 0.6251809 ],0.6478352692713834,0.1,0.7138744736714726,[0.6251809  0.66084788],0.3521647307286167,"(array([0.6251809 , 0.66084788]), array([0.66084788, 0.6251809 ]), array([ 691, 1203], dtype=int32))",-1,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.63      0.66      0.56      0.64      0.41       691
          1       0.75      0.66      0.63      0.70      0.64      0.42      1203

avg / total       0.67      0.65      0.64      0.65      0.64      0.41      1894
",0.6430143887748069,0.6478352692713834,0.6478352692713834,"              precision    recall  f1-score   support

           0       0.51      0.63      0.56       691
           1       0.75      0.66      0.70      1203

    accuracy                           0.65      1894
   macro avg       0.63      0.64      0.63      1894
weighted avg       0.67      0.65      0.65      1894
","(array([0.       , 0.3748191, 1.       ]), array([0.        , 0.66084788, 1.        ]), array([2, 1, 0]))",0.2734798146344044,0.6478352692713834,0.2771542986566619,12.16344823185842,"[[ 1.39565809 -0.13706615  0.13352906 -0.46993603  0.97965003  0.16027372]
 [ 1.16899138 -0.47565346 -0.26051023 -0.40162128 -0.41940103  0.64200427]
 [-0.17537672 -0.33054461 -0.11978191  3.57527342 -0.86399743 -0.14080788]
 ...
 [-0.60879703 -0.47565346 -0.11763348  0.57734888 -0.7890542  -0.73460497]
 [ 0.05813803 -0.08175541  0.23913981 -0.31347838 -0.51739088 -0.72332255]
 [-0.39867596 -0.37876555 -0.23236456 -0.53592347 -0.08574949 -0.12025018]]",0.1,"[[432 259]
 [408 795]]",0.6478352692713834,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.51      0.63      0.66      0.56      0.64      0.41       691
          1       0.75      0.66      0.63      0.70      0.64      0.41      1203

avg / total       0.67      0.65      0.64      0.65      0.64      0.41      1894
",[0 0 1 ... 0 0 0],0.6478352692713834
