,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,imb_spec_micro,max_iter,log_loss,imb_sens_spec_supp,activation,learning_rate_init,y,rec_score,imb_report_0.1,prec_score,hamming_loss,bal_report,roc_auc_score,learning_rate,solver,imb_report_0.3,confusion_matrix,hidden_layer_sizes,pr_curve,matthews_corrcoef,X,tol,imb_spec,batch_size,momentum,cohen_kappa_score,imb_sens_spec_supp_micro,imb_sens,roc_curve,alpha,imb_sens_micro,f1_score,hinge_loss,avg_prec_score,accuracy,power_t,fbeta_score,zero_one_loss,warm_start
144,HOS,0,0,0.7311298224127373,0.5444860780493489,0.6619718309859155,0.6704347826086956,0.6661898682808997,0.31506932651744446,0.6676367869615832,376,771,379,192,1150,568,0.8006230529595015,0.49801324503311256,0.6704347826086956,0.6619718309859155,0.7297681022243255,0.5684051398337113,1.9833695652173913,2.00862165074882,0.3380281690140845,0.6619718309859155,0.6676367869615832,1000,11.479595092502937,"(array([0.67043478, 0.66197183]), array([0.66197183, 0.67043478]), array([1150,  568]))",logistic,0.001,[1 1 1 ... 1 1 1],0.6676367869615832,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.67      0.66      0.73      0.67      0.44      1150
          1       0.50      0.66      0.67      0.57      0.67      0.44       568

avg / total       0.70      0.67      0.66      0.68      0.67      0.44      1718
",0.6676367869615832,0.33236321303841676,"              precision    recall  f1-score   support

           0       0.80      0.67      0.73      1150
           1       0.50      0.66      0.57       568

    accuracy                           0.67      1718
   macro avg       0.65      0.67      0.65      1718
weighted avg       0.70      0.67      0.68      1718
",0.6662033067973056,constant,adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.67      0.66      0.73      0.67      0.44      1150
          1       0.50      0.66      0.67      0.57      0.67      0.44       568

avg / total       0.70      0.67      0.66      0.68      0.67      0.44      1718
","[[771 379]
 [192 376]]","(1,)",,0.31506932651744446,"[[-1.64251209e+00  1.14634514e-01 -4.40055976e-01 ...  1.87530901e+00
  -2.72655060e-01 -3.47367188e-01]
 [-2.76968362e-01 -6.90803589e-01 -4.40055976e-01 ... -9.21965448e-01
  -7.84223793e-01 -6.43190124e-01]
 [-1.23284897e+00 -9.02576352e-02 -3.34515468e-01 ...  7.18031085e-02
   4.60132584e-01  1.14914884e+00]
 ...
 [-6.01983936e-02 -6.54133706e-01 -5.78223954e-02 ...  2.08586224e-01
  -4.24297596e-01 -4.96533305e-01]
 [-3.85961686e-03 -2.57474814e-01 -2.20646555e-01 ...  7.61340733e-04
  -9.72692563e-01 -4.64899327e-01]
 [-1.23284897e+00 -1.35266050e-01 -3.18854865e-01 ... -1.14744558e-01
   9.45853976e-02 -1.06082251e+00]]",0.0001,[0.66197183 0.67043478],auto,0.9,0.30684395654711516,"(0.6676367869615832, 0.6676367869615832, None)",[0.67043478 0.66197183],"(array([0.        , 0.32956522, 1.        ]), array([0.        , 0.66197183, 1.        ]), array([2, 1, 0]))",1.0,0.6676367869615832,0.6676367869615832,,0.44142859764419573,0.6676367869615832,0.5,0.6676367869615832,0.33236321303841676,False
180,HOS,0,1,0.7378643600734844,0.5650843095704483,0.6584507042253521,0.7095652173913043,0.6835303336978684,0.3517324040675406,0.6926658905704307,374,816,334,194,1150,568,0.807920792079208,0.5282485875706214,0.7095652173913043,0.6584507042253521,0.7555555555555555,0.5862068965517241,2.0774899148363963,2.267120688201062,0.3415492957746479,0.6584507042253521,0.6926658905704307,1000,10.61509953553814,"(array([0.70956522, 0.6584507 ]), array([0.6584507 , 0.70956522]), array([1150,  568]))",logistic,0.001,[0 1 1 ... 1 1 1],0.6926658905704307,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.66      0.76      0.68      0.47      1150
          1       0.53      0.66      0.71      0.59      0.68      0.46       568

avg / total       0.72      0.69      0.68      0.70      0.68      0.47      1718
",0.6926658905704307,0.3073341094295693,"              precision    recall  f1-score   support

           0       0.81      0.71      0.76      1150
           1       0.53      0.66      0.59       568

    accuracy                           0.69      1718
   macro avg       0.67      0.68      0.67      1718
weighted avg       0.72      0.69      0.70      1718
",0.6840079608083282,constant,adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.66      0.76      0.68      0.47      1150
          1       0.53      0.66      0.71      0.59      0.68      0.46       568

avg / total       0.72      0.69      0.68      0.70      0.68      0.47      1718
","[[816 334]
 [194 374]]","(1,)",,0.3517324040675406,"[[-0.98415428 -0.72450139 -0.31292937 ...  0.35470744 -0.49083954
  -0.81794451]
 [-0.29751893 -0.71702639 -0.44041273 ... -0.92454735 -0.77367953
  -0.64013772]
 [-1.25880842 -0.0816515  -0.33842604 ...  0.06230635  0.43849186
   1.1912722 ]
 ...
 [ 0.06381555  0.2095029  -0.1040746  ...  0.91272712  1.30741796
   0.10634918]
 [ 0.25637576 -0.38239899  0.26075398 ... -0.08504429 -0.14428127
  -0.05871982]
 [ 0.25178935 -0.13178111  1.63103528 ... -0.16344834 -0.35338726
   0.6426981 ]]",0.0001,[0.6584507  0.70956522],auto,0.9,0.3464103524800415,"(0.6926658905704307, 0.6926658905704307, None)",[0.70956522 0.6584507 ],"(array([0.        , 0.29043478, 1.        ]), array([0.       , 0.6584507, 1.       ]), array([2, 1, 0]))",1.0,0.6926658905704307,0.6926658905704307,,0.46074765682021196,0.6926658905704307,0.5,0.6926658905704307,0.3073341094295693,False
252,HOS,0,2,0.7374601959583589,0.5730418272865199,0.6619718309859155,0.7078260869565217,0.684515106336014,0.3531413415248875,0.6926658905704307,376,814,336,192,1150,568,0.8091451292246521,0.5280898876404494,0.7078260869565217,0.6619718309859155,0.7551020408163266,0.5875,2.093985507246377,2.265677397719651,0.3380281690140845,0.6619718309859155,0.6926658905704307,1000,10.615100466384973,"(array([0.70782609, 0.66197183]), array([0.66197183, 0.70782609]), array([1150,  568]))",logistic,0.001,[0 1 1 ... 1 1 1],0.6926658905704307,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.66      0.76      0.68      0.47      1150
          1       0.53      0.66      0.71      0.59      0.68      0.47       568

avg / total       0.72      0.69      0.68      0.70      0.68      0.47      1718
",0.6926658905704307,0.3073341094295693,"              precision    recall  f1-score   support

           0       0.81      0.71      0.76      1150
           1       0.53      0.66      0.59       568

    accuracy                           0.69      1718
   macro avg       0.67      0.68      0.67      1718
weighted avg       0.72      0.69      0.70      1718
",0.6848989589712187,constant,adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.66      0.76      0.68      0.48      1150
          1       0.53      0.66      0.71      0.59      0.68      0.46       568

avg / total       0.72      0.69      0.68      0.70      0.68      0.47      1718
","[[814 336]
 [192 376]]","(1,)",,0.3531413415248875,"[[-0.97389928 -0.71544784 -0.33188698 ...  0.38319418 -0.48539538
  -0.80235428]
 [-1.65550261  0.1325473  -0.4752356  ...  1.90805826 -0.27000191
  -0.33560814]
 [-0.29229595 -0.70807397 -0.4752356  ... -0.91851906 -0.76809932
  -0.62948534]
 ...
 [-0.47367251 -0.75972225 -0.17496283 ... -0.64891778 -0.67623171
   0.13655914]
 [-0.16805078 -0.25591279 -0.4752356  ...  0.30716332 -0.16707514
   0.66243782]
 [ 0.8742528  -0.65851192 -0.03077609 ...  0.5057479  -0.57146343
  -0.28657928]]",0.0001,[0.66197183 0.70782609],auto,0.9,0.3475048338090415,"(0.6926658905704307, 0.6926658905704307, None)",[0.70782609 0.66197183],"(array([0.        , 0.29217391, 1.        ]), array([0.        , 0.66197183, 1.        ]), array([2, 1, 0]))",1.0,0.6926658905704307,0.6926658905704307,,0.4613384878208835,0.6926658905704307,0.5,0.6926658905704307,0.3073341094295693,False
216,HOS,0,3,0.7321080832823026,0.5562614057731247,0.6408450704225352,0.6930434782608695,0.6664334150025535,0.31852827952756335,0.6757857974388825,364,797,353,204,1150,568,0.7962037962037962,0.5076708507670851,0.6930434782608695,0.6408450704225352,0.7410506741050674,0.5665369649805447,1.9296504688832055,2.0877388979770974,0.35915492957746475,0.6408450704225352,0.6757857974388825,1000,11.198126140778877,"(array([0.69304348, 0.64084507]), array([0.64084507, 0.69304348]), array([1150,  568]))",logistic,0.001,[0 1 1 ... 1 1 1],0.6757857974388825,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.69      0.64      0.74      0.67      0.45      1150
          1       0.51      0.64      0.69      0.57      0.67      0.44       568

avg / total       0.70      0.68      0.66      0.68      0.67      0.44      1718
",0.6757857974388825,0.3242142025611176,"              precision    recall  f1-score   support

           0       0.80      0.69      0.74      1150
           1       0.51      0.64      0.57       568

    accuracy                           0.68      1718
   macro avg       0.65      0.67      0.65      1718
weighted avg       0.70      0.68      0.68      1718
",0.6669442743417024,constant,adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.69      0.64      0.74      0.67      0.45      1150
          1       0.51      0.64      0.69      0.57      0.67      0.44       568

avg / total       0.70      0.68      0.66      0.68      0.67      0.45      1718
","[[797 353]
 [204 364]]","(1,)",,0.31852827952756335,"[[-0.97112649 -0.70074693 -0.32054656 ...  0.36178162 -0.49002036
  -0.8277402 ]
 [-1.65240295  0.11519124 -0.45149075 ...  1.85433812 -0.27283859
  -0.34648671]
 [-1.24363707 -0.09056708 -0.34673539 ...  0.07055109  0.44657599
   1.18639479]
 ...
 [-0.78960603 -0.81424483  0.80554401 ... -0.09900582  1.02592583
  -0.64985905]
 [ 0.18745502 -0.28871599  0.80076044 ... -0.09359594 -0.30039628
   1.27182562]
 [ 0.39142643 -0.49498861 -0.28782961 ... -0.66987222  1.79263064
  -0.65957071]]",0.0001,[0.64084507 0.69304348],auto,0.9,0.3131048482612385,"(0.6757857974388825, 0.6757857974388825, None)",[0.69304348 0.64084507],"(array([0.        , 0.30695652, 1.        ]), array([0.        , 0.64084507, 1.        ]), array([2, 1, 0]))",1.0,0.6757857974388825,0.6757857974388825,,0.44408108620908915,0.6757857974388825,0.5,0.6757857974388823,0.32421420256111755,False
108,HOS,0,4,0.7346601347213717,0.5563891103270187,0.670774647887324,0.688695652173913,0.679676087256634,0.3415643509680602,0.6827706635622818,381,792,358,187,1150,568,0.8089887640449438,0.5155615696887687,0.688695652173913,0.670774647887324,0.7440112728980742,0.5830145371078808,2.0918670076726347,2.154723030922968,0.329225352112676,0.670774647887324,0.6827706635622818,1000,10.956879738711484,"(array([0.68869565, 0.67077465]), array([0.67077465, 0.68869565]), array([1150,  568]))",logistic,0.001,[0 1 1 ... 1 1 1],0.6827706635622818,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.69      0.67      0.74      0.68      0.46      1150
          1       0.52      0.67      0.69      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
",0.6827706635622818,0.3172293364377183,"              precision    recall  f1-score   support

           0       0.81      0.69      0.74      1150
           1       0.52      0.67      0.58       568

    accuracy                           0.68      1718
   macro avg       0.66      0.68      0.66      1718
weighted avg       0.71      0.68      0.69      1718
",0.6797351500306185,constant,adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.69      0.67      0.74      0.68      0.46      1150
          1       0.52      0.67      0.69      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
","[[792 358]
 [187 381]]","(1,)",,0.3415643509680602,"[[-9.68834607e-01 -6.99832536e-01 -3.14949439e-01 ...  3.70762453e-01
  -4.78854217e-01 -8.04073464e-01]
 [-1.65269270e+00  1.06544323e-01 -4.49734701e-01 ...  1.90151998e+00
  -2.61733039e-01 -3.35200605e-01]
 [-2.84976510e-01 -6.92820563e-01 -4.49734701e-01 ... -9.35981780e-01
  -7.63825763e-01 -6.30416850e-01]
 ...
 [-7.62113046e-01  1.04025934e+00  1.00854941e+00 ...  3.09208485e-01
   5.73188798e-02 -3.01263663e-01]
 [-1.74044376e+00  1.29128791e-01 -2.72961543e-01 ...  6.76528565e-01
   1.20863260e+00  3.75984816e+00]
 [ 4.56077143e-04 -5.76362220e-01  9.30739486e-01 ... -8.39393370e-01
  -3.40934022e-01 -2.42399405e-03]]",0.0001,[0.67077465 0.68869565],auto,0.9,0.3340242204048304,"(0.6827706635622818, 0.6827706635622818, None)",[0.68869565 0.67077465],"(array([0.        , 0.31130435, 1.        ]), array([0.        , 0.67077465, 1.        ]), array([2, 1, 0]))",1.0,0.6827706635622818,0.6827706635622818,,0.45467312746185895,0.6827706635622818,0.5,0.6827706635622818,0.3172293364377182,False
72,HOS,0,5,0.7339268218003674,0.554803137940042,0.6742957746478874,0.6782608695652174,0.6762754161263205,0.33426495522554983,0.6769499417927823,383,780,370,185,1150,568,0.8082901554404145,0.5086321381142098,0.6782608695652174,0.6742957746478874,0.7375886524822696,0.5798637395912187,2.082444183313749,2.0957841644461364,0.32570422535211263,0.6742957746478874,0.6769499417927823,1000,11.157925931446217,"(array([0.67826087, 0.67429577]), array([0.67429577, 0.67826087]), array([1150,  568]))",logistic,0.001,[0 1 1 ... 1 1 1],0.6769499417927823,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.68      0.67      0.74      0.68      0.46      1150
          1       0.51      0.67      0.68      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
",0.6769499417927823,0.3230500582072177,"              precision    recall  f1-score   support

           0       0.81      0.68      0.74      1150
           1       0.51      0.67      0.58       568

    accuracy                           0.68      1718
   macro avg       0.66      0.68      0.66      1718
weighted avg       0.71      0.68      0.69      1718
",0.6762783221065525,constant,adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.68      0.67      0.74      0.68      0.46      1150
          1       0.51      0.67      0.68      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
","[[780 370]
 [185 383]]","(1,)",,0.33426495522554983,"[[-0.97041341 -0.70667877 -0.33422517 ...  0.36008313 -0.48319238
  -0.83397642]
 [-1.65368888  0.12964161 -0.47914992 ...  1.8622848  -0.26120903
  -0.34868787]
 [-0.28713794 -0.69940641 -0.47914992 ... -0.92228415 -0.77454553
  -0.65423992]
 ...
 [-0.38843063  0.18700706 -0.37709865 ...  0.1022035   0.30296818
   3.47055442]
 [-0.07162029 -0.66919573 -0.40334639 ...  2.04128348  1.30550927
  -0.05081595]
 [ 0.51974411 -0.59864086 -0.36259509 ... -0.74565573 -0.86901374
  -0.32077804]]",0.0001,[0.67429577 0.67826087],auto,0.9,0.32571230561429065,"(0.6769499417927823, 0.6769499417927823, None)",[0.67826087 0.67429577],"(array([0.        , 0.32173913, 1.        ]), array([0.        , 0.67429577, 1.        ]), array([2, 1, 0]))",1.0,0.6769499417927823,0.6769499417927823,,0.4506518543162715,0.6769499417927823,0.5,0.6769499417927822,0.32305005820721766,False
0,HOS,0,6,0.7359384568279241,0.5610637197101412,0.6672535211267606,0.7008695652173913,0.6838550177061554,0.35078050865132376,0.689755529685681,379,806,344,189,1150,568,0.8100502512562814,0.5242047026279392,0.7008695652173913,0.6672535211267606,0.7515151515151516,0.5871417505809451,2.106317000230044,2.230644038650508,0.3327464788732394,0.6672535211267606,0.689755529685681,1000,10.715624493599174,"(array([0.70086957, 0.66725352]), array([0.66725352, 0.70086957]), array([1150,  568]))",logistic,0.001,[0 1 1 ... 1 1 1],0.689755529685681,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.70      0.67      0.75      0.68      0.47      1150
          1       0.52      0.67      0.70      0.59      0.68      0.47       568

avg / total       0.72      0.69      0.68      0.70      0.68      0.47      1718
",0.689755529685681,0.31024447031431895,"              precision    recall  f1-score   support

           0       0.81      0.70      0.75      1150
           1       0.52      0.67      0.59       568

    accuracy                           0.69      1718
   macro avg       0.67      0.68      0.67      1718
weighted avg       0.72      0.69      0.70      1718
",0.6840615431720759,constant,adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.70      0.67      0.75      0.68      0.47      1150
          1       0.52      0.67      0.70      0.59      0.68      0.46       568

avg / total       0.72      0.69      0.68      0.70      0.68      0.47      1718
","[[806 344]
 [189 379]]","(1,)",,0.35078050865132376,"[[-0.96680932 -0.70731849 -0.3169423  ...  0.35872422 -0.49096658
  -0.81645755]
 [-1.65206721  0.11165676 -0.44698717 ...  1.86704705 -0.27000138
  -0.34126003]
 [-0.28155142 -0.70019697 -0.44698717 ... -0.92886845 -0.7809834
  -0.64045847]
 ...
 [-1.34350855 -0.0058684  -0.37309174 ...  1.12838109 -0.00651702
  -0.20145179]
 [-0.67955039  0.3675085  -0.10549094 ...  0.17582667 -0.14367955
   0.12936875]
 [ 0.35758683 -0.07127621  0.23491565 ...  1.95265261 -0.07148252
   1.63102094]]",0.0001,[0.66725352 0.70086957],auto,0.9,0.3443452359642277,"(0.689755529685681, 0.689755529685681, None)",[0.70086957 0.66725352],"(array([0.        , 0.29913043, 1.        ]), array([0.        , 0.66725352, 1.        ]), array([2, 1, 0]))",1.0,0.689755529685681,0.689755529685681,,0.45978907506323785,0.689755529685681,0.5,0.6897555296856811,0.310244470314319,False
36,HOS,0,7,0.7325505205143906,0.5477566707910068,0.6778169014084507,0.6782608695652174,0.6780388491489975,0.33750587052196124,0.6781140861466822,385,780,370,183,1150,568,0.8099688473520249,0.5099337748344371,0.6782608695652174,0.6778169014084507,0.7382867960246096,0.5820105820105821,2.1052031361368497,2.1067282070803195,0.32218309859154926,0.6778169014084507,0.6781140861466822,1000,11.11771780991547,"(array([0.67826087, 0.6778169 ]), array([0.6778169 , 0.67826087]), array([1150,  568]))",logistic,0.001,[0 1 1 ... 1 1 1],0.6781140861466822,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.68      0.68      0.74      0.68      0.46      1150
          1       0.51      0.68      0.68      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
",0.6781140861466822,0.32188591385331783,"              precision    recall  f1-score   support

           0       0.81      0.68      0.74      1150
           1       0.51      0.68      0.58       568

    accuracy                           0.68      1718
   macro avg       0.66      0.68      0.66      1718
weighted avg       0.71      0.68      0.69      1718
",0.6780388854868342,constant,adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.68      0.68      0.74      0.68      0.46      1150
          1       0.51      0.68      0.68      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
","[[780 370]
 [183 385]]","(1,)",,0.33750587052196124,"[[-0.97209145 -0.70419531 -0.30617608 ...  0.35972731 -0.49050516
  -0.80002913]
 [-1.6569667   0.12033623 -0.43316279 ...  1.83875429 -0.27329141
  -0.33102346]
 [-0.2872162  -0.69702547 -0.43316279 ... -0.90285671 -0.7755982
  -0.62632333]
 ...
 [ 0.40430822 -0.14078119 -0.30904107 ...  0.30444084 -0.04950628
  -0.2693952 ]
 [ 0.42230084 -0.24323156 -0.3235824  ...  1.05971183 -0.17216971
   1.03762109]
 [ 0.2537517  -0.23143623 -0.41315077 ...  0.51445716  0.72029906
  -0.22801272]]",0.0001,[0.6778169  0.67826087],auto,0.9,0.32869476001848463,"(0.6781140861466822, 0.6781140861466822, None)",[0.67826087 0.6778169 ],"(array([0.        , 0.32173913, 1.        ]), array([0.       , 0.6778169, 1.       ]), array([2, 1, 0]))",1.0,0.6781140861466822,0.6781140861466822,,0.4521609395636321,0.6781140861466822,0.5,0.6781140861466822,0.3218859138533178,False
324,HOS,0,8,0.7355373545621555,0.5651042115384429,0.6566901408450704,0.6982608695652174,0.6771565762668069,0.33842308956751155,0.6845168800931315,373,803,347,195,1150,568,0.8046092184368737,0.5180555555555556,0.6982608695652174,0.6566901408450704,0.7476722532588455,0.5791925465838509,2.0339085841694535,2.1763506108698296,0.3433098591549296,0.6566901408450704,0.6845168800931315,1000,10.896562436757781,"(array([0.69826087, 0.65669014]), array([0.65669014, 0.69826087]), array([1150,  568]))",logistic,0.001,[0 1 1 ... 1 1 1],0.6845168800931315,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.70      0.66      0.75      0.68      0.46      1150
          1       0.52      0.66      0.70      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.67      0.69      0.68      0.46      1718
",0.6845168800931315,0.31548311990686845,"              precision    recall  f1-score   support

           0       0.80      0.70      0.75      1150
           1       0.52      0.66      0.58       568

    accuracy                           0.68      1718
   macro avg       0.66      0.68      0.66      1718
weighted avg       0.71      0.68      0.69      1718
",0.6774755052051439,constant,adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.70      0.66      0.75      0.68      0.46      1150
          1       0.52      0.66      0.70      0.58      0.68      0.45       568

avg / total       0.71      0.68      0.67      0.69      0.68      0.46      1718
","[[803 347]
 [195 373]]","(1,)",,0.33842308956751155,"[[-0.97455705 -0.69813131 -0.32109404 ...  0.37029095 -0.48200041
  -0.81637615]
 [-1.65422644  0.10893026 -0.45876788 ...  1.88691799 -0.26397402
  -0.34304508]
 [-0.29488767 -0.69111339 -0.45876788 ... -0.92439066 -0.76816006
  -0.64106835]
 ...
 [-0.47787813 -0.01388517 -0.14141324 ... -0.53457039  0.64796178
   0.65620085]
 [ 0.01222282 -0.25938087 -0.29818241 ...  0.57579697  0.77699872
   0.75113246]
 [-0.6731409   0.08299949 -0.31990001 ...  0.31237552 -0.47310857
   1.91841832]]",0.0001,[0.65669014 0.69826087],auto,0.9,0.3324395783388201,"(0.6845168800931315, 0.6845168800931315, None)",[0.69826087 0.65669014],"(array([0.        , 0.30173913, 1.        ]), array([0.        , 0.65669014, 1.        ]), array([2, 1, 0]))",1.0,0.6845168800931315,0.6845168800931315,,0.4537060502485877,0.6845168800931315,0.5,0.6845168800931315,0.3154831199068685,False
288,HOS,0,9,0.7377510716472749,0.5764851243109217,0.647887323943662,0.7217391304347827,0.683816959282831,0.35487328190273165,0.6973224679860303,368,830,320,200,1150,568,0.8058252427184466,0.5348837209302325,0.7217391304347827,0.647887323943662,0.761467889908257,0.5859872611464968,2.0497391304347827,2.328345070422536,0.352112676056338,0.647887323943662,0.6973224679860303,1000,10.454260533487322,"(array([0.72173913, 0.64788732]), array([0.64788732, 0.72173913]), array([1150,  568]))",logistic,0.001,[0 1 1 ... 1 1 1],0.6973224679860303,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.72      0.65      0.76      0.68      0.47      1150
          1       0.53      0.65      0.72      0.59      0.68      0.46       568

avg / total       0.72      0.70      0.67      0.70      0.68      0.47      1718
",0.6973224679860303,0.30267753201396974,"              precision    recall  f1-score   support

           0       0.81      0.72      0.76      1150
           1       0.53      0.65      0.59       568

    accuracy                           0.70      1718
   macro avg       0.67      0.68      0.67      1718
weighted avg       0.72      0.70      0.70      1718
",0.6848132271892223,constant,adam,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.72      0.65      0.76      0.68      0.48      1150
          1       0.53      0.65      0.72      0.59      0.68      0.46       568

avg / total       0.72      0.70      0.67      0.70      0.68      0.47      1718
","[[830 320]
 [200 368]]","(1,)",,0.35487328190273165,"[[-0.98131721 -0.70876339 -0.30381892 ...  0.37310702 -0.4862434
  -0.81059693]
 [-1.66661897  0.12189792 -0.42903867 ...  1.88662569 -0.2678821
  -0.33401512]
 [-0.29601544 -0.70154025 -0.42903867 ... -0.91892111 -0.77284262
  -0.63408515]
 ...
 [-1.52146528 -0.6512626   0.13175504 ... -0.58741191  0.34787085
  -0.26341041]
 [-0.38123006 -0.34975726 -0.15039744 ... -1.24016405 -0.42168511
  -0.19376463]
 [ 0.54844935 -0.09325799 -0.28112353 ... -0.09355666  3.04838457
  -0.66856757]]",0.0001,[0.64788732 0.72173913],auto,0.9,0.3508690344707318,"(0.6973224679860303, 0.6973224679860303, None)",[0.72173913 0.64788732],"(array([0.        , 0.27826087, 1.        ]), array([0.        , 0.64788732, 1.        ]), array([2, 1, 0]))",1.0,0.6973224679860303,0.6973224679860303,,0.4629588179645052,0.6973224679860303,0.5,0.6973224679860303,0.30267753201396974,False
