,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,bal_report,max_iter,accuracy,batch_size,power_t,warm_start,solver,imb_sens_micro,roc_curve,imb_sens_spec_supp_micro,imb_sens,imb_spec_micro,y,tol,hamming_loss,learning_rate,roc_auc_score,log_loss,fbeta_score,cohen_kappa_score,avg_prec_score,hinge_loss,imb_report_0.1,imb_sens_spec_supp,activation,zero_one_loss,f1_score,prec_score,X,momentum,pr_curve,imb_spec,hidden_layer_sizes,rec_score,confusion_matrix,alpha,imb_report_0.3,matthews_corrcoef,learning_rate_init
144,HOS,0,0,0.6895491335471444,0.4902782986996621,0.6447166921898928,0.6422240128928284,0.6434691455207339,0.27379083193814485,0.6430834213305174,421,797,444,232,1241,653,0.7745383867832848,0.4867052023121387,0.6422240128928284,0.6447166921898928,0.7022026431718063,0.5546772068511199,1.8076391397371419,1.8020121959631914,0.3552833078101072,0.6447166921898928,"              precision    recall  f1-score   support

           0       0.77      0.64      0.70      1241
           1       0.49      0.64      0.55       653

    accuracy                           0.64      1894
   macro avg       0.63      0.64      0.63      1894
weighted avg       0.68      0.64      0.65      1894
",1000,0.6430834213305174,auto,0.5,False,adam,0.6430834213305174,"(array([0.        , 0.35777599, 1.        ]), array([0.        , 0.64471669, 1.        ]), array([2, 1, 0]))","(0.6430834213305174, 0.6430834213305174, None)",[0.64222401 0.64471669],0.6430834213305174,[0 1 0 ... 1 1 1],0.0001,0.35691657866948256,constant,0.6434703525413606,12.327649347528313,0.6430834213305174,0.2664475003466251,0.43627904835972653,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.77      0.64      0.64      0.70      0.64      0.41      1241
          1       0.49      0.64      0.64      0.55      0.64      0.41       653

avg / total       0.68      0.64      0.64      0.65      0.64      0.41      1894
","(array([0.64222401, 0.64471669]), array([0.64471669, 0.64222401]), array([1241,  653]))",logistic,0.35691657866948256,0.6430834213305174,0.6430834213305174,"[[ 1.30604885 -0.15176545 -0.02542716 -0.38471738 -0.01033659  0.79255851]
 [ 1.10697073 -0.46740565 -0.2344006  -0.39491543 -0.47536824  0.70861233]
 [-0.21000763 -0.32815262 -0.1037922   3.76079101 -0.89865383 -0.20080464]
 ...
 [ 0.31240285 -0.26935242  0.1226209  -0.30993412 -0.19878776  0.64797778]
 [-0.67631132 -0.21536034 -0.20827892 -0.34711083 -0.70915025  0.55228069]
 [-0.63367818 -0.08576299 -0.17052819 -0.42096954  2.3516558   0.50042103]]",0.9,,[0.64471669 0.64222401],"(1,)",0.6430834213305174,"[[797 444]
 [232 421]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.77      0.64      0.64      0.70      0.64      0.41      1241
          1       0.49      0.64      0.64      0.55      0.64      0.41       653

avg / total       0.68      0.64      0.64      0.65      0.64      0.41      1894
",0.27379083193814485,0.001
180,HOS,0,1,0.6888531577434095,0.4886808736763838,0.6539050535987749,0.6422240128928284,0.6480382145931715,0.28240775903309145,0.6462513199577613,427,797,444,226,1241,653,0.7790811339198436,0.4902411021814007,0.6422240128928284,0.6539050535987749,0.7040636042402826,0.5603674540682416,1.8556295593761813,1.8276940799911705,0.34609494640122507,0.6539050535987749,"              precision    recall  f1-score   support

           0       0.78      0.64      0.70      1241
           1       0.49      0.65      0.56       653

    accuracy                           0.65      1894
   macro avg       0.63      0.65      0.63      1894
weighted avg       0.68      0.65      0.65      1894
",1000,0.6462513199577613,auto,0.5,False,adam,0.6462513199577613,"(array([0.        , 0.35777599, 1.        ]), array([0.        , 0.65390505, 1.        ]), array([2, 1, 0]))","(0.6462513199577613, 0.6462513199577613, None)",[0.64222401 0.65390505],0.6462513199577613,[0 0 1 ... 1 1 1],0.0001,0.35374868004223864,constant,0.6480645332458017,12.218234005200191,0.6462513199577613,0.2744249341025655,0.4398953158244393,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.64      0.65      0.70      0.65      0.42      1241
          1       0.49      0.65      0.64      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.65      0.65      0.42      1894
","(array([0.64222401, 0.65390505]), array([0.65390505, 0.64222401]), array([1241,  653]))",logistic,0.3537486800422387,0.6462513199577613,0.6462513199577613,"[[ 1.33227228 -0.14960192 -0.04450999 -0.38080276 -0.00677674  0.78596312]
 [-0.19830711 -0.31695992 -0.10867831  3.77245007 -0.89842597 -0.19459491]
 [-0.74328614 -0.03068965 -0.13006775 -0.43444255  0.19006823 -0.16006822]
 ...
 [-0.12630332  0.29194376 -0.18720637 -0.52442577 -0.70390497 -0.75391424]
 [ 0.33376718 -0.40265577 -0.07761865 -0.49301783 -0.64631342 -1.12799335]
 [-0.57826458 -0.32323066 -0.27305111  0.60601098 -0.9243871  -0.69298808]]",0.9,,[0.65390505 0.64222401],"(1,)",0.6462513199577613,"[[797 444]
 [226 427]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.64      0.65      0.70      0.65      0.42      1241
          1       0.49      0.65      0.64      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.65      0.65      0.42      1894
",0.28240775903309145,0.001
252,HOS,0,2,0.6900414994082971,0.4920467991144459,0.6477794793261868,0.6510878323932313,0.6494315491745862,0.28542061622670184,0.6499472016895459,423,808,433,230,1241,653,0.7784200385356455,0.4941588785046729,0.6510878323932313,0.6477794793261868,0.7090829311101362,0.5606361829025844,1.848523280664261,1.8565689003320969,0.35222052067381315,0.6477794793261868,"              precision    recall  f1-score   support

           0       0.78      0.65      0.71      1241
           1       0.49      0.65      0.56       653

    accuracy                           0.65      1894
   macro avg       0.64      0.65      0.63      1894
weighted avg       0.68      0.65      0.66      1894
",1000,0.6499472016895459,auto,0.5,False,adam,0.6499472016895459,"(array([0.        , 0.34891217, 1.        ]), array([0.        , 0.64777948, 1.        ]), array([2, 1, 0]))","(0.6499472016895459, 0.6499472016895459, None)",[0.65108783 0.64777948],0.6499472016895459,[0 1 0 ... 1 1 1],0.0001,0.35005279831045405,constant,0.649433655859709,12.09057812857078,0.6499472016895459,0.2783663101757935,0.44154209506652,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.65      0.65      0.71      0.65      0.42      1241
          1       0.49      0.65      0.65      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.66      0.65      0.42      1894
","(array([0.65108783, 0.64777948]), array([0.64777948, 0.65108783]), array([1241,  653]))",logistic,0.3500527983104541,0.6499472016895459,0.6499472016895459,"[[ 1.36697567e+00 -1.57314967e-01 -2.90241577e-02 -3.74719221e-01
  -2.09951952e-03  8.27297992e-01]
 [ 1.16019230e+00 -4.81291664e-01 -2.27095840e-01 -3.84825515e-01
  -4.73370453e-01  7.40198240e-01]
 [-2.07759223e-01 -3.38360768e-01 -1.03301039e-01  3.73348897e+00
  -9.02335228e-01 -2.03382408e-01]
 ...
 [ 1.20516518e-01  4.67338131e-03  3.89347427e-02 -3.91168121e-01
  -6.05302696e-01 -1.30664593e+00]
 [-5.46878218e-02 -2.07396343e-01 -1.74468613e-01 -4.87134055e-01
   4.21245900e-01  2.71613839e-01]
 [ 7.99141400e-01 -6.27840893e-02 -9.19042360e-02 -4.18673759e-01
  -1.85771965e-01  5.53696932e+00]]",0.9,,[0.64777948 0.65108783],"(1,)",0.6499472016895459,"[[808 433]
 [230 423]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.65      0.65      0.71      0.65      0.42      1241
          1       0.49      0.65      0.65      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.66      0.65      0.42      1894
",0.28542061622670184,0.001
216,HOS,0,3,0.6900637114020333,0.49064859502228153,0.6738131699846861,0.6204673650282031,0.6465903510737683,0.2799420063783583,0.6388595564941922,440,770,471,213,1241,653,0.7833163784333672,0.4829857299670692,0.6204673650282031,0.6738131699846861,0.6924460431654677,0.5626598465473146,1.9021839876216744,1.7753761018067846,0.3261868300153139,0.6738131699846861,"              precision    recall  f1-score   support

           0       0.78      0.62      0.69      1241
           1       0.48      0.67      0.56       653

    accuracy                           0.64      1894
   macro avg       0.63      0.65      0.63      1894
weighted avg       0.68      0.64      0.65      1894
",1000,0.6388595564941922,auto,0.5,False,adam,0.6388595564941922,"(array([0.        , 0.37953263, 1.        ]), array([0.        , 0.67381317, 1.        ]), array([2, 1, 0]))","(0.6388595564941922, 0.6388595564941922, None)",[0.62046737 0.67381317],0.6388595564941922,[0 1 0 ... 1 1 1],0.0001,0.3611404435058078,constant,0.6471402675064446,12.473547869328684,0.6388595564941922,0.2690930632739993,0.43790254703363796,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.62      0.67      0.69      0.65      0.42      1241
          1       0.48      0.67      0.62      0.56      0.65      0.42       653

avg / total       0.68      0.64      0.66      0.65      0.65      0.42      1894
","(array([0.62046737, 0.67381317]), array([0.67381317, 0.62046737]), array([1241,  653]))",logistic,0.36114044350580776,0.6388595564941922,0.6388595564941922,"[[ 1.34618622e+00 -1.42756046e-01 -3.71631164e-02 -3.82405106e-01
  -2.95421373e-03  7.99361148e-01]
 [ 1.14447204e+00 -4.56464470e-01 -2.20559624e-01 -3.92445827e-01
  -4.66532522e-01  7.16136562e-01]
 [-1.89944819e-01 -3.18063695e-01 -1.05936807e-01  3.69914805e+00
  -8.88495241e-01 -1.85463126e-01]
 ...
 [ 2.55790976e-01 -2.93908291e-01 -9.67503745e-02 -3.71631174e-01
  -4.63527482e-01  1.68940366e-01]
 [ 7.19727722e-01 -1.20112287e-01 -1.26072226e-01  6.56273953e-01
   3.56701099e+00  2.80263497e+00]
 [-2.22705478e-01  6.37405556e-01 -1.07213094e-01 -4.71933095e-01
  -9.21723876e-01 -9.49899633e-01]]",0.9,,[0.67381317 0.62046737],"(1,)",0.6388595564941922,"[[770 471]
 [213 440]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.62      0.67      0.69      0.65      0.41      1241
          1       0.48      0.67      0.62      0.56      0.65      0.42       653

avg / total       0.68      0.64      0.66      0.65      0.65      0.42      1894
",0.2799420063783583,0.001
108,HOS,0,4,0.6886606537976956,0.48838909009087983,0.666156202143951,0.6188557614826753,0.6420705597862292,0.27115910384498376,0.6351636747624076,435,768,473,218,1241,653,0.7789046653144016,0.4790748898678414,0.6188557614826753,0.666156202143951,0.6897171082173328,0.5573350416399744,1.8537284965513163,1.7477798030880407,0.333843797856049,0.666156202143951,"              precision    recall  f1-score   support

           0       0.78      0.62      0.69      1241
           1       0.48      0.67      0.56       653

    accuracy                           0.64      1894
   macro avg       0.63      0.64      0.62      1894
weighted avg       0.68      0.64      0.64      1894
",1000,0.6351636747624076,auto,0.5,False,adam,0.6351636747624076,"(array([0.        , 0.38114424, 1.        ]), array([0.       , 0.6661562, 1.       ]), array([2, 1, 0]))","(0.6351636747624076, 0.6351636747624076, None)",[0.61885576 0.6661562 ],0.6351636747624076,[1 0 1 ... 1 1 1],0.0001,0.3648363252375924,constant,0.6425059818133131,12.601199946392693,0.6351636747624076,0.2608774226486231,0.4342390259667555,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.62      0.67      0.69      0.64      0.41      1241
          1       0.48      0.67      0.62      0.56      0.64      0.41       653

avg / total       0.68      0.64      0.65      0.64      0.64      0.41      1894
","(array([0.61885576, 0.6661562 ]), array([0.6661562 , 0.61885576]), array([1241,  653]))",logistic,0.36483632523759235,0.6351636747624076,0.6351636747624076,"[[ 1.12072887 -0.44496153 -0.22531288 -0.3955282  -0.47057738  0.68651104]
 [-0.20095216 -0.31277679 -0.10219032  3.69136069 -0.90190665 -0.20272923]
 [-0.52753032 -0.40530611 -0.23762514 -0.64625757 -0.64568123 -0.03856179]
 ...
 [-0.08552364  0.11216826 -0.09847467 -0.57636219 -0.73006088 -1.24001285]
 [ 0.82049751  0.41047749 -0.06171977 -0.46321144 -0.67173558 -0.4324482 ]
 [ 3.42247595  0.62221813 -0.17606386 -0.47570944  0.52702473  0.13833242]]",0.9,,[0.6661562  0.61885576],"(1,)",0.6351636747624076,"[[768 473]
 [218 435]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.62      0.67      0.69      0.64      0.41      1241
          1       0.48      0.67      0.62      0.56      0.64      0.42       653

avg / total       0.68      0.64      0.65      0.64      0.64      0.41      1894
",0.27115910384498376,0.001
72,HOS,0,5,0.690535099269102,0.49238200493142253,0.6539050535987749,0.6438356164383562,0.6488508020153196,0.28399377578701634,0.6473072861668426,427,799,442,226,1241,653,0.7795121951219512,0.49136939010356734,0.6438356164383562,0.6539050535987749,0.7052074139452781,0.5611038107752957,1.8602860952842772,1.8359641889504066,0.34609494640122507,0.6539050535987749,"              precision    recall  f1-score   support

           0       0.78      0.64      0.71      1241
           1       0.49      0.65      0.56       653

    accuracy                           0.65      1894
   macro avg       0.64      0.65      0.63      1894
weighted avg       0.68      0.65      0.66      1894
",1000,0.6473072861668426,auto,0.5,False,adam,0.6473072861668426,"(array([0.        , 0.35616438, 1.        ]), array([0.        , 0.65390505, 1.        ]), array([2, 1, 0]))","(0.6473072861668426, 0.6473072861668426, None)",[0.64383562 0.65390505],0.6473072861668426,[0 1 0 ... 1 1 1],0.0001,0.3526927138331573,constant,0.6488703350185655,12.181761380076285,0.6473072861668427,0.2761040741431574,0.44063310899865854,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.64      0.65      0.71      0.65      0.42      1241
          1       0.49      0.65      0.64      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.66      0.65      0.42      1894
","(array([0.64383562, 0.65390505]), array([0.65390505, 0.64383562]), array([1241,  653]))",logistic,0.35269271383315737,0.6473072861668426,0.6473072861668426,"[[ 1.34453705 -0.1500117  -0.0333128  -0.38052796  0.00647572  0.80150661]
 [ 1.14192915 -0.4614035  -0.22401504 -0.39070439 -0.46812531  0.71783573]
 [-0.19840003 -0.32402476 -0.10482614  3.75619039 -0.90012124 -0.18859879]
 ...
 [-0.39787871 -0.17235291 -0.17055878 -0.41857349  0.17070321  0.31162662]
 [-0.65277054  1.44178915  0.52861154 -0.47571029 -0.93489677 -1.03242961]
 [-0.31450033  0.45702516 -0.20676551  0.33145688  0.80961171  0.48076824]]",0.9,,[0.65390505 0.64383562],"(1,)",0.6473072861668426,"[[799 442]
 [226 427]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.64      0.65      0.71      0.65      0.42      1241
          1       0.49      0.65      0.64      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.66      0.65      0.42      1894
",0.28399377578701634,0.001
0,HOS,0,6,0.6892393996344892,0.4891183506841248,0.666156202143951,0.637389202256245,0.6516139733481647,0.2891671303034543,0.6473072861668426,435,791,450,218,1241,653,0.7839444995044599,0.4915254237288136,0.637389202256245,0.666156202143951,0.7031111111111111,0.5656697009102731,1.9092438030886603,1.8371107708014294,0.333843797856049,0.666156202143951,"              precision    recall  f1-score   support

           0       0.78      0.64      0.70      1241
           1       0.49      0.67      0.57       653

    accuracy                           0.65      1894
   macro avg       0.64      0.65      0.63      1894
weighted avg       0.68      0.65      0.66      1894
",1000,0.6473072861668426,auto,0.5,False,adam,0.6473072861668426,"(array([0.       , 0.3626108, 1.       ]), array([0.       , 0.6661562, 1.       ]), array([2, 1, 0]))","(0.6473072861668426, 0.6473072861668426, None)",[0.6373892 0.6661562],0.6473072861668426,[0 1 0 ... 1 1 1],0.0001,0.3526927138331573,constant,0.651772702200098,12.181764757467754,0.6473072861668427,0.2799798766419943,0.4425330263182454,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.64      0.67      0.70      0.65      0.42      1241
          1       0.49      0.67      0.64      0.57      0.65      0.43       653

avg / total       0.68      0.65      0.66      0.66      0.65      0.42      1894
","(array([0.6373892, 0.6661562]), array([0.6661562, 0.6373892]), array([1241,  653]))",logistic,0.35269271383315737,0.6473072861668426,0.6473072861668426,"[[ 1.32963757e+00 -1.52978502e-01 -2.41040692e-02 -3.82264371e-01
  -1.04715548e-03  8.03495948e-01]
 [ 1.13000613e+00 -5.09796644e-01 -2.26861753e-01 -3.92364902e-01
  -4.70817393e-01  7.19058463e-01]
 [-1.90632650e-01 -3.52376876e-01 -1.00138200e-01  3.72360143e+00
  -8.98416190e-01 -1.95680961e-01]
 ...
 [-3.31438586e-01  4.50638047e-01 -1.85991946e-01 -5.61385737e-01
  -5.07706952e-01  4.00366945e-01]
 [-2.95922129e-01 -4.36141391e-02 -3.28240594e-01 -5.66199897e-01
   1.24853107e-02 -4.08789042e-02]
 [-1.56389224e-01  1.01507553e+00 -7.83420630e-02 -4.70340750e-01
  -8.48400112e-01 -7.74080346e-01]]",0.9,,[0.6661562 0.6373892],"(1,)",0.6473072861668426,"[[791 450]
 [218 435]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.64      0.67      0.70      0.65      0.42      1241
          1       0.49      0.67      0.64      0.57      0.65      0.43       653

avg / total       0.68      0.65      0.66      0.66      0.65      0.42      1894
",0.2891671303034543,0.001
36,HOS,0,7,0.6901130713881138,0.49095153959944215,0.6508422664624809,0.6486704270749396,0.6497554393343999,0.28589461661793875,0.6494192185850053,425,805,436,228,1241,653,0.7792836398838335,0.49361207897793263,0.6486704270749396,0.6508422664624809,0.7080035180299032,0.5614266842800529,1.8578148635084895,1.8525120474310524,0.3491577335375191,0.6508422664624809,"              precision    recall  f1-score   support

           0       0.78      0.65      0.71      1241
           1       0.49      0.65      0.56       653

    accuracy                           0.65      1894
   macro avg       0.64      0.65      0.63      1894
weighted avg       0.68      0.65      0.66      1894
",1000,0.6494192185850053,auto,0.5,False,adam,0.6494192185850053,"(array([0.        , 0.35132957, 1.        ]), array([0.        , 0.65084227, 1.        ]), array([2, 1, 0]))","(0.6494192185850053, 0.6494192185850053, None)",[0.64867043 0.65084227],0.6494192185850053,[0 1 0 ... 1 1 1],0.0001,0.3505807814149947,constant,0.6497563467687102,12.1088152854806,0.6494192185850053,0.27849688763948255,0.4416437520705241,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.65      0.65      0.71      0.65      0.42      1241
          1       0.49      0.65      0.65      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.66      0.65      0.42      1894
","(array([0.64867043, 0.65084227]), array([0.65084227, 0.64867043]), array([1241,  653]))",logistic,0.3505807814149947,0.6494192185850053,0.6494192185850053,"[[ 1.32658507 -0.15235403 -0.04505456 -0.38159269 -0.00617496  0.81070338]
 [ 1.12566731 -0.46500577 -0.21129553 -0.39180049 -0.47331404  0.72476969]
 [-0.2034809  -0.32707118 -0.10739492  3.76787733 -0.89851788 -0.20617865]
 ...
 [-0.28435117 -0.3129035  -0.04505456 -0.45150421  1.13680416  1.64614283]
 [-0.67944424 -0.33252052 -0.25208697 -0.58461458 -0.8350909   0.60753587]
 [ 3.80869704  0.27955263  0.09394416  0.20033185  1.15834617  0.58024533]]",0.9,,[0.65084227 0.64867043],"(1,)",0.6494192185850053,"[[805 436]
 [228 425]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.65      0.65      0.71      0.65      0.42      1241
          1       0.49      0.65      0.65      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.66      0.65      0.42      1894
",0.28589461661793875,0.001
324,HOS,0,8,0.690221663357491,0.4920279455881039,0.6477794793261868,0.6518936341659952,0.6498333008673102,0.286219639429995,0.6504751847940866,423,809,432,230,1241,653,0.7786333012512031,0.49473684210526314,0.6518936341659952,0.6477794793261868,0.7096491228070175,0.5610079575596817,1.8508110570017169,1.8608665135273101,0.35222052067381315,0.6477794793261868,"              precision    recall  f1-score   support

           0       0.78      0.65      0.71      1241
           1       0.49      0.65      0.56       653

    accuracy                           0.65      1894
   macro avg       0.64      0.65      0.64      1894
weighted avg       0.68      0.65      0.66      1894
",1000,0.6504751847940866,auto,0.5,False,adam,0.6504751847940866,"(array([0.        , 0.34810637, 1.        ]), array([0.        , 0.64777948, 1.        ]), array([2, 1, 0]))","(0.6504751847940866, 0.6504751847940866, None)",[0.65189363 0.64777948],0.6504751847940866,[0 1 0 ... 1 1 1],0.0001,0.3495248152059134,constant,0.6498365567460909,12.072341816008825,0.6504751847940866,0.2792111856015618,0.44191648802677985,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.65      0.65      0.71      0.65      0.42      1241
          1       0.49      0.65      0.65      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.66      0.65      0.42      1894
","(array([0.65189363, 0.64777948]), array([0.64777948, 0.65189363]), array([1241,  653]))",logistic,0.3495248152059134,0.6504751847940866,0.6504751847940866,"[[ 1.35244243e+00 -1.50540968e-01 -3.25274579e-02 -3.87154479e-01
   2.21871222e-03  7.86266430e-01]
 [ 1.14837905e+00 -4.98663896e-01 -2.24166827e-01 -3.97226602e-01
  -4.66945434e-01  7.03431466e-01]
 [-2.01578731e-01 -3.45080251e-01 -1.04392221e-01  3.70716375e+00
  -8.93992549e-01 -1.93947310e-01]
 ...
 [-7.62870506e-01 -2.53236545e-01 -2.27034994e-01 -5.31059100e-01
  -1.45973816e-01 -2.05020736e-01]
 [-5.06749914e-01 -2.29922355e-01 -3.19986512e-01 -4.71168077e-01
  -7.54688656e-01 -5.67766548e-01]
 [-2.44939005e-01 -3.62345499e-02 -1.20100449e-01 -4.20425499e-01
   1.65199252e+00  2.54402552e-01]]",0.9,,[0.64777948 0.65189363],"(1,)",0.6504751847940866,"[[809 432]
 [230 423]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.65      0.65      0.71      0.65      0.42      1241
          1       0.49      0.65      0.65      0.56      0.65      0.42       653

avg / total       0.68      0.65      0.65      0.66      0.65      0.42      1894
",0.286219639429995,0.001
288,HOS,0,9,0.6874538021380278,0.4901794568078606,0.6462480857580398,0.636583400483481,0.6413975397425479,0.2696809343417256,0.6399155227032735,422,790,451,231,1241,653,0.7737512242899118,0.4833906071019473,0.636583400483481,0.6462480857580398,0.6984969053934572,0.5530799475753605,1.7995193095918318,1.7782569277732314,0.3537519142419602,0.6462480857580398,"              precision    recall  f1-score   support

           0       0.77      0.64      0.70      1241
           1       0.48      0.65      0.55       653

    accuracy                           0.64      1894
   macro avg       0.63      0.64      0.63      1894
weighted avg       0.67      0.64      0.65      1894
",1000,0.6399155227032735,auto,0.5,False,adam,0.6399155227032735,"(array([0.       , 0.3634166, 1.       ]), array([0.        , 0.64624809, 1.        ]), array([2, 1, 0]))","(0.6399155227032735, 0.6399155227032735, None)",[0.6365834  0.64624809],0.6399155227032735,[0 1 1 ... 1 1 1],0.0001,0.3600844772967265,constant,0.6414157431207604,12.437067645073972,0.6399155227032735,0.26192584906285665,0.4343543516619414,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.77      0.64      0.65      0.70      0.64      0.41      1241
          1       0.48      0.65      0.64      0.55      0.64      0.41       653

avg / total       0.67      0.64      0.64      0.65      0.64      0.41      1894
","(array([0.6365834 , 0.64624809]), array([0.64624809, 0.6365834 ]), array([1241,  653]))",logistic,0.36008447729672655,0.6399155227032735,0.6399155227032735,"[[ 1.33494305 -0.14756036 -0.0152103  -0.3813538   0.00677386  0.81821159]
 [ 1.13454    -0.47097002 -0.23290023 -0.39144548 -0.46602363  0.73204228]
 [-0.73460379 -0.0191477  -0.12405527 -0.43433512  0.20615819 -0.1655547 ]
 ...
 [-0.39270124  0.97927963 -0.13037487 -0.42523609 -0.82887558 -0.04885708]
 [-0.14067716 -0.44263947 -0.13975051 -0.14128894  0.36835684 -0.45544064]
 [ 0.16609323 -0.33380162 -0.14160319 -0.49561622 -0.89493054 -0.81672152]]",0.9,,[0.64624809 0.6365834 ],"(1,)",0.6399155227032735,"[[790 451]
 [231 422]]",1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.77      0.64      0.65      0.70      0.64      0.41      1241
          1       0.48      0.65      0.64      0.55      0.64      0.41       653

avg / total       0.67      0.64      0.64      0.65      0.64      0.41      1894
",0.2696809343417256,0.001
