,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,f1_score,solver,imb_sens,tol,matthews_corrcoef,imb_sens_spec_supp,pr_curve,X,roc_auc_score,accuracy,momentum,learning_rate_init,alpha,imb_sens_micro,roc_curve,learning_rate,imb_spec,imb_sens_spec_supp_micro,batch_size,power_t,bal_report,rec_score,fbeta_score,activation,confusion_matrix,hidden_layer_sizes,imb_spec_micro,warm_start,hinge_loss,imb_report_0.3,cohen_kappa_score,y,avg_prec_score,imb_report_0.1,max_iter,hamming_loss,zero_one_loss,prec_score,log_loss
144,HOS,0,0,0.7356031843233313,0.56563254589557,0.670774647887324,0.6904347826086956,0.6805337230391371,0.34333171335359136,0.6839348079161816,381,794,356,187,1150,568,0.8093781855249745,0.5169606512890095,0.6904347826086956,0.670774647887324,0.7451900516189582,0.5839080459770114,2.0971495001162523,2.166828216489951,0.329225352112676,0.670774647887324,0.6839348079161816,adam,[0.69043478 0.67077465],0.0001,0.34333171335359136,"(array([0.69043478, 0.67077465]), array([0.67077465, 0.69043478]), array([1150,  568]))",,"[[-0.97308314 -0.70176384 -0.31273789 ...  0.37645609 -0.48693325
  -0.79798394]
 [-1.65339183  0.1148709  -0.44161311 ...  1.88729771 -0.26756997
  -0.32712455]
 [-0.29277446 -0.69466267 -0.44161311 ... -0.91328676 -0.77484756
  -0.62359157]
 ...
 [-0.66350163 -0.40187615 -0.34946992 ...  0.3866009   1.90558027
   0.09395934]
 [ 1.13558809 -0.57554445 -0.05498744 ... -0.69908489 -0.39271363
   0.99632209]
 [ 1.46429798 -0.36433554 -0.09942726 ... -0.63754971 -0.93180456
  -1.45616454]]",0.6806047152480098,0.6839348079161816,0.9,0.001,1.0,0.6839348079161816,"(array([0.        , 0.30956522, 1.        ]), array([0.        , 0.67077465, 1.        ]), array([2, 1, 0]))",constant,[0.67077465 0.69043478],"(0.6839348079161816, 0.6839348079161816, None)",auto,0.5,"              precision    recall  f1-score   support

           0       0.81      0.69      0.75      1150
           1       0.52      0.67      0.58       568

    accuracy                           0.68      1718
   macro avg       0.66      0.68      0.66      1718
weighted avg       0.71      0.68      0.69      1718
",0.6839348079161816,0.6839348079161817,logistic,"[[794 356]
 [187 381]]","(1,)",0.6839348079161816,False,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.69      0.67      0.75      0.68      0.47      1150
          1       0.52      0.67      0.69      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
",0.3359183574679767,[0 1 1 ... 1 1 1],0.4556115959296261,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.69      0.67      0.75      0.68      0.46      1150
          1       0.52      0.67      0.69      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
",1000,0.3160651920838184,0.31606519208381845,0.6839348079161816,10.916670686333907
180,HOS,0,1,0.7346830985915493,0.5528059051181582,0.6725352112676056,0.6843478260869565,0.6784158089239356,0.3387774057135811,0.680442374854482,382,787,363,186,1150,568,0.8088386433710175,0.512751677852349,0.6843478260869565,0.6725352112676056,0.7414036740461611,0.5818735719725819,2.0898363721365123,2.130621192721065,0.3274647887323944,0.6725352112676056,0.680442374854482,adam,[0.68434783 0.67253521],0.0001,0.3387774057135811,"(array([0.68434783, 0.67253521]), array([0.67253521, 0.68434783]), array([1150,  568]))",,"[[-0.95744543 -0.72805381 -0.31576316 ...  0.36102693 -0.49166944
  -0.81323327]
 [-1.63352532  0.13413785 -0.44225303 ...  1.8592832  -0.27152428
  -0.34561565]
 [-0.28136554 -0.72055649 -0.44225303 ... -0.91797232 -0.78060996
  -0.64004156]
 ...
 [ 0.23878407 -0.34849838  0.07597889 ... -0.7862609   2.48079023
   0.17742556]
 [ 0.13326892 -0.54896904  2.4105549  ... -0.5890868   0.65784655
  -0.55905943]
 [ 0.23790556 -0.70747747 -0.07247909 ...  0.16124857  3.64928128
   1.04541144]]",0.6784415186772811,0.680442374854482,0.9,0.001,1.0,0.680442374854482,"(array([0.        , 0.31565217, 1.        ]), array([0.        , 0.67253521, 1.        ]), array([2, 1, 0]))",constant,[0.67253521 0.68434783],"(0.680442374854482, 0.680442374854482, None)",auto,0.5,"              precision    recall  f1-score   support

           0       0.81      0.68      0.74      1150
           1       0.51      0.67      0.58       568

    accuracy                           0.68      1718
   macro avg       0.66      0.68      0.66      1718
weighted avg       0.71      0.68      0.69      1718
",0.680442374854482,0.680442374854482,logistic,"[[787 363]
 [186 382]]","(1,)",0.680442374854482,False,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.68      0.67      0.74      0.68      0.46      1150
          1       0.51      0.67      0.68      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
",0.33079847369190307,[0 1 1 ... 1 1 1],0.45310898290493795,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.68      0.67      0.74      0.68      0.46      1150
          1       0.51      0.67      0.68      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
",1000,0.31955762514551805,0.319557625145518,0.680442374854482,11.03729830889006
252,HOS,0,2,0.7388074096754439,0.5717178485744631,0.6514084507042254,0.7234782608695652,0.6864982542084364,0.3599235825845482,0.69965075669383,370,832,318,198,1150,568,0.8077669902912621,0.5377906976744186,0.7234782608695652,0.6514084507042254,0.7633027522935779,0.589171974522293,2.0754325867369348,2.3557223846221986,0.3485915492957746,0.6514084507042254,0.69965075669383,adam,[0.72347826 0.65140845],0.0001,0.3599235825845482,"(array([0.72347826, 0.65140845]), array([0.65140845, 0.72347826]), array([1150,  568]))",,"[[-0.9660033  -0.715721   -0.35220123 ...  0.36645232 -0.48618032
  -0.81278846]
 [-1.64613299  0.11194017 -0.50209684 ...  1.89233859 -0.26538705
  -0.3384594 ]
 [-0.28587361 -0.70852394 -0.50209684 ... -0.93613352 -0.77597149
  -0.63711104]
 ...
 [ 0.01760364 -0.6495699  -0.07892618 ... -0.12448905  3.85881993
   0.04751018]
 [ 0.22056258 -0.54254404 -0.22658298 ...  0.96296625 -0.345139
  -0.34153798]
 [ 0.63620575  1.19194925  7.699423   ... -1.01748193  1.06726611
  -1.46404212]]",0.6874433557868953,0.69965075669383,0.9,0.001,1.0,0.69965075669383,"(array([0.        , 0.27652174, 1.        ]), array([0.        , 0.65140845, 1.        ]), array([2, 1, 0]))",constant,[0.65140845 0.72347826],"(0.69965075669383, 0.69965075669383, None)",auto,0.5,"              precision    recall  f1-score   support

           0       0.81      0.72      0.76      1150
           1       0.54      0.65      0.59       568

    accuracy                           0.70      1718
   macro avg       0.67      0.69      0.68      1718
weighted avg       0.72      0.70      0.71      1718
",0.69965075669383,0.69965075669383,logistic,"[[832 318]
 [198 370]]","(1,)",0.69965075669383,False,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.72      0.65      0.76      0.69      0.48      1150
          1       0.54      0.65      0.72      0.59      0.69      0.46       568

avg / total       0.72      0.70      0.68      0.71      0.69      0.47      1718
",0.3558623495901877,[0 1 1 ... 1 1 1],0.46557169621132594,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.72      0.65      0.76      0.69      0.47      1150
          1       0.54      0.65      0.72      0.59      0.69      0.47       568

avg / total       0.72      0.70      0.68      0.71      0.69      0.47      1718
",1000,0.30034924330616997,0.30034924330616997,0.69965075669383,10.373843359578995
216,HOS,0,3,0.7380419473361911,0.568171263076856,0.6602112676056338,0.7121739130434782,0.6857005482614835,0.35605974037110044,0.6949941792782305,375,819,331,193,1150,568,0.8092885375494071,0.5311614730878187,0.7121739130434782,0.6602112676056338,0.7576318223866789,0.5886970172684458,2.095931516107231,2.293785370835283,0.33978873239436624,0.6602112676056338,0.6949941792782305,adam,[0.71217391 0.66021127],0.0001,0.35605974037110044,"(array([0.71217391, 0.66021127]), array([0.66021127, 0.71217391]), array([1150,  568]))",,"[[-0.97252449 -0.68563945 -0.30939665 ...  0.36748768 -0.48301018
  -0.80882526]
 [-1.65807957  0.10891691 -0.43772116 ...  1.86645535 -0.26350826
  -0.33620674]
 [-1.24674653 -0.09144948 -0.33506155 ...  0.07500619  0.46359185
   1.16917079]
 ...
 [ 0.12436363  0.77277675  0.92180296 ... -1.05330461 -0.09217646
  -1.50174012]
 [-0.87933323  0.11129515  0.04215439 ... -0.68081303 -0.50243456
   0.12027388]
 [-0.37374707 -0.57782983 -0.36589202 ...  0.26946842  0.05428255
  -1.16762129]]",0.686192590324556,0.6949941792782305,0.9,0.001,1.0,0.6949941792782305,"(array([0.        , 0.28782609, 1.        ]), array([0.        , 0.66021127, 1.        ]), array([2, 1, 0]))",constant,[0.66021127 0.71217391],"(0.6949941792782305, 0.6949941792782305, None)",auto,0.5,"              precision    recall  f1-score   support

           0       0.81      0.71      0.76      1150
           1       0.53      0.66      0.59       568

    accuracy                           0.69      1718
   macro avg       0.67      0.69      0.67      1718
weighted avg       0.72      0.69      0.70      1718
",0.6949941792782305,0.6949941792782305,logistic,"[[819 331]
 [193 375]]","(1,)",0.6949941792782305,False,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.66      0.76      0.69      0.48      1150
          1       0.53      0.66      0.71      0.59      0.69      0.46       568

avg / total       0.72      0.69      0.68      0.70      0.69      0.47      1718
",0.35081732669126187,[0 1 1 ... 1 1 1],0.4630187196019233,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.66      0.76      0.69      0.47      1150
          1       0.53      0.66      0.71      0.59      0.69      0.47       568

avg / total       0.72      0.69      0.68      0.70      0.69      0.47      1718
",1000,0.3050058207217695,0.3050058207217695,0.6949941792782305,10.534681896206399
108,HOS,0,4,0.7371050214329455,0.5547891337046118,0.6830985915492958,0.6791304347826087,0.6811116233615903,0.3432390592135467,0.680442374854482,388,781,369,180,1150,568,0.8126951092611863,0.512549537648613,0.6791304347826087,0.6830985915492958,0.739933680720038,0.5856603773584906,2.143033816425121,2.1288980495438756,0.31690140845070425,0.6830985915492958,0.680442374854482,adam,[0.67913043 0.68309859],0.0001,0.3432390592135467,"(array([0.67913043, 0.68309859]), array([0.68309859, 0.67913043]), array([1150,  568]))",,"[[-9.86732606e-01 -6.92925767e-01 -3.11747823e-01 ...  3.83530598e-01
  -4.72337222e-01 -8.05025578e-01]
 [-3.00784280e-01 -6.85665905e-01 -4.42005508e-01 ... -8.97370560e-01
  -7.58987840e-01 -6.27829239e-01]
 [-1.26111194e+00 -6.85776505e-02 -3.37799360e-01 ...  9.07531906e-02
   4.69514810e-01  1.19729305e+00]
 ...
 [-9.42017651e-01 -5.78006341e-01 -4.16532161e-01 ...  3.99520115e-01
  -7.75667370e-01  8.86299202e-04]
 [-8.77336938e-01 -5.33920661e-01 -2.44887846e-01 ... -1.54424142e-01
  -4.80544953e-01  8.98844369e-01]
 [-8.87916621e-01 -1.42134916e-01 -5.85193976e-02 ... -1.47897208e-01
   7.93346466e-01  4.74659646e-01]]",0.6811145131659523,0.680442374854482,0.9,0.001,1.0,0.680442374854482,"(array([0.        , 0.32086957, 1.        ]), array([0.        , 0.68309859, 1.        ]), array([2, 1, 0]))",constant,[0.68309859 0.67913043],"(0.680442374854482, 0.680442374854482, None)",auto,0.5,"              precision    recall  f1-score   support

           0       0.81      0.68      0.74      1150
           1       0.51      0.68      0.59       568

    accuracy                           0.68      1718
   macro avg       0.66      0.68      0.66      1718
weighted avg       0.71      0.68      0.69      1718
",0.680442374854482,0.680442374854482,logistic,"[[781 369]
 [180 388]]","(1,)",0.680442374854482,False,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.68      0.68      0.74      0.68      0.46      1150
          1       0.51      0.68      0.68      0.59      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
",0.33409818426741644,[0 1 1 ... 1 1 1],0.4548948591179998,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.68      0.68      0.74      0.68      0.46      1150
          1       0.51      0.68      0.68      0.59      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
",1000,0.31955762514551805,0.319557625145518,0.680442374854482,11.037301101430563
72,HOS,0,5,0.7352434170238824,0.566033101707955,0.6566901408450704,0.7104347826086956,0.6830340529230892,0.35103009389592305,0.6926658905704307,373,817,333,195,1150,568,0.8073122529644269,0.5283286118980169,0.7104347826086956,0.6566901408450704,0.7557816836262718,0.5855572998430141,2.06936900780379,2.267848834750243,0.3433098591549296,0.6566901408450704,0.6926658905704307,adam,[0.71043478 0.65669014],0.0001,0.35103009389592305,"(array([0.71043478, 0.65669014]), array([0.65669014, 0.71043478]), array([1150,  568]))",,"[[-0.98619416 -0.6964425  -0.32006327 ...  0.36854632 -0.49050018
  -0.81149615]
 [-1.67273509  0.11811274 -0.45272485 ...  1.88784595 -0.26918558
  -0.3377392 ]
 [-0.29965323 -0.68935941 -0.45272485 ... -0.92841678 -0.7809756
  -0.63603062]
 ...
 [ 0.64966865 -0.37404029 -0.0578295  ... -0.86532771 -0.80488381
   0.27744779]
 [-0.53517733 -0.47769982 -0.1498399  ... -0.85674569 -0.49352706
  -0.67521146]
 [-1.38756443  0.63300046  1.21403912 ... -0.31840166  1.42688533
   0.99310143]]",0.6835624617268831,0.6926658905704307,0.9,0.001,1.0,0.6926658905704307,"(array([0.        , 0.28956522, 1.        ]), array([0.        , 0.65669014, 1.        ]), array([2, 1, 0]))",constant,[0.65669014 0.71043478],"(0.6926658905704307, 0.6926658905704307, None)",auto,0.5,"              precision    recall  f1-score   support

           0       0.81      0.71      0.76      1150
           1       0.53      0.66      0.59       568

    accuracy                           0.69      1718
   macro avg       0.67      0.68      0.67      1718
weighted avg       0.72      0.69      0.70      1718
",0.6926658905704307,0.6926658905704307,logistic,"[[817 333]
 [195 373]]","(1,)",0.6926658905704307,False,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.66      0.76      0.68      0.47      1150
          1       0.53      0.66      0.71      0.59      0.68      0.46       568

avg / total       0.72      0.69      0.67      0.70      0.68      0.47      1718
",0.345861733765241,[0 1 1 ... 1 1 1],0.4604522650650279,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.66      0.76      0.68      0.47      1150
          1       0.53      0.66      0.71      0.59      0.68      0.46       568

avg / total       0.72      0.69      0.67      0.70      0.68      0.47      1718
",1000,0.3073341094295693,0.3073341094295693,0.6926658905704307,10.615099070114724
0,HOS,0,6,0.7348729332516839,0.5679838422197654,0.6443661971830986,0.7156521739130435,0.6790744214076726,0.34523848380498623,0.6920838183934808,366,823,327,202,1150,568,0.8029268292682927,0.5281385281385281,0.7156521739130435,0.6443661971830986,0.7567816091954023,0.5804916732751785,2.0123288850624195,2.2661196537020287,0.3556338028169014,0.6443661971830986,0.6920838183934808,adam,[0.71565217 0.6443662 ],0.0001,0.34523848380498623,"(array([0.71565217, 0.6443662 ]), array([0.6443662 , 0.71565217]), array([1150,  568]))",,"[[-0.96177887 -0.72297924 -0.32014378 ...  0.35393976 -0.4944104
  -0.80926021]
 [-1.63914567  0.114427   -0.45563174 ...  1.84639239 -0.27761042
  -0.3361933 ]
 [-0.28441208 -0.71569745 -0.45563174 ... -0.92010517 -0.77896036
  -0.63405024]
 ...
 [ 0.0731455  -0.00295127 -0.26666769 ...  0.53739516 -0.70470505
  -0.98725992]
 [-0.04871534 -0.6830779  -0.38770353 ...  2.34746201  1.21199297
  -0.37239442]
 [-0.49198471  1.24026018  0.23056887 ... -0.2201981   0.87512703
   1.47440876]]",0.680009185548071,0.6920838183934808,0.9,0.001,1.0,0.6920838183934808,"(array([0.        , 0.28434783, 1.        ]), array([0.       , 0.6443662, 1.       ]), array([2, 1, 0]))",constant,[0.6443662  0.71565217],"(0.6920838183934808, 0.6920838183934808, None)",auto,0.5,"              precision    recall  f1-score   support

           0       0.80      0.72      0.76      1150
           1       0.53      0.64      0.58       568

    accuracy                           0.69      1718
   macro avg       0.67      0.68      0.67      1718
weighted avg       0.71      0.69      0.70      1718
",0.6920838183934808,0.6920838183934808,logistic,"[[823 327]
 [202 366]]","(1,)",0.6920838183934808,False,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.72      0.64      0.76      0.68      0.47      1150
          1       0.53      0.64      0.72      0.58      0.68      0.45       568

avg / total       0.71      0.69      0.67      0.70      0.68      0.46      1718
",0.3410274444404162,[0 1 1 ... 1 1 1],0.45789319470639056,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.72      0.64      0.76      0.68      0.46      1150
          1       0.53      0.64      0.72      0.58      0.68      0.46       568

avg / total       0.71      0.69      0.67      0.70      0.68      0.46      1718
",1000,0.30791618160651923,0.30791618160651923,0.6920838183934808,10.635200338339596
36,HOS,0,7,0.7377066748315984,0.5614150670965231,0.6637323943661971,0.7017391304347826,0.68247123988043,0.3484537272598004,0.689173457508731,377,807,343,191,1150,568,0.8086172344689379,0.5236111111111111,0.7017391304347826,0.6637323943661971,0.7513966480446927,0.5854037267080745,2.0868472569997722,2.2253418470003696,0.33626760563380287,0.6637323943661971,0.689173457508731,adam,[0.70173913 0.66373239],0.0001,0.3484537272598004,"(array([0.70173913, 0.66373239]), array([0.66373239, 0.70173913]), array([1150,  568]))",,"[[-0.97975135 -0.68957106 -0.30926347 ...  0.37456762 -0.49371864
  -0.82191278]
 [-1.66892235  0.11128231 -0.44281866 ...  1.89813639 -0.27492129
  -0.34692263]
 [-0.29058035 -0.68260712 -0.44281866 ... -0.92603986 -0.78089017
  -0.6459905 ]
 ...
 [ 1.16864997 -0.07222682  0.2485751  ...  0.6695521  -0.87001175
   0.11461869]
 [ 1.22559584 -0.54594469 -0.05270358 ...  1.57958952 -0.86293918
  -0.20028676]
 [-0.66396245  0.56124942  0.0468837  ...  0.16831117 -0.08229125
   0.71956149]]",0.6827357624004898,0.689173457508731,0.9,0.001,1.0,0.689173457508731,"(array([0.        , 0.29826087, 1.        ]), array([0.        , 0.66373239, 1.        ]), array([2, 1, 0]))",constant,[0.66373239 0.70173913],"(0.689173457508731, 0.689173457508731, None)",auto,0.5,"              precision    recall  f1-score   support

           0       0.81      0.70      0.75      1150
           1       0.52      0.66      0.59       568

    accuracy                           0.69      1718
   macro avg       0.67      0.68      0.67      1718
weighted avg       0.71      0.69      0.70      1718
",0.689173457508731,0.689173457508731,logistic,"[[807 343]
 [191 377]]","(1,)",0.689173457508731,False,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.70      0.66      0.75      0.68      0.47      1150
          1       0.52      0.66      0.70      0.59      0.68      0.46       568

avg / total       0.71      0.69      0.68      0.70      0.68      0.47      1718
",0.34229286869544273,[0 1 1 ... 1 1 1],0.45871344229196154,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.70      0.66      0.75      0.68      0.47      1150
          1       0.52      0.66      0.70      0.59      0.68      0.46       568

avg / total       0.71      0.69      0.68      0.70      0.68      0.47      1718
",1000,0.3108265424912689,0.31082654249126895,0.689173457508731,10.735728088941128
324,HOS,0,8,0.7340278628291488,0.5647135098856808,0.653169014084507,0.7121739130434782,0.6820336741241697,0.3496297518964476,0.6926658905704307,371,819,331,197,1150,568,0.8061023622047244,0.5284900284900285,0.7121739130434782,0.653169014084507,0.7562326869806094,0.584251968503937,2.053374531008607,2.2693183268797066,0.346830985915493,0.653169014084507,0.6926658905704307,adam,[0.71217391 0.65316901],0.0001,0.3496297518964476,"(array([0.71217391, 0.65316901]), array([0.65316901, 0.71217391]), array([1150,  568]))",,"[[-1.64971635  0.13087864 -0.46276938 ...  1.88186628 -0.27368338
  -0.34615847]
 [-0.27152805 -0.70000038 -0.46276938 ... -0.91802313 -0.77541948
  -0.64847956]
 [-1.23625986 -0.08048532 -0.35118894 ...  0.07667442  0.44501967
   1.18323055]
 ...
 [ 0.05602606 -0.30547787 -0.25874685 ... -0.08671198 -0.93735483
  -0.4250278 ]
 [ 0.57269933 -0.17765188  0.4387048  ...  0.04760974 -0.86870743
   0.89878292]
 [-0.76316451 -0.12223036 -0.02324413 ...  0.2798347   2.20868155
   0.27917792]]",0.6826714635639927,0.6926658905704307,0.9,0.001,1.0,0.6926658905704307,"(array([0.        , 0.28782609, 1.        ]), array([0.        , 0.65316901, 1.        ]), array([2, 1, 0]))",constant,[0.65316901 0.71217391],"(0.6926658905704307, 0.6926658905704307, None)",auto,0.5,"              precision    recall  f1-score   support

           0       0.81      0.71      0.76      1150
           1       0.53      0.65      0.58       568

    accuracy                           0.69      1718
   macro avg       0.67      0.68      0.67      1718
weighted avg       0.71      0.69      0.70      1718
",0.6926658905704307,0.6926658905704307,logistic,"[[819 331]
 [197 371]]","(1,)",0.6926658905704307,False,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.65      0.76      0.68      0.47      1150
          1       0.53      0.65      0.71      0.58      0.68      0.46       568

avg / total       0.71      0.69      0.67      0.70      0.68      0.47      1718
",0.3447617286483269,[1 1 1 ... 1 1 1],0.45986152972146344,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.65      0.76      0.68      0.47      1150
          1       0.53      0.65      0.71      0.58      0.68      0.46       568

avg / total       0.71      0.69      0.67      0.70      0.68      0.47      1718
",1000,0.3073341094295693,0.3073341094295693,0.6926658905704307,10.615098139267891
288,HOS,0,9,0.7353857930189834,0.5641159540055,0.6654929577464789,0.7052173913043478,0.6850673015064918,0.3536561231340346,0.6920838183934808,378,811,339,190,1150,568,0.8101898101898102,0.5271966527196653,0.7052173913043478,0.6654929577464789,0.7540678754067875,0.5883268482490273,2.108228832951945,2.2575719805559014,0.3345070422535211,0.6654929577464789,0.6920838183934808,adam,[0.70521739 0.66549296],0.0001,0.3536561231340346,"(array([0.70521739, 0.66549296]), array([0.66549296, 0.70521739]), array([1150,  568]))",,"[[-9.75148611e-01 -7.24541036e-01 -3.23759117e-01 ...  3.70676432e-01
  -4.82956563e-01 -8.21968143e-01]
 [-1.65838156e+00  1.24930833e-01 -4.59019920e-01 ...  1.89573289e+00
  -2.63312712e-01 -3.48406545e-01]
 [-2.91915661e-01 -7.17154324e-01 -4.59019920e-01 ... -9.31201033e-01
  -7.71239116e-01 -6.46574958e-01]
 ...
 [-9.24853005e-01 -1.90358922e-01 -2.65871901e-01 ... -3.59513085e-01
  -7.46699657e-01  2.14726156e-01]
 [ 8.69676182e-01 -7.94730339e-01 -1.97540994e-01 ... -1.07062269e+00
  -9.11972524e-01 -2.86276299e-02]
 [-5.89721895e-01  3.42266120e+00 -1.02403742e-05 ...  1.97981358e-01
  -1.58416031e-01  9.74610318e-03]]",0.6853551745254134,0.6920838183934808,0.9,0.001,1.0,0.6920838183934808,"(array([0.        , 0.29478261, 1.        ]), array([0.        , 0.66549296, 1.        ]), array([2, 1, 0]))",constant,[0.66549296 0.70521739],"(0.6920838183934808, 0.6920838183934808, None)",auto,0.5,"              precision    recall  f1-score   support

           0       0.81      0.71      0.75      1150
           1       0.53      0.67      0.59       568

    accuracy                           0.69      1718
   macro avg       0.67      0.69      0.67      1718
weighted avg       0.72      0.69      0.70      1718
",0.6920838183934808,0.6920838183934808,logistic,"[[811 339]
 [190 378]]","(1,)",0.6920838183934808,False,,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.67      0.75      0.69      0.47      1150
          1       0.53      0.67      0.71      0.59      0.69      0.46       568

avg / total       0.72      0.69      0.68      0.70      0.69      0.47      1718
",0.3476345865892193,[0 1 1 ... 1 1 1],0.4614393733529423,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.67      0.75      0.69      0.47      1150
          1       0.53      0.67      0.71      0.59      0.69      0.47       568

avg / total       0.72      0.69      0.68      0.70      0.69      0.47      1718
",1000,0.30791618160651923,0.30791618160651923,0.6920838183934808,10.635205923420598
