,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,imb_sens_spec_supp,hidden_layer_sizes,max_iter,imb_spec_micro,cohen_kappa_score,bal_report,imb_report_0.1,accuracy,imb_report_0.3,fbeta_score,roc_auc_score,learning_rate,y,f1_score,learning_rate_init,prec_score,imb_sens_micro,warm_start,power_t,alpha,hinge_loss,zero_one_loss,activation,roc_curve,hamming_loss,tol,X,rec_score,log_loss,imb_sens_spec_supp_micro,imb_spec,pr_curve,avg_prec_score,solver,matthews_corrcoef,batch_size,confusion_matrix,momentum,imb_sens
144,HOS,0,0,0.7384552969993876,0.5617548797959032,0.6672535211267606,0.7104347826086956,0.6885057082018833,0.3606763256037578,0.6961583236321304,379,817,333,189,1150,568,0.8121272365805169,0.5323033707865169,0.7104347826086956,0.6672535211267606,0.7578849721706864,0.5921875000000001,2.1350632620197842,2.304328976864188,0.3327464788732394,0.6672535211267606,"(array([0.71043478, 0.66725352]), array([0.66725352, 0.71043478]), array([1150,  568]))","(1,)",1000,0.6961583236321304,0.354919551606666,"              precision    recall  f1-score   support

           0       0.81      0.71      0.76      1150
           1       0.53      0.67      0.59       568

    accuracy                           0.70      1718
   macro avg       0.67      0.69      0.68      1718
weighted avg       0.72      0.70      0.70      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.67      0.76      0.69      0.48      1150
          1       0.53      0.67      0.71      0.59      0.69      0.47       568

avg / total       0.72      0.70      0.68      0.70      0.69      0.47      1718
",0.6961583236321304,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.71      0.67      0.76      0.69      0.48      1150
          1       0.53      0.67      0.71      0.59      0.69      0.47       568

avg / total       0.72      0.70      0.68      0.70      0.69      0.48      1718
",0.6961583236321304,0.6888441518677281,constant,[0 1 1 ... 1 1 1],0.6961583236321304,0.001,0.6961583236321304,0.6961583236321304,False,0.5,1.0,,0.30384167636786963,logistic,"(array([0.        , 0.28956522, 1.        ]), array([0.        , 0.66725352, 1.        ]), array([2, 1, 0]))",0.30384167636786963,0.0001,"[[-0.97151186 -0.69386534 -0.31773625 ...  0.50579738 -0.49233673
  -0.83123681]
 [-1.65881273  0.10844897 -0.45279834 ... -0.2218864  -0.27563238
  -0.34539684]
 [-1.24643221 -0.09387377 -0.34474867 ... -0.14103264  0.44220079
   1.20209343]
 ...
 [ 0.9039149   0.10230157  0.17018548 ...  1.19503996  0.16071668
   0.25784651]
 [-0.06732161 -0.60011936 -0.23189985 ... -0.2218864  -0.65626484
  -0.4820219 ]
 [-0.23226059 -0.61805565 -0.17436243 ... -0.14238484 -0.78849314
   0.34409564]]",0.6961583236321304,10.494474705522487,"(0.6961583236321304, 0.6961583236321304, None)",[0.66725352 0.71043478],,0.46519293990848604,adam,0.3606763256037578,auto,"[[817 333]
 [189 379]]",0.9,[0.71043478 0.66725352]
180,HOS,0,1,0.7378796693202695,0.55610242638844,0.6672535211267606,0.7043478260869566,0.6855498282798275,0.3543669237958011,0.6920838183934808,379,810,340,189,1150,568,0.8108108108108109,0.5271210013908206,0.7043478260869566,0.6672535211267606,0.7538389948813402,0.588966588966589,2.1167701863354043,2.2568869096934554,0.3327464788732394,0.6672535211267606,"(array([0.70434783, 0.66725352]), array([0.66725352, 0.70434783]), array([1150,  568]))","(1,)",1000,0.6920838183934808,0.34817920621509846,"              precision    recall  f1-score   support

           0       0.81      0.70      0.75      1150
           1       0.53      0.67      0.59       568

    accuracy                           0.69      1718
   macro avg       0.67      0.69      0.67      1718
weighted avg       0.72      0.69      0.70      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.70      0.67      0.75      0.69      0.47      1150
          1       0.53      0.67      0.70      0.59      0.69      0.47       568

avg / total       0.72      0.69      0.68      0.70      0.69      0.47      1718
",0.6920838183934808,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.70      0.67      0.75      0.69      0.48      1150
          1       0.53      0.67      0.70      0.59      0.69      0.46       568

avg / total       0.72      0.69      0.68      0.70      0.69      0.47      1718
",0.6920838183934808,0.6858006736068585,constant,[0 1 1 ... 1 1 1],0.6920838183934808,0.001,0.6920838183934808,0.6920838183934808,False,0.5,1.0,,0.30791618160651923,logistic,"(array([0.        , 0.29565217, 1.        ]), array([0.        , 0.66725352, 1.        ]), array([2, 1, 0]))",0.30791618160651923,0.0001,"[[-0.97750414 -0.70570836 -0.31759493 ...  0.51072431 -0.48414053
  -0.81523494]
 [-1.66381653  0.12155766 -0.44916561 ... -0.2215122  -0.26615238
  -0.3377637 ]
 [-0.29119175 -0.69851475 -0.44916561 ...  0.59208393 -0.77024999
  -0.63839374]
 ...
 [-0.47419209 -0.20575066 -0.12755048 ...  0.11295332  0.11457835
   0.22814074]
 [ 0.04020882  0.06893741  1.54179398 ...  0.91168214  0.25021382
   0.43153939]
 [-1.41841759  0.75644292  0.29879749 ...  0.16554213  0.09694295
  -0.16604316]]",0.6920838183934808,10.635206388844015,"(0.6920838183934808, 0.6920838183934808, None)",[0.66725352 0.70434783],,0.4617349856814281,adam,0.3543669237958011,auto,"[[810 340]
 [189 379]]",0.9,[0.70434783 0.66725352]
252,HOS,0,2,0.7339007960808328,0.5542917331538668,0.6373239436619719,0.7095652173913043,0.67247520596167,0.3324174015404293,0.6856810244470314,362,816,334,206,1150,568,0.7984344422700587,0.5201149425287356,0.7095652173913043,0.6373239436619719,0.7513812154696132,0.5727848101265823,1.9564710848459266,2.1943788479379265,0.36267605633802813,0.6373239436619719,"(array([0.70956522, 0.63732394]), array([0.63732394, 0.70956522]), array([1150,  568]))","(1,)",1000,0.6856810244470314,0.3281753296410447,"              precision    recall  f1-score   support

           0       0.80      0.71      0.75      1150
           1       0.52      0.64      0.57       568

    accuracy                           0.69      1718
   macro avg       0.66      0.67      0.66      1718
weighted avg       0.71      0.69      0.69      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.71      0.64      0.75      0.67      0.46      1150
          1       0.52      0.64      0.71      0.57      0.67      0.45       568

avg / total       0.71      0.69      0.66      0.69      0.67      0.45      1718
",0.6856810244470314,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.71      0.64      0.75      0.67      0.46      1150
          1       0.52      0.64      0.71      0.57      0.67      0.44       568

avg / total       0.71      0.69      0.66      0.69      0.67      0.46      1718
",0.6856810244470314,0.6734445805266381,constant,[1 1 0 ... 1 1 1],0.6856810244470314,0.001,0.6856810244470314,0.6856810244470314,False,0.5,1.0,,0.3143189755529686,logistic,"(array([0.        , 0.29043478, 1.        ]), array([0.        , 0.63732394, 1.        ]), array([2, 1, 0]))",0.31431897555296856,0.0001,"[[-0.28273341 -0.70841118 -0.46223405 ...  0.58936985 -0.7768771
  -0.63995911]
 [-1.24237598 -0.09032555 -0.35211371 ... -0.13610997  0.45504209
   1.17148033]
 [ 1.08818455 -0.77385554 -0.13187304 ...  0.26693437  0.05809035
  -0.56961195]
 ...
 [-0.74221405 -0.20331602  1.20682329 ...  0.0295318  -0.89194534
   0.41968164]
 [ 0.14970125 -0.21213654 -0.12337485 ...  0.07163294 -0.87526744
  -0.12369252]
 [-0.32892179 -0.59275628  0.08372997 ...  0.92538452 -0.17229965
   0.49095373]]",0.6856810244470314,10.856348264722616,"(0.6856810244470314, 0.6856810244470314, None)",[0.63732394 0.70956522],,0.45138857478162164,adam,0.3324174015404293,auto,"[[816 334]
 [206 362]]",0.9,[0.70956522 0.63732394]
216,HOS,0,3,0.7353276178812003,0.550815144305821,0.676056338028169,0.6860869565217391,0.6810531810328607,0.34377079598293997,0.6827706635622818,384,789,361,184,1150,568,0.8108941418293937,0.5154362416107383,0.6860869565217391,0.676056338028169,0.7432878002826189,0.584920030464585,2.117920604914934,2.153642074050954,0.323943661971831,0.676056338028169,"(array([0.68608696, 0.67605634]), array([0.67605634, 0.68608696]), array([1150,  568]))","(1,)",1000,0.6827706635622818,0.3356742589473355,"              precision    recall  f1-score   support

           0       0.81      0.69      0.74      1150
           1       0.52      0.68      0.58       568

    accuracy                           0.68      1718
   macro avg       0.66      0.68      0.66      1718
weighted avg       0.71      0.68      0.69      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.69      0.68      0.74      0.68      0.46      1150
          1       0.52      0.68      0.69      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
",0.6827706635622818,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.69      0.68      0.74      0.68      0.47      1150
          1       0.52      0.68      0.69      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
",0.6827706635622818,0.6810716472749541,constant,[0 1 1 ... 1 1 1],0.6827706635622818,0.001,0.6827706635622818,0.6827706635622818,False,0.5,1.0,,0.3172293364377182,logistic,"(array([0.        , 0.31391304, 1.        ]), array([0.        , 0.67605634, 1.        ]), array([2, 1, 0]))",0.3172293364377183,0.0001,"[[-0.98341245 -0.70801271 -0.31051204 ...  0.52116687 -0.48374036
  -0.81062755]
 [-1.66997192  0.13519585 -0.44155747 ... -0.23318715 -0.26650585
  -0.33995506]
 [-0.29685297 -0.70068046 -0.44155747 ...  0.60498398 -0.76886065
  -0.63630441]
 ...
 [-0.98341245 -0.42066042  0.21742105 ...  0.49121488 -0.34765581
   0.50965675]
 [ 0.16630179 -0.18102046  1.2829747  ... -0.31700426  0.8197719
   1.12712385]
 [-0.71063997 -0.46327491 -0.37792271 ...  0.6004637  -0.02174056
   0.3319008 ]]",0.6827706635622818,10.956881134981737,"(0.6827706635622818, 0.6827706635622818, None)",[0.67605634 0.68608696],,0.45556521854914755,adam,0.34377079598293997,auto,"[[789 361]
 [184 384]]",0.9,[0.68608696 0.67605634]
108,HOS,0,4,0.7340416411512554,0.547400114608317,0.670774647887324,0.6895652173913044,0.6801050403364162,0.3424476427800155,0.6833527357392316,381,793,357,187,1150,568,0.8091836734693878,0.516260162601626,0.6895652173913044,0.670774647887324,0.7446009389671361,0.5834609494640124,2.0945082538944435,2.1607586696650496,0.329225352112676,0.670774647887324,"(array([0.68956522, 0.67077465]), array([0.67077465, 0.68956522]), array([1150,  568]))","(1,)",1000,0.6833527357392316,0.33497089672250124,"              precision    recall  f1-score   support

           0       0.81      0.69      0.74      1150
           1       0.52      0.67      0.58       568

    accuracy                           0.68      1718
   macro avg       0.66      0.68      0.66      1718
weighted avg       0.71      0.68      0.69      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.69      0.67      0.74      0.68      0.46      1150
          1       0.52      0.67      0.69      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
",0.6833527357392316,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.69      0.67      0.74      0.68      0.47      1150
          1       0.52      0.67      0.69      0.58      0.68      0.46       568

avg / total       0.71      0.68      0.68      0.69      0.68      0.46      1718
",0.6833527357392316,0.6801699326393141,constant,[0 1 1 ... 1 1 1],0.6833527357392316,0.001,0.6833527357392316,0.6833527357392316,False,0.5,1.0,,0.3166472642607684,logistic,"(array([0.        , 0.31043478, 1.        ]), array([0.        , 0.67077465, 1.        ]), array([2, 1, 0]))",0.31664726426076834,0.0001,"[[-0.96828744 -0.69373313 -0.30610392 ...  0.50581785 -0.48362979
  -0.80543652]
 [-1.64566853  0.1058195  -0.43283742 ... -0.20867465 -0.26522638
  -0.33623882]
 [-0.29090636 -0.6867805  -0.43283742 ...  0.58520591 -0.77028428
  -0.63165959]
 ...
 [-0.69757032 -0.54853943 -0.43283742 ... -0.06856997 -0.21550043
  -1.63956576]
 [-1.35262546  3.45910478  0.0578876  ... -0.28159023  1.7545522
   0.99929828]
 [ 0.25099851 -0.25511802  0.35065189 ...  0.10887757 -0.78128702
   0.60178209]]",0.6833527357392316,10.936775212522697,"(0.6833527357392316, 0.6833527357392316, None)",[0.67077465 0.68956522],,0.4551417258769974,adam,0.3424476427800155,auto,"[[793 357]
 [187 381]]",0.9,[0.68956522 0.67077465]
72,HOS,0,5,0.733686466625842,0.549270435558687,0.6619718309859155,0.68,0.6709253647541004,0.3246739730342665,0.6740395809080326,376,782,368,192,1150,568,0.8028747433264887,0.5053763440860215,0.68,0.6619718309859155,0.7363465160075331,0.573170731707317,2.0116666666666667,2.0686619718309864,0.3380281690140845,0.6619718309859155,"(array([0.68      , 0.66197183]), array([0.66197183, 0.68      ]), array([1150,  568]))","(1,)",1000,0.6740395809080326,0.3171080725026121,"              precision    recall  f1-score   support

           0       0.80      0.68      0.74      1150
           1       0.51      0.66      0.57       568

    accuracy                           0.67      1718
   macro avg       0.65      0.67      0.65      1718
weighted avg       0.70      0.67      0.68      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.68      0.66      0.74      0.67      0.45      1150
          1       0.51      0.66      0.68      0.57      0.67      0.45       568

avg / total       0.70      0.67      0.67      0.68      0.67      0.45      1718
",0.6740395809080326,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.68      0.66      0.74      0.67      0.45      1150
          1       0.51      0.66      0.68      0.57      0.67      0.45       568

avg / total       0.70      0.67      0.67      0.68      0.67      0.45      1718
",0.6740395809080327,0.6709859154929577,constant,[0 1 1 ... 1 1 1],0.6740395809080326,0.001,0.6740395809080326,0.6740395809080326,False,0.5,1.0,,0.3259604190919674,logistic,"(array([0.  , 0.32, 1.  ]), array([0.        , 0.66197183, 1.        ]), array([2, 1, 0]))",0.3259604190919674,0.0001,"[[-0.96124229 -0.69849156 -0.3280855  ...  0.51494088 -0.47928301
  -0.81354808]
 [-1.64135604  0.12857004 -0.47555008 ... -0.21966666 -0.25847359
  -0.33394826]
 [-0.28112855 -0.69129972 -0.47555008 ...  0.59656394 -0.76909537
  -0.63591852]
 ...
 [-1.18699959 -0.4578118  -0.46868306 ... -0.31079212 -0.51116855
   0.38277379]
 [ 1.95950473 -0.54589579  0.00598724 ... -0.09648357 -0.597727
  -0.41889242]
 [ 1.05454462  0.10956158 -0.22082208 ... -0.04913689 -0.26740466
  -0.68625527]]",0.6740395809080326,11.258445304426248,"(0.6740395809080326, 0.6740395809080326, None)",[0.66197183 0.68      ],,0.4463027618059805,adam,0.3246739730342665,auto,"[[782 368]
 [192 376]]",0.9,[0.68       0.66197183]
0,HOS,0,6,0.7336665646050216,0.5512350817909413,0.670774647887324,0.7034782608695652,0.6869318617819162,0.3566892367165984,0.6926658905704307,381,809,341,187,1150,568,0.8122489959839357,0.5277008310249307,0.7034782608695652,0.670774647887324,0.7539608574091333,0.5906976744186047,2.1367681934433858,2.262143240675726,0.329225352112676,0.670774647887324,"(array([0.70347826, 0.67077465]), array([0.67077465, 0.70347826]), array([1150,  568]))","(1,)",1000,0.6926658905704307,0.3502250671189976,"              precision    recall  f1-score   support

           0       0.81      0.70      0.75      1150
           1       0.53      0.67      0.59       568

    accuracy                           0.69      1718
   macro avg       0.67      0.69      0.67      1718
weighted avg       0.72      0.69      0.70      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.70      0.67      0.75      0.69      0.47      1150
          1       0.53      0.67      0.70      0.59      0.69      0.47       568

avg / total       0.72      0.69      0.68      0.70      0.69      0.47      1718
",0.6926658905704307,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.70      0.67      0.75      0.69      0.48      1150
          1       0.53      0.67      0.70      0.59      0.69      0.47       568

avg / total       0.72      0.69      0.68      0.70      0.69      0.47      1718
",0.6926658905704307,0.6871264543784446,constant,[0 1 1 ... 1 1 1],0.6926658905704307,0.001,0.6926658905704307,0.6926658905704307,False,0.5,1.0,,0.3073341094295693,logistic,"(array([0.        , 0.29652174, 1.        ]), array([0.        , 0.67077465, 1.        ]), array([2, 1, 0]))",0.3073341094295693,0.0001,"[[-0.97636555 -0.69502414 -0.32339098 ...  0.51208337 -0.48117703
  -0.80542735]
 [-1.65809368  0.11468173 -0.45451874 ... -0.22764019 -0.2642678
  -0.33679687]
 [-0.29463743 -0.68798321 -0.45451874 ...  0.59427488 -0.76587039
  -0.63186051]
 ...
 [-0.83607466 -0.48369465 -0.20214335 ...  0.67052069 -0.38588696
   0.16403583]
 [-0.8768489  -0.50491928  0.38552791 ...  1.10183102 -0.27564308
   0.01198271]
 [ 1.80246223  0.32222659  0.11417429 ...  0.25570854 -0.66724388
  -1.13106522]]",0.6926658905704307,10.61510279350206,"(0.6926658905704307, 0.6926658905704307, None)",[0.67077465 0.70347826],,0.46281583621023525,adam,0.3566892367165984,auto,"[[809 341]
 [187 381]]",0.9,[0.70347826 0.67077465]
36,HOS,0,7,0.7332149418248621,0.5607885486295041,0.653169014084507,0.7043478260869566,0.6782758842372204,0.341483760752098,0.6874272409778812,371,810,340,197,1150,568,0.8043694141012909,0.5218002812939522,0.7043478260869566,0.653169014084507,0.7510431154381086,0.580140734949179,2.030809975722798,2.209248135874068,0.346830985915493,0.653169014084507,"(array([0.70434783, 0.65316901]), array([0.65316901, 0.70434783]), array([1150,  568]))","(1,)",1000,0.6874272409778812,0.33610482244863016,"              precision    recall  f1-score   support

           0       0.80      0.70      0.75      1150
           1       0.52      0.65      0.58       568

    accuracy                           0.69      1718
   macro avg       0.66      0.68      0.67      1718
weighted avg       0.71      0.69      0.69      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.70      0.65      0.75      0.68      0.46      1150
          1       0.52      0.65      0.70      0.58      0.68      0.46       568

avg / total       0.71      0.69      0.67      0.69      0.68      0.46      1718
",0.6874272409778812,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.70      0.65      0.75      0.68      0.47      1150
          1       0.52      0.65      0.70      0.58      0.68      0.45       568

avg / total       0.71      0.69      0.67      0.69      0.68      0.46      1718
",0.6874272409778811,0.6787584200857317,constant,[0 1 1 ... 1 1 1],0.6874272409778812,0.001,0.6874272409778812,0.6874272409778812,False,0.5,1.0,,0.3125727590221188,logistic,"(array([0.        , 0.29565217, 1.        ]), array([0.        , 0.65316901, 1.        ]), array([2, 1, 0]))",0.31257275902211873,0.0001,"[[-0.97857493 -0.7115482  -0.3133768  ...  0.5141153  -0.48728249
  -0.79955341]
 [-1.66427957  0.12804889 -0.44447421 ... -0.2313384  -0.26800727
  -0.33341379]
 [-0.29287029 -0.70424736 -0.44447421 ...  0.59694348 -0.77508122
  -0.62690911]
 ...
 [-0.841434   -0.47198396 -0.14676245 ...  0.86618309 -0.22942112
   0.26439213]
 [-0.20548591 -0.21169711 -0.14577418 ... -0.0733823   0.18570808
   0.41377179]
 [-0.18839401  2.26724363  0.30506926 ...  0.06335796 -0.36970664
  -0.4883137 ]]",0.6874272409778812,10.796038874966998,"(0.6874272409778812, 0.6874272409778812, None)",[0.65316901 0.70434783],,0.45549199414092767,adam,0.341483760752098,auto,"[[810 340]
 [197 371]]",0.9,[0.70434783 0.65316901]
324,HOS,0,8,0.7386971830985917,0.568201501763168,0.6654929577464789,0.7182608695652174,0.691373669241543,0.367248810554633,0.7008149010477299,378,826,324,190,1150,568,0.812992125984252,0.5384615384615384,0.7182608695652174,0.6654929577464789,0.7626962142197599,0.5952755905511811,2.147221967963387,2.3620892018779345,0.3345070422535211,0.6654929577464789,"(array([0.71826087, 0.66549296]), array([0.66549296, 0.71826087]), array([1150,  568]))","(1,)",1000,0.7008149010477299,0.36213547069174246,"              precision    recall  f1-score   support

           0       0.81      0.72      0.76      1150
           1       0.54      0.67      0.60       568

    accuracy                           0.70      1718
   macro avg       0.68      0.69      0.68      1718
weighted avg       0.72      0.70      0.71      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.72      0.67      0.76      0.69      0.48      1150
          1       0.54      0.67      0.72      0.60      0.69      0.48       568

avg / total       0.72      0.70      0.68      0.71      0.69      0.48      1718
",0.7008149010477299,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.72      0.67      0.76      0.69      0.49      1150
          1       0.54      0.67      0.72      0.60      0.69      0.47       568

avg / total       0.72      0.70      0.68      0.71      0.69      0.48      1718
",0.70081490104773,0.6918769136558481,constant,[0 1 1 ... 1 1 1],0.7008149010477299,0.001,0.7008149010477299,0.7008149010477299,False,0.5,1.0,,0.2991850989522701,logistic,"(array([0.        , 0.28173913, 1.        ]), array([0.        , 0.66549296, 1.        ]), array([2, 1, 0]))",0.2991850989522701,0.0001,"[[-0.96253436 -0.71396168 -0.31940779 ...  0.51646778 -0.48274493
  -0.80111304]
 [-1.63967906  0.1306298  -0.45609837 ... -0.23672872 -0.26273764
  -0.32634899]
 [-0.28538967 -0.7066174  -0.45609837 ...  0.60015628 -0.7715045
  -0.6252745 ]
 ...
 [-0.45506727 -0.28426708  0.85134157 ...  0.55851936 -0.36601367
   0.95305787]
 [ 0.11425362 -0.42992402  0.18184598 ... -0.18897884 -0.43744635
  -0.48805401]
 [-0.79022547 -0.41021838 -0.13999757 ...  0.20218066 -0.36765581
  -0.58647896]]",0.7008149010477299,10.333638030588752,"(0.7008149010477299, 0.7008149010477299, None)",[0.66549296 0.71826087],,0.46893607548397753,adam,0.367248810554633,auto,"[[826 324]
 [190 378]]",0.9,[0.71826087 0.66549296]
288,HOS,0,9,0.7387767911818738,0.5689565948908137,0.647887323943662,0.7226086956521739,0.6842287732071102,0.355794256735274,0.6979045401629802,368,831,319,200,1150,568,0.8060135790494666,0.5356622998544396,0.7226086956521739,0.647887323943662,0.7620357634112792,0.5864541832669323,2.052208695652174,2.335643957790631,0.352112676056338,0.647887323943662,"(array([0.7226087 , 0.64788732]), array([0.64788732, 0.7226087 ]), array([1150,  568]))","(1,)",1000,0.6979045401629802,0.35184326336923855,"              precision    recall  f1-score   support

           0       0.81      0.72      0.76      1150
           1       0.54      0.65      0.59       568

    accuracy                           0.70      1718
   macro avg       0.67      0.69      0.67      1718
weighted avg       0.72      0.70      0.70      1718
","                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.72      0.65      0.76      0.68      0.47      1150
          1       0.54      0.65      0.72      0.59      0.68      0.46       568

avg / total       0.72      0.70      0.67      0.70      0.68      0.47      1718
",0.6979045401629802,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.81      0.72      0.65      0.76      0.68      0.48      1150
          1       0.54      0.65      0.72      0.59      0.68      0.46       568

avg / total       0.72      0.70      0.67      0.70      0.68      0.47      1718
",0.6979045401629801,0.685248009797918,constant,[0 1 1 ... 1 1 1],0.6979045401629802,0.001,0.6979045401629802,0.6979045401629802,False,0.5,1.0,,0.3020954598370198,logistic,"(array([0.       , 0.2773913, 1.       ]), array([0.        , 0.64788732, 1.        ]), array([2, 1, 0]))",0.3020954598370198,0.0001,"[[-0.96420259 -0.72208016 -0.33415165 ...  0.50294482 -0.48233213
  -0.81692462]
 [-1.6446505   0.11936245 -0.47743641 ... -0.22893733 -0.26391272
  -0.34827332]
 [-0.28375469 -0.71476327 -0.47743641 ...  0.58426506 -0.7690076
  -0.64335007]
 ...
 [ 0.96858248  0.5033315  -0.23494626 ...  0.58767923 -0.19612576
  -0.05975522]
 [-0.94981387 -0.36329457 -0.14673828 ...  0.65698733 -0.32064274
   2.48675278]
 [-0.1878501   4.51485426 -0.1740377  ... -0.22893733 -0.60858015
   0.38336786]]",0.6979045401629802,10.434156007298531,"(0.6979045401629802, 0.6979045401629802, None)",[0.64788732 0.7226087 ],,0.4634632493801887,adam,0.355794256735274,auto,"[[831 319]
 [200 368]]",0.9,[0.7226087  0.64788732]
