,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,fbeta_score,avg_prec_score,confusion_matrix,imb_spec_micro,matthews_corrcoef,hinge_loss,bal_report,imb_sens_spec_supp,prec_score,f1_score,imb_spec,roc_curve,hamming_loss,cohen_kappa_score,imb_sens,accuracy,X,imb_report_0.3,y,zero_one_loss,imb_report_0.1,imb_sens_micro,priors,roc_auc_score,log_loss,rec_score,imb_sens_spec_supp_micro,pr_curve
4,HOS,0,0,0.6421271439201455,0.44617126859780376,0.21286370597243492,0.8767123287671232,0.43199564277095853,0.11789941044592968,0.6478352692713834,139,1088,153,514,1241,653,0.6791510611735331,0.476027397260274,0.8767123287671232,0.21286370597243492,0.7653886739359831,0.2941798941798942,1.113799904056287,1.7265611706653048,0.787136294027565,0.21286370597243492,0.6478352692713834,0.37271227165913096,"[[1088  153]
 [ 514  139]]",0.6478352692713834,0.11789941044592968,,"              precision    recall  f1-score   support

           0       0.68      0.88      0.77      1241
           1       0.48      0.21      0.29       653

    accuracy                           0.65      1894
   macro avg       0.58      0.54      0.53      1894
weighted avg       0.61      0.65      0.60      1894
","(array([0.87671233, 0.21286371]), array([0.21286371, 0.87671233]), array([1241,  653]))",0.6478352692713834,0.6478352692713834,[0.21286371 0.87671233],"(array([0.        , 0.12328767, 1.        ]), array([0.        , 0.21286371, 1.        ]), array([2, 1, 0]))",0.3521647307286167,0.10307580239094971,[0.87671233 0.21286371],0.6478352692713834,"[[ 1.32254878e+00 -1.51943319e-01 -2.96979398e-02 -3.85889145e-01
   4.86705002e-04  8.24871731e-01]
 [ 1.12330725e+00 -5.04247540e-01 -2.21087344e-01 -3.95796538e-01
  -4.69322985e-01  7.38468809e-01]
 [-1.94752096e-01 -3.48819207e-01 -1.01468966e-01  3.64146603e+00
  -8.96957693e-01 -1.97562845e-01]
 ...
 [-7.51952019e-02  3.44380745e-01  3.81123113e-03 -5.72150342e-01
   3.20796758e-01 -1.08482148e+00]
 [-1.19873826e-01 -8.85431388e-02  5.78879580e-02 -3.84818437e-01
   3.49850906e+00 -1.36545303e-01]
 [-1.24973080e-01  1.62748044e+00 -9.11586621e-02 -5.39191672e-01
   2.85209914e-01  5.59754063e-01]]","                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.88      0.21      0.77      0.43      0.22      1241
          1       0.48      0.21      0.88      0.29      0.43      0.15       653

avg / total       0.61      0.65      0.44      0.60      0.43      0.20      1894
",[0 1 0 ... 1 1 1],0.35216473072861665,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.88      0.21      0.77      0.43      0.20      1241
          1       0.48      0.21      0.88      0.29      0.43      0.17       653

avg / total       0.61      0.65      0.44      0.60      0.43      0.19      1894
",0.6478352692713834,,0.5447880173697791,12.16340348142146,0.6478352692713834,"(0.6478352692713834, 0.6478352692713834, None)",
5,HOS,0,1,0.6352969558462586,0.443703132968857,0.25267993874425726,0.8444802578565673,0.46193421590734324,0.11794885930393396,0.6404435058078142,165,1048,193,488,1241,653,0.6822916666666666,0.46089385474860334,0.8444802578565673,0.25267993874425726,0.7547713359740726,0.3264094955489614,1.1300114925826608,1.62474509835038,0.7473200612557427,0.25267993874425726,0.6404435058078142,0.3741143860013212,"[[1048  193]
 [ 488  165]]",0.6404435058078142,0.11794885930393396,,"              precision    recall  f1-score   support

           0       0.68      0.84      0.75      1241
           1       0.46      0.25      0.33       653

    accuracy                           0.64      1894
   macro avg       0.57      0.55      0.54      1894
weighted avg       0.61      0.64      0.61      1894
","(array([0.84448026, 0.25267994]), array([0.25267994, 0.84448026]), array([1241,  653]))",0.6404435058078142,0.6404435058078142,[0.25267994 0.84448026],"(array([0.        , 0.15551974, 1.        ]), array([0.        , 0.25267994, 1.        ]), array([2, 1, 0]))",0.3595564941921858,0.10880503231565852,[0.84448026 0.25267994],0.6404435058078142,"[[ 1.39685605e+00 -1.56199836e-01 -2.23538775e-02 -3.78916106e-01
  -2.90675690e-03  7.78892619e-01]
 [-1.96224950e-01 -3.29256600e-01 -1.01216963e-01  3.78383782e+00
  -8.91399677e-01 -1.99855262e-01]
 [-7.63458337e-01 -3.32384500e-02 -1.27504658e-01 -4.32678611e-01
   1.93241407e-01 -1.65392309e-01]
 ...
 [-1.01157676e-01  6.05941013e-01 -1.52177155e-01 -4.58952302e-01
  -9.23460104e-01 -9.32396994e-01]
 [ 3.43730846e-01 -4.02122607e-01 -4.69969345e-02 -4.81000539e-01
  -8.02579781e-01 -9.93358685e-01]
 [-1.09262161e-02  8.32826727e-02 -1.95480427e-01 -5.65210098e-01
  -8.46928186e-01  2.22053574e-01]]","                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.84      0.25      0.75      0.46      0.25      1241
          1       0.46      0.25      0.84      0.33      0.46      0.18       653

avg / total       0.61      0.64      0.46      0.61      0.46      0.23      1894
",[0 0 1 ... 1 1 1],0.3595564941921858,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.84      0.25      0.75      0.46      0.23      1241
          1       0.46      0.25      0.84      0.33      0.46      0.20       653

avg / total       0.61      0.64      0.46      0.61      0.46      0.22      1894
",0.6404435058078142,,0.5485800983004123,12.418722833811088,0.6404435058078142,"(0.6404435058078142, 0.6404435058078142, None)",
7,HOS,0,2,0.6367573944344147,0.43816311488529636,0.22817764165390506,0.8686543110394843,0.4452050000903935,0.12407395744199458,0.6478352692713834,149,1078,163,504,1241,653,0.6814159292035398,0.4775641025641026,0.8686543110394843,0.22817764165390506,0.7637265320580943,0.3088082901554404,1.125458859342824,1.7372297748005905,0.7718223583460949,0.22817764165390506,0.6478352692713834,0.37507293535013053,"[[1078  163]
 [ 504  149]]",0.6478352692713834,0.12407395744199458,,"              precision    recall  f1-score   support

           0       0.68      0.87      0.76      1241
           1       0.48      0.23      0.31       653

    accuracy                           0.65      1894
   macro avg       0.58      0.55      0.54      1894
weighted avg       0.61      0.65      0.61      1894
","(array([0.86865431, 0.22817764]), array([0.22817764, 0.86865431]), array([1241,  653]))",0.6478352692713834,0.6478352692713834,[0.22817764 0.86865431],"(array([0.        , 0.13134569, 1.        ]), array([0.        , 0.22817764, 1.        ]), array([2, 1, 0]))",0.3521647307286167,0.11050260590126437,[0.86865431 0.22817764],0.6478352692713834,"[[ 1.33894054e+00 -1.48370217e-01 -3.22056916e-02 -3.82388384e-01
  -7.85200766e-03  7.76559993e-01]
 [ 1.13779158e+00 -4.77356394e-01 -2.27190855e-01 -3.92447164e-01
  -4.76315065e-01  6.93951765e-01]
 [-7.38309276e-01 -1.77433523e-02 -1.29698273e-01 -4.35196982e-01
   1.89704438e-01 -1.66550603e-01]
 ...
 [-8.66801461e-02  2.03616490e-03 -2.23642538e-01 -5.32633868e-01
   5.61025265e-01  2.37815743e+00]
 [-5.56986963e-01 -7.12045405e-02 -3.22236706e-01 -5.33270095e-01
  -6.65626459e-01 -1.45553015e-01]
 [-1.76377145e-02 -1.05837636e-01 -7.41696830e-02 -5.57017521e-01
   3.99753971e-01 -1.37577818e-01]]","                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.87      0.23      0.76      0.45      0.24      1241
          1       0.48      0.23      0.87      0.31      0.45      0.16       653

avg / total       0.61      0.65      0.45      0.61      0.45      0.21      1894
",[0 1 1 ... 1 1 1],0.35216473072861665,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.87      0.23      0.76      0.45      0.21      1241
          1       0.48      0.23      0.87      0.31      0.45      0.19       653

avg / total       0.61      0.65      0.45      0.61      0.45      0.20      1894
",0.6478352692713834,,0.5484159763466947,12.163407703160795,0.6478352692713834,"(0.6478352692713834, 0.6478352692713834, None)",
6,HOS,0,3,0.6356073067587394,0.4433536727021643,0.19295558958652373,0.895245769540693,0.4156232371831074,0.12261421651387024,0.6531151003167899,126,1111,130,527,1241,653,0.6782661782661783,0.4921875,0.895245769540693,0.19295558958652373,0.771795762417506,0.27722772277227725,1.1092893501139895,1.8419837436682769,0.8070444104134763,0.19295558958652373,0.6531151003167899,0.3732174253425422,"[[1111  130]
 [ 527  126]]",0.6531151003167899,0.12261421651387024,,"              precision    recall  f1-score   support

           0       0.68      0.90      0.77      1241
           1       0.49      0.19      0.28       653

    accuracy                           0.65      1894
   macro avg       0.59      0.54      0.52      1894
weighted avg       0.61      0.65      0.60      1894
","(array([0.89524577, 0.19295559]), array([0.19295559, 0.89524577]), array([1241,  653]))",0.6531151003167899,0.6531151003167899,[0.19295559 0.89524577],"(array([0.        , 0.10475423, 1.        ]), array([0.        , 0.19295559, 1.        ]), array([2, 1, 0]))",0.3468848996832101,0.10304257880358392,[0.89524577 0.19295559],0.6531151003167899,"[[ 1.28209659 -0.15118598 -0.02992252 -0.3807799   0.0100421   0.78691278]
 [ 1.08663737 -0.45094544 -0.22845645 -0.39094788 -0.46385854  0.70409639]
 [-0.20640049 -0.31869862 -0.10437274  3.75250708 -0.89521695 -0.19308126]
 ...
 [ 1.50548618  0.00379596  0.07796154 -0.47422166  0.50435721 -0.25420517]
 [-0.3016166   0.15730964 -0.14601022 -0.55703531  0.08182304 -0.09637832]
 [-0.20905256 -0.1736159  -0.19232569 -0.51348802 -0.5936089   0.52567211]]","                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.90      0.19      0.77      0.42      0.21      1241
          1       0.49      0.19      0.90      0.28      0.42      0.14       653

avg / total       0.61      0.65      0.44      0.60      0.42      0.18      1894
",[0 1 0 ... 1 1 1],0.3468848996832101,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.90      0.19      0.77      0.42      0.18      1241
          1       0.49      0.19      0.90      0.28      0.42      0.16       653

avg / total       0.61      0.65      0.44      0.60      0.42      0.18      1894
",0.6531151003167899,,0.5441006795636084,11.981034867540783,0.6531151003167899,"(0.6531151003167899, 0.6531151003167899, None)",
3,HOS,0,4,0.6497896647593145,0.4517812229480684,0.29402756508422667,0.8154713940370669,0.4896642404592751,0.12517282415468087,0.6356916578669483,192,1012,229,461,1241,653,0.6870332654446707,0.45605700712589076,0.8154713940370669,0.29402756508422667,0.7457627118644067,0.3575418994413408,1.1551037316837414,1.5933982893865737,0.7059724349157733,0.29402756508422667,0.6356916578669483,0.37749354253806733,"[[1012  229]
 [ 461  192]]",0.6356916578669483,0.12517282415468087,,"              precision    recall  f1-score   support

           0       0.69      0.82      0.75      1241
           1       0.46      0.29      0.36       653

    accuracy                           0.64      1894
   macro avg       0.57      0.55      0.55      1894
weighted avg       0.61      0.64      0.61      1894
","(array([0.81547139, 0.29402757]), array([0.29402757, 0.81547139]), array([1241,  653]))",0.6356916578669483,0.6356916578669483,[0.29402757 0.81547139],"(array([0.        , 0.18452861, 1.        ]), array([0.        , 0.29402757, 1.        ]), array([2, 1, 0]))",0.36430834213305174,0.11956236146948451,[0.81547139 0.29402757],0.6356916578669483,"[[ 1.31245646 -0.15138889 -0.01588389 -0.38113853 -0.02524657  0.82046501]
 [ 1.11408048 -0.47499902 -0.24269077 -0.39138069 -0.48586523  0.73412852]
 [-0.19825292 -0.33222984 -0.10093647  3.78229875 -0.905134   -0.20118351]
 ...
 [-0.72719643 -0.00797781 -0.15955021 -0.44581301 -0.52439402 -0.69154495]
 [-0.54792895 -0.04669149 -0.15389556 -0.41186501 -0.90830927 -0.86528157]
 [-0.57419879 -0.32383578  0.00524846 -0.3639612  -0.29824536 -0.20527238]]","                   pre       rec       spe        f1       geo       iba       sup

          0       0.69      0.82      0.29      0.75      0.49      0.28      1241
          1       0.46      0.29      0.82      0.36      0.49      0.20       653

avg / total       0.61      0.64      0.47      0.61      0.49      0.25      1894
",[0 1 0 ... 1 1 1],0.36430834213305174,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.69      0.82      0.29      0.75      0.49      0.25      1241
          1       0.46      0.29      0.82      0.36      0.49      0.23       653

avg / total       0.61      0.64      0.47      0.61      0.49      0.24      1894
",0.6356916578669483,,0.5547494795606468,12.58286104556488,0.6356916578669483,"(0.6356916578669483, 0.6356916578669483, None)",
2,HOS,0,5,0.6415187820917034,0.4432933784309534,0.1883614088820827,0.895245769540693,0.4106455338201175,0.1168077066765517,0.6515311510031679,123,1111,130,530,1241,653,0.6770262035344302,0.48616600790513836,0.895245769540693,0.1883614088820827,0.7709923664122138,0.271523178807947,1.1030103537925897,1.7981269878666513,0.8116385911179174,0.1883614088820827,0.6515311510031679,0.37140595960613665,"[[1111  130]
 [ 530  123]]",0.6515311510031679,0.1168077066765517,,"              precision    recall  f1-score   support

           0       0.68      0.90      0.77      1241
           1       0.49      0.19      0.27       653

    accuracy                           0.65      1894
   macro avg       0.58      0.54      0.52      1894
weighted avg       0.61      0.65      0.60      1894
","(array([0.89524577, 0.18836141]), array([0.18836141, 0.89524577]), array([1241,  653]))",0.6515311510031679,0.6515311510031679,[0.18836141 0.89524577],"(array([0.        , 0.10475423, 1.        ]), array([0.        , 0.18836141, 1.        ]), array([2, 1, 0]))",0.3484688489968321,0.09779971217123073,[0.89524577 0.18836141],0.6515311510031679,"[[ 1.30382212e+00 -1.51871441e-01 -3.84268790e-02 -3.85920853e-01
   2.45286737e-03  7.90964437e-01]
 [ 1.10402760e+00 -4.81356614e-01 -2.13875109e-01 -3.96103952e-01
  -4.66508062e-01  7.07473172e-01]
 [-2.17690002e-01 -3.35995509e-01 -1.04219965e-01  3.75350884e+00
  -8.93370203e-01 -1.97015532e-01]
 ...
 [ 9.45205939e-01  2.34063087e-02 -3.01599224e-01 -4.44463108e-01
   1.53592857e+00  3.29741616e-01]
 [-4.69077910e-01 -4.48722645e-01 -1.91944080e-01  3.80598747e+00
   1.02832788e+00  9.49707744e-01]
 [ 1.66349776e-02  1.03989004e-01  1.21359702e-01 -4.01724280e-01
  -8.70611157e-01  2.48271215e-01]]","                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.90      0.19      0.77      0.41      0.20      1241
          1       0.49      0.19      0.90      0.27      0.41      0.13       653

avg / total       0.61      0.65      0.43      0.60      0.41      0.18      1894
",[0 1 0 ... 1 1 1],0.34846884899683206,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.90      0.19      0.77      0.41      0.18      1241
          1       0.49      0.19      0.90      0.27      0.41      0.16       653

avg / total       0.61      0.65      0.43      0.60      0.41      0.17      1894
",0.6515311510031679,,0.5418035892113878,12.035742538704845,0.6515311510031679,"(0.6515311510031679, 0.6515311510031679, None)",
0,HOS,0,6,0.6290868525975076,0.43143646564907845,0.222052067381317,0.8702659145850121,0.4395956613811089,0.11921827167696852,0.646779303062302,145,1080,161,508,1241,653,0.6801007556675063,0.4738562091503268,0.8702659145850121,0.222052067381317,0.7635206786850478,0.3023983315954119,1.1186685870551436,1.7115938858398414,0.777947932618683,0.222052067381317,0.6467793030623019,0.3734361679899564,"[[1080  161]
 [ 508  145]]",0.646779303062302,0.11921827167696852,,"              precision    recall  f1-score   support

           0       0.68      0.87      0.76      1241
           1       0.47      0.22      0.30       653

    accuracy                           0.65      1894
   macro avg       0.58      0.55      0.53      1894
weighted avg       0.61      0.65      0.60      1894
","(array([0.87026591, 0.22205207]), array([0.22205207, 0.87026591]), array([1241,  653]))",0.646779303062302,0.646779303062302,[0.22205207 0.87026591],"(array([0.        , 0.12973409, 1.        ]), array([0.        , 0.22205207, 1.        ]), array([2, 1, 0]))",0.353220696937698,0.10561371063943914,[0.87026591 0.22205207],0.646779303062302,"[[ 1.31822172e+00 -1.49581446e-01 -2.33449813e-02 -3.82712204e-01
   9.05964785e-04  7.86484857e-01]
 [ 1.11811473e+00 -4.78979024e-01 -2.27698430e-01 -3.92802456e-01
  -4.71219491e-01  7.03698886e-01]
 [-2.05669941e-01 -3.33656563e-01 -9.99775247e-02  3.71897510e+00
  -9.00962077e-01 -1.93149131e-01]
 ...
 [-2.52741129e-01  3.01492358e-01 -4.82966256e-02 -5.04614431e-01
  -9.30259670e-01 -8.29477027e-01]
 [-1.48886561e-01 -2.04227826e-01 -1.04333411e-01 -4.23933524e-01
  -7.98350373e-01 -4.49073907e-01]
 [-2.92758127e-01 -1.78645938e-01 -1.72581607e-01 -4.20415019e-01
   2.57123021e+00  3.56597899e-01]]","                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.87      0.22      0.76      0.44      0.23      1241
          1       0.47      0.22      0.87      0.30      0.44      0.16       653

avg / total       0.61      0.65      0.45      0.60      0.44      0.20      1894
",[0 1 0 ... 1 1 1],0.353220696937698,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.87      0.22      0.76      0.44      0.21      1241
          1       0.47      0.22      0.87      0.30      0.44      0.18       653

avg / total       0.61      0.65      0.45      0.60      0.44      0.20      1894
",0.646779303062302,,0.5461589909831646,12.19987863958897,0.646779303062302,"(0.646779303062302, 0.646779303062302, None)",
1,HOS,0,7,0.6329141025182231,0.4412559342449241,0.20673813169984687,0.887187751813054,0.4282704032230317,0.12671790932691512,0.6525871172122492,135,1101,140,518,1241,653,0.6800494132180358,0.4909090909090909,0.887187751813054,0.20673813169984687,0.76993006993007,0.290948275862069,1.1184046369380778,1.832585867425071,0.7932618683001531,0.20673813169984687,0.6525871172122492,0.37498487644107487,"[[1101  140]
 [ 518  135]]",0.6525871172122492,0.12671790932691512,,"              precision    recall  f1-score   support

           0       0.68      0.89      0.77      1241
           1       0.49      0.21      0.29       653

    accuracy                           0.65      1894
   macro avg       0.59      0.55      0.53      1894
weighted avg       0.61      0.65      0.60      1894
","(array([0.88718775, 0.20673813]), array([0.20673813, 0.88718775]), array([1241,  653]))",0.6525871172122492,0.6525871172122492,[0.20673813 0.88718775],"(array([0.        , 0.11281225, 1.        ]), array([0.        , 0.20673813, 1.        ]), array([2, 1, 0]))",0.3474128827877508,0.10885374284402649,[0.88718775 0.20673813],0.6525871172122492,"[[ 1.33561626e+00 -1.48138894e-01 -3.39421113e-02 -3.81201191e-01
  -2.68577559e-03  7.82881613e-01]
 [ 1.13449562e+00 -4.71356920e-01 -2.13813984e-01 -3.91278571e-01
  -4.69231794e-01  7.00267923e-01]
 [-1.95994794e-01 -3.28760732e-01 -1.01394063e-01  3.71525364e+00
  -8.93895810e-01 -1.94713714e-01]
 ...
 [-4.13994210e-02 -2.77574918e-01 -1.83630574e-01  2.06462403e-01
   3.22171734e+00  1.81362094e+00]
 [-7.53753151e-01  9.61733527e-02 -1.62155204e-01 -1.57729204e-01
   5.22787149e-02 -2.46983911e-01]
 [-3.43557998e-01 -2.92055883e-01 -6.69642236e-02 -1.27097387e-01
   1.30518198e+00  1.26149422e+00]]","                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.89      0.21      0.77      0.43      0.22      1241
          1       0.49      0.21      0.89      0.29      0.43      0.15       653

avg / total       0.61      0.65      0.44      0.60      0.43      0.20      1894
",[0 1 0 ... 1 1 1],0.34741288278775084,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.89      0.21      0.77      0.43      0.20      1241
          1       0.49      0.21      0.89      0.29      0.43      0.17       653

avg / total       0.61      0.65      0.44      0.60      0.43      0.19      1894
",0.6525871172122492,,0.5469629417564504,11.99927497966814,0.6525871172122492,"(0.6525871172122492, 0.6525871172122492, None)",
9,HOS,0,8,0.6377698911488906,0.4427308323630337,0.22817764165390506,0.8694601128122482,0.445411448049595,0.125267846692488,0.648363252375924,149,1079,162,504,1241,653,0.6816171825647505,0.4790996784565916,0.8694601128122482,0.22817764165390506,0.7641643059490085,0.30912863070539415,1.1265028842587264,1.7479534153857792,0.7718223583460949,0.22817764165390506,0.648363252375924,0.37542331943585927,"[[1079  162]
 [ 504  149]]",0.648363252375924,0.125267846692488,,"              precision    recall  f1-score   support

           0       0.68      0.87      0.76      1241
           1       0.48      0.23      0.31       653

    accuracy                           0.65      1894
   macro avg       0.58      0.55      0.54      1894
weighted avg       0.61      0.65      0.61      1894
","(array([0.86946011, 0.22817764]), array([0.22817764, 0.86946011]), array([1241,  653]))",0.648363252375924,0.648363252375924,[0.22817764 0.86946011],"(array([0.        , 0.13053989, 1.        ]), array([0.        , 0.22817764, 1.        ]), array([2, 1, 0]))",0.35163674762407604,0.11146831965625326,[0.86946011 0.22817764],0.648363252375924,"[[ 1.31202907e+00 -1.49212383e-01 -3.24619890e-02 -3.81885574e-01
   2.74409671e-03  7.86316572e-01]
 [ 1.11308880e+00 -4.47813377e-01 -2.25316637e-01 -3.92052944e-01
  -4.67042392e-01  7.02897597e-01]
 [-2.02977558e-01 -3.16077644e-01 -1.04782482e-01  3.75115008e+00
  -8.94655981e-01 -2.00807962e-01]
 ...
 [ 2.90782132e-01  3.50305373e-01  5.98492898e-01 -2.04060613e-01
   1.71903108e+00 -1.25744831e+00]
 [ 4.61750436e-01  1.62255622e+00  1.38144513e-02 -5.10793182e-01
   8.92770040e-01 -1.58352222e-01]
 [ 8.63628028e-01  2.62145542e-01 -1.65957561e-01 -5.29259838e-01
  -8.62529815e-01 -1.68196408e-01]]","                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.87      0.23      0.76      0.45      0.24      1241
          1       0.48      0.23      0.87      0.31      0.45      0.16       653

avg / total       0.61      0.65      0.45      0.61      0.45      0.21      1894
",[0 1 0 ... 1 1 1],0.35163674762407604,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.68      0.87      0.23      0.76      0.45      0.21      1241
          1       0.48      0.23      0.87      0.31      0.45      0.19       653

avg / total       0.61      0.65      0.45      0.61      0.45      0.20      1894
",0.648363252375924,,0.5488188772330767,12.145171390598843,0.648363252375924,"(0.648363252375924, 0.648363252375924, None)",
8,HOS,0,9,0.6509928144200263,0.45186663296390683,0.28637059724349156,0.8267526188557615,0.48657747711371224,0.13149122970781854,0.6404435058078142,187,1026,215,466,1241,653,0.6876675603217158,0.4651741293532338,0.8267526188557615,0.28637059724349156,0.7508232711306257,0.35450236966824644,1.1585181547485242,1.6529577264147581,0.7136294027565084,0.28637059724349156,0.6404435058078142,0.3792523199610519,"[[1026  215]
 [ 466  187]]",0.6404435058078142,0.13149122970781854,,"              precision    recall  f1-score   support

           0       0.69      0.83      0.75      1241
           1       0.47      0.29      0.35       653

    accuracy                           0.64      1894
   macro avg       0.58      0.56      0.55      1894
weighted avg       0.61      0.64      0.61      1894
","(array([0.82675262, 0.2863706 ]), array([0.2863706 , 0.82675262]), array([1241,  653]))",0.6404435058078142,0.6404435058078142,[0.2863706  0.82675262],"(array([0.        , 0.17324738, 1.        ]), array([0.       , 0.2863706, 1.       ]), array([2, 1, 0]))",0.3595564941921858,0.12445643983876808,[0.82675262 0.2863706 ],0.6404435058078142,"[[ 1.13054819 -0.46445874 -0.23767712 -0.39059729 -0.47895696  0.74066134]
 [-0.20028164 -0.32327438 -0.1025177   3.75051402 -0.9045761  -0.19872482]
 [-0.74576713 -0.01737494 -0.12954959 -0.43378679  0.1858289  -0.16259459]
 ...
 [-0.59258836 -0.21205757 -0.28574898 -0.4018858   1.4440035  -0.43854961]
 [-0.66649504 -0.17871242 -0.21843319  1.55700788 -0.04708005  1.22177212]
 [-0.24001895 -0.29503751 -0.06108752 -0.1721092  -0.92028421 -0.49206564]]","                   pre       rec       spe        f1       geo       iba       sup

          0       0.69      0.83      0.29      0.75      0.49      0.28      1241
          1       0.47      0.29      0.83      0.35      0.49      0.20       653

avg / total       0.61      0.64      0.47      0.61      0.49      0.25      1894
",[1 0 1 ... 1 1 1],0.3595564941921858,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.69      0.83      0.29      0.75      0.49      0.25      1241
          1       0.47      0.29      0.83      0.35      0.49      0.22       653

avg / total       0.61      0.64      0.47      0.61      0.49      0.24      1894
",0.6404435058078142,,0.5565616080496265,12.418732121637628,0.6404435058078142,"(0.6404435058078142, 0.6404435058078142, None)",
