,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,max_iter,gamma,zero_one_loss,imb_spec,imb_sens_spec_supp,f1_score,pr_curve,hamming_loss,prec_score,log_loss,cohen_kappa_score,imb_sens_spec_supp_micro,imb_report_0.3,avg_prec_score,roc_curve,imb_spec_micro,y,confusion_matrix,hinge_loss,matthews_corrcoef,kernel,accuracy,rec_score,probability,C,imb_sens_micro,imb_sens,roc_auc_score,fbeta_score,imb_report_0.1,X,bal_report
36,HOS,0,0,0.8314689222290262,0.7184193165702809,0.670774647887324,0.8121739130434783,0.7380959765132237,0.4771269989740147,0.7654249126891735,381,934,216,187,1150,568,0.8331846565566459,0.6381909547738693,0.8121739130434783,0.670774647887324,0.8225451343020695,0.6540772532188842,2.466923971169496,3.571253912363068,0.329225352112676,0.670774647887324,-1,0.1,0.23457508731082655,[0.67077465 0.81217391],"(array([0.81217391, 0.67077465]), array([0.67077465, 0.81217391]), array([1150,  568]))",0.7654249126891735,,0.23457508731082655,0.7654249126891735,8.102037019903333,0.47678870199610357,"(0.7654249126891735, 0.7654249126891735, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.83      0.81      0.67      0.82      0.74      0.57      1150
          1       0.64      0.67      0.81      0.65      0.74      0.52       568

avg / total       0.77      0.77      0.72      0.77      0.74      0.55      1718
",0.5369298100629565,"(array([0.        , 0.18782609, 1.        ]), array([0.        , 0.67077465, 1.        ]), array([2, 1, 0]))",0.7654249126891735,[0 1 1 ... 1 1 1],"[[934 216]
 [187 381]]",,0.4771269989740147,rbf,0.7654249126891735,0.7654249126891735,True,0.1,0.7654249126891735,[0.81217391 0.67077465],0.7414742804654012,0.7654249126891735,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.83      0.81      0.67      0.82      0.74      0.55      1150
          1       0.64      0.67      0.81      0.65      0.74      0.54       568

avg / total       0.77      0.77      0.72      0.77      0.74      0.55      1718
","[[-0.97286846 -0.70249117 -0.32247624 ...  0.37679411 -0.47530506
  -0.81060665]
 [-1.65552047  0.12063518 -0.46166429 ...  1.89572922 -0.25383736
  -0.33860953]
 [-0.29021645 -0.69533355 -0.46166429 ... -0.91985782 -0.76598143
  -0.6357929 ]
 ...
 [-0.95025589 -0.13117036 -0.0673272  ... -0.0892478   0.70450753
   0.50277743]
 [-0.75365497  0.48038706 -0.01716121 ...  0.09329873 -0.12755514
  -1.17596126]
 [-1.09386877 -0.41126769 -0.45876169 ...  0.06127905 -0.53355751
   0.00795304]]","              precision    recall  f1-score   support

           0       0.83      0.81      0.82      1150
           1       0.64      0.67      0.65       568

    accuracy                           0.77      1718
   macro avg       0.74      0.74      0.74      1718
weighted avg       0.77      0.77      0.77      1718
"
45,HOS,0,1,0.8294060012247398,0.7140354823328111,0.6919014084507042,0.802608695652174,0.7452020443856295,0.4843967749377355,0.7660069848661234,393,923,227,175,1150,568,0.8406193078324226,0.6338709677419355,0.802608695652174,0.6919014084507042,0.8211743772241993,0.6616161616161615,2.6050385093167705,3.5052273996401326,0.30809859154929575,0.6919014084507042,-1,0.1,0.2339930151338766,[0.69190141 0.8026087 ],"(array([0.8026087 , 0.69190141]), array([0.69190141, 0.8026087 ]), array([1150,  568]))",0.7660069848661234,,0.2339930151338766,0.7660069848661234,8.081938078795547,0.48331368242131156,"(0.7660069848661234, 0.7660069848661234, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.80      0.69      0.82      0.75      0.57      1150
          1       0.63      0.69      0.80      0.66      0.75      0.54       568

avg / total       0.77      0.77      0.73      0.77      0.75      0.56      1718
",0.5404388463228958,"(array([0.       , 0.1973913, 1.       ]), array([0.        , 0.69190141, 1.        ]), array([2, 1, 0]))",0.7660069848661234,[0 1 1 ... 1 1 1],"[[923 227]
 [175 393]]",,0.4843967749377355,rbf,0.7660069848661234,0.7660069848661234,True,0.1,0.7660069848661234,[0.8026087  0.69190141],0.747255052051439,0.7660069848661234,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.80      0.69      0.82      0.75      0.56      1150
          1       0.63      0.69      0.80      0.66      0.75      0.55       568

avg / total       0.77      0.77      0.73      0.77      0.75      0.56      1718
","[[-0.96985577 -0.70059416 -0.31573542 ...  0.3817106  -0.48179379
  -0.81640951]
 [-1.65755564  0.12976721 -0.44807935 ...  1.8958829  -0.26393123
  -0.34070942]
 [-0.28215589 -0.69337363 -0.44807935 ... -0.91087551 -0.76773839
  -0.64022429]
 ...
 [ 0.43530875 -0.60957253 -0.22292368 ... -0.00821234 -0.54804623
   0.33445106]
 [ 0.39063746  0.03582775  0.16813563 ...  0.01240029  2.40039661
   1.80266794]
 [-0.99669491 -0.50180929 -0.24224677 ... -0.51927188 -0.74864231
  -1.10754534]]","              precision    recall  f1-score   support

           0       0.84      0.80      0.82      1150
           1       0.63      0.69      0.66       568

    accuracy                           0.77      1718
   macro avg       0.74      0.75      0.74      1718
weighted avg       0.77      0.77      0.77      1718
"
63,HOS,0,2,0.832242804654011,0.7218574233096338,0.6866197183098591,0.8078260869565217,0.744761250515521,0.48590052609960344,0.7677532013969732,390,929,221,178,1150,568,0.8392050587172538,0.6382978723404256,0.8078260869565217,0.6866197183098591,0.8232166592822331,0.6615776081424936,2.5777821201758666,3.572908036454017,0.31338028169014087,0.6866197183098591,-1,0.1,0.23224679860302677,[0.68661972 0.80782609],"(array([0.80782609, 0.68661972]), array([0.68661972, 0.80782609]), array([1150,  568]))",0.7677532013969731,,0.23224679860302677,0.7677532013969732,8.021623103958925,0.4851520099502338,"(0.7677532013969732, 0.7677532013969732, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.81      0.69      0.82      0.74      0.57      1150
          1       0.64      0.69      0.81      0.66      0.74      0.53       568

avg / total       0.77      0.77      0.73      0.77      0.74      0.56      1718
",0.5418767528012551,"(array([0.        , 0.19217391, 1.        ]), array([0.        , 0.68661972, 1.        ]), array([2, 1, 0]))",0.7677532013969732,[0 1 1 ... 1 1 1],"[[929 221]
 [178 390]]",,0.48590052609960344,rbf,0.7677532013969732,0.7677532013969732,True,0.1,0.7677532013969732,[0.80782609 0.68661972],0.7472229026331904,0.7677532013969732,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.81      0.69      0.82      0.74      0.56      1150
          1       0.64      0.69      0.81      0.66      0.74      0.55       568

avg / total       0.77      0.77      0.73      0.77      0.74      0.56      1718
","[[-0.97940475 -0.68862741 -0.31693518 ...  0.3710704  -0.48698677
  -0.81735655]
 [-1.66661332  0.11591752 -0.45524624 ...  1.88724374 -0.27208078
  -0.34229938]
 [-0.29219618 -0.68163137 -0.45524624 ... -0.92322392 -0.76905089
  -0.64140945]
 ...
 [-0.49132952 -0.26399275 -0.29249872 ...  0.20838327 -0.15992891
  -0.81108632]
 [-0.26522067 -0.35621722 -0.17431514 ...  0.14297104  0.13927775
  -0.90697401]
 [ 0.20024368 -0.75623156 -0.24548646 ... -0.41064762 -0.4176716
  -0.47825612]]","              precision    recall  f1-score   support

           0       0.84      0.81      0.82      1150
           1       0.64      0.69      0.66       568

    accuracy                           0.77      1718
   macro avg       0.74      0.75      0.74      1718
weighted avg       0.77      0.77      0.77      1718
"
54,HOS,0,3,0.8314467238211879,0.7227305879092321,0.6954225352112676,0.8078260869565217,0.7495201567677164,0.49365612426307304,0.770663562281723,395,929,221,173,1150,568,0.8430127041742287,0.6412337662337663,0.8078260869565217,0.6954225352112676,0.8250444049733568,0.6672297297297297,2.6522844935913548,3.6187145497418896,0.3045774647887324,0.6954225352112676,-1,0.1,0.22933643771827705,[0.69542254 0.80782609],"(array([0.80782609, 0.69542254]), array([0.69542254, 0.80782609]), array([1150,  568]))",0.770663562281723,,0.22933643771827705,0.770663562281723,7.921102800132062,0.49271248021487846,"(0.770663562281723, 0.770663562281723, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.81      0.70      0.83      0.75      0.58      1150
          1       0.64      0.70      0.81      0.67      0.75      0.54       568

avg / total       0.78      0.77      0.73      0.77      0.75      0.57      1718
",0.546626897989695,"(array([0.        , 0.19217391, 1.        ]), array([0.        , 0.69542254, 1.        ]), array([2, 1, 0]))",0.770663562281723,[0 1 1 ... 1 1 1],"[[929 221]
 [173 395]]",,0.49365612426307304,rbf,0.770663562281723,0.770663562281723,True,0.1,0.770663562281723,[0.80782609 0.69542254],0.7516243110838946,0.770663562281723,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.81      0.70      0.83      0.75      0.57      1150
          1       0.64      0.70      0.81      0.67      0.75      0.56       568

avg / total       0.78      0.77      0.73      0.77      0.75      0.56      1718
","[[-0.95818794 -0.71709783 -0.31569855 ...  0.36670859 -0.4909047
  -0.81620133]
 [-1.64055023  0.12656766 -0.45186788 ...  1.88138768 -0.27412054
  -0.34343566]
 [-1.23113285 -0.08618277 -0.34293241 ...  0.07116145  0.44397698
   1.16241054]
 ...
 [-0.61019142 -0.41654006  0.06137526 ... -0.88521006 -0.6442522
  -0.13134746]
 [-1.03111028  0.2551482  -0.20765369 ...  0.34001731  1.90345546
   0.0081354 ]
 [ 0.14806523  0.47711347 -0.32573926 ...  0.43667737 -0.55652829
   0.95034774]]","              precision    recall  f1-score   support

           0       0.84      0.81      0.83      1150
           1       0.64      0.70      0.67       568

    accuracy                           0.77      1718
   macro avg       0.74      0.75      0.75      1718
weighted avg       0.78      0.77      0.77      1718
"
27,HOS,0,4,0.8326500306184935,0.7221872415777748,0.6954225352112676,0.8034782608695652,0.7475004275323548,0.4885265497145188,0.7677532013969732,395,924,226,173,1150,568,0.8422971741112124,0.6360708534621579,0.8034782608695652,0.6954225352112676,0.822429906542056,0.6644238856181666,2.638009550138226,3.5386544933316713,0.3045774647887324,0.6954225352112676,-1,0.1,0.23224679860302677,[0.69542254 0.80347826],"(array([0.80347826, 0.69542254]), array([0.69542254, 0.80347826]), array([1150,  568]))",0.7677532013969731,,0.23224679860302677,0.7677532013969732,8.02162543107601,0.4873927459869014,"(0.7677532013969732, 0.7677532013969732, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.80      0.70      0.82      0.75      0.58      1150
          1       0.64      0.70      0.80      0.66      0.75      0.54       568

avg / total       0.77      0.77      0.73      0.77      0.75      0.56      1718
",0.5430364921009885,"(array([0.        , 0.19652174, 1.        ]), array([0.        , 0.69542254, 1.        ]), array([2, 1, 0]))",0.7677532013969732,[1 1 0 ... 1 1 1],"[[924 226]
 [173 395]]",,0.4885265497145188,rbf,0.7677532013969732,0.7677532013969732,True,0.1,0.7677532013969732,[0.80347826 0.69542254],0.7494503980404164,0.7677532013969732,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.80      0.70      0.82      0.75      0.56      1150
          1       0.64      0.70      0.80      0.66      0.75      0.55       568

avg / total       0.77      0.77      0.73      0.77      0.75      0.56      1718
","[[-0.30177722 -0.69383115 -0.43119826 ... -0.91136674 -0.77729833
  -0.65093166]
 [-1.2633574  -0.08587738 -0.3282776  ...  0.06378044  0.44548646
   1.22177287]
 [ 1.07190876 -0.75820272 -0.12243627 ... -0.62243425  0.05147803
  -0.57820527]
 ...
 [ 0.11032858 -0.47722197  0.99870498 ... -0.8884882  -0.65775313
   0.2984947 ]
 [-0.17355461 -0.09255357 -0.12243627 ... -0.42219789 -0.06867796
   0.67553369]
 [-0.87883355  2.48255128 -0.28625504 ...  0.98510846  0.85733396
   1.49990117]]","              precision    recall  f1-score   support

           0       0.84      0.80      0.82      1150
           1       0.64      0.70      0.66       568

    accuracy                           0.77      1718
   macro avg       0.74      0.75      0.74      1718
weighted avg       0.77      0.77      0.77      1718
"
18,HOS,0,5,0.8304301898346601,0.7226964591202719,0.6919014084507042,0.8034782608695652,0.7456056198521941,0.4854193632340532,0.7665890570430733,393,924,226,175,1150,568,0.8407643312101911,0.6348949919224556,0.8034782608695652,0.6919014084507042,0.8216985326811916,0.6621735467565291,2.6078608695652177,3.520737255390751,0.30809859154929575,0.6919014084507042,-1,0.1,0.23341094295692666,[0.69190141 0.80347826],"(array([0.80347826, 0.69190141]), array([0.69190141, 0.80347826]), array([1150,  568]))",0.7665890570430733,,0.23341094295692666,0.7665890570430733,8.061833552606757,0.48437446204649115,"(0.7665890570430733, 0.7665890570430733, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.80      0.69      0.82      0.75      0.57      1150
          1       0.63      0.69      0.80      0.66      0.75      0.54       568

avg / total       0.77      0.77      0.73      0.77      0.75      0.56      1718
",0.5411473700956853,"(array([0.        , 0.19652174, 1.        ]), array([0.        , 0.69190141, 1.        ]), array([2, 1, 0]))",0.7665890570430733,[0 1 1 ... 1 1 1],"[[924 226]
 [175 393]]",,0.4854193632340532,rbf,0.7665890570430733,0.7665890570430733,True,0.1,0.7665890570430733,[0.80347826 0.69190141],0.7476898346601347,0.7665890570430733,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.80      0.69      0.82      0.75      0.56      1150
          1       0.63      0.69      0.80      0.66      0.75      0.55       568

avg / total       0.77      0.77      0.73      0.77      0.75      0.56      1718
","[[-0.97069807 -0.71853496 -0.33233293 ...  0.37340352 -0.48750173
  -0.82614058]
 [-1.64921521  0.11500951 -0.47102136 ...  1.89361747 -0.2672326
  -0.34636324]
 [-0.29218092 -0.71128675 -0.47102136 ... -0.9243401  -0.77660497
  -0.64844527]
 ...
 [-0.77615504 -0.52783299 -0.39255405 ...  1.07525556  1.17732843
  -0.08138854]
 [-0.27475329 -0.58733485 -0.04112676 ... -0.07937848  2.77651988
   0.88691536]
 [-1.23072565 -0.43752609  0.78390068 ... -0.22295988 -0.25029117
  -0.25394093]]","              precision    recall  f1-score   support

           0       0.84      0.80      0.82      1150
           1       0.63      0.69      0.66       568

    accuracy                           0.77      1718
   macro avg       0.74      0.75      0.74      1718
weighted avg       0.77      0.77      0.77      1718
"
0,HOS,0,6,0.8284001837109614,0.7194162323414311,0.7077464788732394,0.7965217391304348,0.7508231857205491,0.4912951727971454,0.7671711292200233,402,916,234,166,1150,568,0.8465804066543438,0.6320754716981132,0.7965217391304348,0.7077464788732394,0.8207885304659498,0.6677740863787376,2.725447878470403,3.478241242325749,0.2922535211267606,0.7077464788732394,-1,0.1,0.23282887077997672,[0.70774648 0.79652174],"(array([0.79652174, 0.70774648]), array([0.70774648, 0.79652174]), array([1150,  568]))",0.7671711292200233,,0.23282887077997672,0.7671711292200233,8.041733215228717,0.4894411193067335,"(0.7671711292200233, 0.7671711292200233, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.85      0.80      0.71      0.82      0.75      0.58      1150
          1       0.63      0.71      0.80      0.67      0.75      0.55       568

avg / total       0.78      0.77      0.74      0.77      0.75      0.57      1718
",0.5439731708501718,"(array([0.        , 0.20347826, 1.        ]), array([0.        , 0.70774648, 1.        ]), array([2, 1, 0]))",0.7671711292200233,[0 1 1 ... 1 1 1],"[[916 234]
 [166 402]]",,0.4912951727971454,rbf,0.7671711292200233,0.7671711292200233,True,0.1,0.7671711292200233,[0.79652174 0.70774648],0.7521341090018371,0.7671711292200233,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.85      0.80      0.71      0.82      0.75      0.57      1150
          1       0.63      0.71      0.80      0.67      0.75      0.56       568

avg / total       0.78      0.77      0.74      0.77      0.75      0.57      1718
","[[-9.63729469e-01 -7.08702341e-01 -3.12265843e-01 ...  3.67288575e-01
  -4.82144748e-01 -8.09142741e-01]
 [-1.64143644e+00  1.23540382e-01 -4.43472968e-01 ...  1.86951189e+00
  -2.62403274e-01 -3.31212986e-01]
 [-2.86022494e-01 -7.01465448e-01 -4.43472968e-01 ... -9.15097178e-01
  -7.70555433e-01 -6.32131720e-01]
 ...
 [ 4.20519271e-01 -7.05223124e-01 -1.20869416e-01 ... -3.94348248e-01
   4.04942412e-01 -6.21813249e-01]
 [ 2.71860571e-01 -2.89278401e-01 -2.32932972e-01 ...  2.38026113e-01
  -7.34194428e-05  1.55674394e+00]
 [ 1.06939146e+00  3.35484466e-01  2.20295503e-02 ... -4.23061848e-01
  -5.95936078e-01 -1.35282378e+00]]","              precision    recall  f1-score   support

           0       0.85      0.80      0.82      1150
           1       0.63      0.71      0.67       568

    accuracy                           0.77      1718
   macro avg       0.74      0.75      0.74      1718
weighted avg       0.78      0.77      0.77      1718
"
9,HOS,0,7,0.8298591549295775,0.7169582103192476,0.7024647887323944,0.7965217391304348,0.7480163602482369,0.48662585994762797,0.7654249126891735,399,916,234,169,1150,568,0.8442396313364056,0.6303317535545023,0.7965217391304348,0.7024647887323944,0.8196868008948546,0.6644462947543713,2.677067146899923,3.4522842181292885,0.2975352112676056,0.7024647887323944,-1,0.1,0.23457508731082655,[0.70246479 0.79652174],"(array([0.79652174, 0.70246479]), array([0.70246479, 0.79652174]), array([1150,  568]))",0.7654249126891735,,0.23457508731082655,0.7654249126891735,8.102045397524838,0.4849437968204846,"(0.7654249126891735, 0.7654249126891735, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.80      0.70      0.82      0.75      0.58      1150
          1       0.63      0.70      0.80      0.66      0.75      0.54       568

avg / total       0.77      0.77      0.73      0.77      0.75      0.56      1718
",0.5411560599965233,"(array([0.        , 0.20347826, 1.        ]), array([0.        , 0.70246479, 1.        ]), array([2, 1, 0]))",0.7654249126891735,[0 1 1 ... 1 1 1],"[[916 234]
 [169 399]]",,0.48662585994762797,rbf,0.7654249126891735,0.7654249126891735,True,0.1,0.7654249126891735,[0.79652174 0.70246479],0.7494932639314146,0.7654249126891735,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.80      0.70      0.82      0.75      0.56      1150
          1       0.63      0.70      0.80      0.66      0.75      0.55       568

avg / total       0.77      0.77      0.73      0.77      0.75      0.56      1718
","[[-0.97296402 -0.71104813 -0.31744274 ...  0.36224896 -0.49544297
  -0.81967076]
 [-1.65865496  0.12949463 -0.45055297 ...  1.85778981 -0.27743246
  -0.3385415 ]
 [-0.28727307 -0.70373907 -0.45055297 ... -0.91443226 -0.78158177
  -0.64147474]
 ...
 [-0.83582583 -0.46735017 -0.13982611 ... -0.40394657 -0.20881574
   0.2973285 ]
 [-0.97296402  0.03902565 -0.2151123  ... -0.15862647  1.31086209
  -0.82689823]
 [-1.38437858 -0.47256562 -0.45055297 ... -0.53610817  0.64211905
   1.49829272]]","              precision    recall  f1-score   support

           0       0.84      0.80      0.82      1150
           1       0.63      0.70      0.66       568

    accuracy                           0.77      1718
   macro avg       0.74      0.75      0.74      1718
weighted avg       0.77      0.77      0.77      1718
"
81,HOS,0,8,0.8321968769136558,0.7180126025736819,0.6778169014084507,0.811304347826087,0.7415630783302808,0.48229113107823646,0.7671711292200233,385,933,217,183,1150,568,0.8360215053763441,0.6395348837209303,0.811304347826087,0.6778169014084507,0.823477493380406,0.6581196581196582,2.518146828225232,3.592117219445707,0.32218309859154926,0.6778169014084507,-1,0.1,0.23282887077997672,[0.6778169  0.81130435],"(array([0.81130435, 0.6778169 ]), array([0.6778169 , 0.81130435]), array([1150,  568]))",0.7671711292200233,,0.23282887077997672,0.7671711292200233,8.041725303030631,0.48182308993898304,"(0.7671711292200233, 0.7671711292200233, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.81      0.68      0.82      0.74      0.57      1150
          1       0.64      0.68      0.81      0.66      0.74      0.53       568

avg / total       0.77      0.77      0.72      0.77      0.74      0.56      1718
",0.5400067616081742,"(array([0.        , 0.18869565, 1.        ]), array([0.       , 0.6778169, 1.       ]), array([2, 1, 0]))",0.7671711292200233,[0 1 1 ... 1 1 1],"[[933 217]
 [183 385]]",,0.48229113107823646,rbf,0.7671711292200233,0.7671711292200233,True,0.1,0.7671711292200233,[0.81130435 0.6778169 ],0.7445606246172689,0.7671711292200233,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.81      0.68      0.82      0.74      0.56      1150
          1       0.64      0.68      0.81      0.66      0.74      0.54       568

avg / total       0.77      0.77      0.72      0.77      0.74      0.55      1718
","[[-0.96619292 -0.70237304 -0.30185988 ...  0.36862623 -0.48735091
  -0.82567391]
 [-1.65510732  0.11937792 -0.42540453 ...  1.8760106  -0.26696101
  -0.34606316]
 [-0.27727852 -0.69522738 -0.42540453 ... -0.91816531 -0.77661265
  -0.6480403 ]
 ...
 [-0.53570627 -0.52462033  0.02140512 ... -0.29931004  0.0412829
   0.09062676]
 [-0.63625747 -0.29619107 -0.17006508 ... -1.00719597 -0.58521167
   0.68561965]
 [-0.69565301 -0.5367196  -0.16843508 ... -0.21461132  0.25924269
   0.28857663]]","              precision    recall  f1-score   support

           0       0.84      0.81      0.82      1150
           1       0.64      0.68      0.66       568

    accuracy                           0.77      1718
   macro avg       0.74      0.74      0.74      1718
weighted avg       0.77      0.77      0.77      1718
"
72,HOS,0,9,0.8318769136558481,0.7202201507893733,0.6919014084507042,0.8043478260869565,0.7460089769927889,0.4864434475638674,0.7671711292200233,393,925,225,175,1150,568,0.8409090909090909,0.6359223300970874,0.8043478260869565,0.6919014084507042,0.8222222222222223,0.6627318718381112,2.610683229813665,3.536384976525822,0.30809859154929575,0.6919014084507042,-1,0.1,0.23282887077997672,[0.69190141 0.80434783],"(array([0.80434783, 0.69190141]), array([0.69190141, 0.80434783]), array([1150,  568]))",0.7671711292200233,,0.23282887077997672,0.7671711292200233,8.041729026417967,0.4854361662298765,"(0.7671711292200233, 0.7671711292200233, None)","                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.80      0.69      0.82      0.75      0.58      1150
          1       0.64      0.69      0.80      0.66      0.75      0.54       568

avg / total       0.77      0.77      0.73      0.77      0.75      0.56      1718
",0.5418581868256682,"(array([0.        , 0.19565217, 1.        ]), array([0.        , 0.69190141, 1.        ]), array([2, 1, 0]))",0.7671711292200233,[0 1 1 ... 1 1 1],"[[925 225]
 [175 393]]",,0.4864434475638674,rbf,0.7671711292200233,0.7671711292200233,True,0.1,0.7671711292200233,[0.80434783 0.69190141],0.7481246172688304,0.7671711292200233,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.80      0.69      0.82      0.75      0.56      1150
          1       0.64      0.69      0.80      0.66      0.75      0.55       568

avg / total       0.77      0.77      0.73      0.77      0.75      0.56      1718
","[[-0.97673025 -0.69835968 -0.34599865 ...  0.36645979 -0.48471753
  -0.80252157]
 [-1.65153872  0.11856815 -0.49438229 ...  1.87180418 -0.26423464
  -0.33246096]
 [-0.30192177 -0.69125596 -0.49438229 ... -0.9185903  -0.77410133
  -0.62842505]
 ...
 [-0.47627666  0.77714066  0.39591216 ... -0.47491238 -0.36585705
   0.58156524]
 [ 0.09747415 -0.25937364 -0.26766538 ... -0.54359329 -0.27969623
   0.66059728]
 [-0.43688346 -0.47717668 -0.3324407  ... -0.78623359  2.15052625
  -0.8953579 ]]","              precision    recall  f1-score   support

           0       0.84      0.80      0.82      1150
           1       0.64      0.69      0.66       568

    accuracy                           0.77      1718
   macro avg       0.74      0.75      0.74      1718
weighted avg       0.77      0.77      0.77      1718
"
