,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,imb_sens,gamma,prec_score,matthews_corrcoef,hinge_loss,imb_sens_spec_supp_micro,f1_score,confusion_matrix,log_loss,probability,imb_sens_spec_supp,C,max_iter,imb_spec,imb_spec_micro,kernel,zero_one_loss,y,rec_score,cohen_kappa_score,avg_prec_score,roc_curve,pr_curve,roc_auc_score,hamming_loss,accuracy,imb_report_0.1,bal_report,fbeta_score,imb_report_0.3,imb_sens_micro,X
36,HOS,0,0,0.8475872627066748,0.7334754591516961,0.6795774647887324,0.8478260869565217,0.7590543476956472,0.5290759593588431,0.7922002328288708,386,975,175,182,1150,568,0.8426966292134831,0.6880570409982175,0.8478260869565217,0.6795774647887324,0.8452535760728218,0.6837909654561559,2.6459627329192545,4.465794768611669,0.3204225352112676,0.6795774647887324,[0.84782609 0.67957746],0.1,0.7922002328288708,0.5290759593588431,,"(0.7922002328288708, 0.7922002328288708, None)",0.7922002328288708,"[[975 175]
 [182 386]]",7.177231142336087,True,"(array([0.84782609, 0.67957746]), array([0.67957746, 0.84782609]), array([1150,  568]))",0.1,-1,[0.67957746 0.84782609],0.7922002328288708,rbf,0.20779976717112925,[0 1 1 ... 1 1 1],0.7922002328288708,0.5290534013756925,0.573525195756495,"(array([0.        , 0.15217391, 1.        ]), array([0.        , 0.67957746, 1.        ]), array([2, 1, 0]))",,0.7637017758726271,0.20779976717112922,0.7922002328288708,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.85      0.68      0.85      0.76      0.59      1150
          1       0.69      0.68      0.85      0.68      0.76      0.57       568

avg / total       0.79      0.79      0.74      0.79      0.76      0.58      1718
","              precision    recall  f1-score   support

           0       0.84      0.85      0.85      1150
           1       0.69      0.68      0.68       568

    accuracy                           0.79      1718
   macro avg       0.77      0.76      0.76      1718
weighted avg       0.79      0.79      0.79      1718
",0.7922002328288708,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.85      0.68      0.85      0.76      0.61      1150
          1       0.69      0.68      0.85      0.68      0.76      0.55       568

avg / total       0.79      0.79      0.74      0.79      0.76      0.59      1718
",0.7922002328288708,"[[-0.96124935 -0.70490637 -0.32873332 ...  0.50773402 -0.48725301
  -0.81132323]
 [-1.64171999  0.12708282 -0.46935826 ... -0.23209786 -0.26635926
  -0.34028546]
 [-0.28077871 -0.69767168 -0.46935826 ...  0.58993756 -0.77717606
  -0.6368648 ]
 ...
 [ 1.0352313  -0.30686024 -0.0447466  ... -0.06769078 -0.58363021
   0.00520536]
 [-0.96124935 -0.33793958  0.22130244 ...  0.59955288 -0.02299403
   0.84364586]
 [-0.80555149  1.75232207 -0.37298543 ...  0.08419149 -0.34965377
  -0.30969419]]"
45,HOS,0,1,0.8429210042865891,0.7297167521165212,0.6830985915492958,0.8339130434782609,0.7547481867978131,0.5145436949441823,0.7840512223515715,388,959,191,180,1150,568,0.8419666374012291,0.6701208981001727,0.8339130434782609,0.6830985915492958,0.8379204892966361,0.6765475152571927,2.6314589371980674,4.112897278961729,0.31690140845070425,0.6830985915492958,[0.83391304 0.68309859],0.1,0.7840512223515715,0.5145436949441823,,"(0.7840512223515715, 0.7840512223515715, None)",0.7840512223515715,"[[959 191]
 [180 388]]",7.458695439825978,True,"(array([0.83391304, 0.68309859]), array([0.68309859, 0.83391304]), array([1150,  568]))",0.1,-1,[0.68309859 0.83391304],0.7840512223515715,rbf,0.21594877764842846,[0 1 1 ... 1 1 1],0.7840512223515715,0.514490380118251,0.5625316335109667,"(array([0.        , 0.16608696, 1.        ]), array([0.        , 0.68309859, 1.        ]), array([2, 1, 0]))",,0.7585058175137783,0.2159487776484284,0.7840512223515715,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.83      0.68      0.84      0.75      0.58      1150
          1       0.67      0.68      0.83      0.68      0.75      0.56       568

avg / total       0.79      0.78      0.73      0.78      0.75      0.57      1718
","              precision    recall  f1-score   support

           0       0.84      0.83      0.84      1150
           1       0.67      0.68      0.68       568

    accuracy                           0.78      1718
   macro avg       0.76      0.76      0.76      1718
weighted avg       0.79      0.78      0.78      1718
",0.7840512223515715,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.83      0.68      0.84      0.75      0.60      1150
          1       0.67      0.68      0.83      0.68      0.75      0.54       568

avg / total       0.79      0.78      0.73      0.78      0.75      0.58      1718
",0.7840512223515715,"[[-9.63697183e-01 -6.97200548e-01 -3.13011164e-01 ...  5.13947909e-01
  -4.88934411e-01 -8.12728151e-01]
 [-1.64511010e+00  1.26081560e-01 -4.43796470e-01 ... -2.19455974e-01
  -2.66646584e-01 -3.35871673e-01]
 [-1.23626235e+00 -8.15287110e-02 -3.39168226e-01 ... -1.37966653e-01
   4.69681845e-01  1.18300452e+00]
 ...
 [ 5.34078033e-02 -6.60352042e-01 -2.58016188e-01 ... -7.41046779e-04
  -7.28182307e-01 -1.17712989e-02]
 [ 2.92525286e-01  4.98518478e-01 -2.19415385e-01 ...  5.95437229e-01
  -2.19107863e-01  4.09626974e-02]
 [-2.83334862e-02 -5.09020350e-02  1.05421584e+00 ... -2.34163141e-01
  -6.38708270e-01  4.64315588e-01]]"
63,HOS,0,2,0.8428276178812003,0.7302443454333881,0.6883802816901409,0.828695652173913,0.7552865327005859,0.5126837216141769,0.7823050058207218,391,953,197,177,1150,568,0.8433628318584071,0.6649659863945578,0.828695652173913,0.6883802816901409,0.8359649122807017,0.6764705882352942,2.659317121100467,4.018463573318082,0.31161971830985913,0.6883802816901409,[0.82869565 0.68838028],0.1,0.7823050058207218,0.5126837216141769,,"(0.7823050058207218, 0.7823050058207218, None)",0.7823050058207218,"[[953 197]
 [177 391]]",7.519010414662598,True,"(array([0.82869565, 0.68838028]), array([0.68838028, 0.82869565]), array([1150,  568]))",0.1,-1,[0.68838028 0.82869565],0.7823050058207218,rbf,0.21769499417927818,[0 1 1 ... 1 1 1],0.7823050058207218,0.5125094837789445,0.5607762483487878,"(array([0.        , 0.17130435, 1.        ]), array([0.        , 0.68838028, 1.        ]), array([2, 1, 0]))",,0.758537966932027,0.21769499417927823,0.7823050058207218,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.83      0.69      0.84      0.76      0.58      1150
          1       0.66      0.69      0.83      0.68      0.76      0.56       568

avg / total       0.78      0.78      0.73      0.78      0.76      0.57      1718
","              precision    recall  f1-score   support

           0       0.84      0.83      0.84      1150
           1       0.66      0.69      0.68       568

    accuracy                           0.78      1718
   macro avg       0.75      0.76      0.76      1718
weighted avg       0.78      0.78      0.78      1718
",0.7823050058207218,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.83      0.69      0.84      0.76      0.59      1150
          1       0.66      0.69      0.83      0.68      0.76      0.55       568

avg / total       0.78      0.78      0.73      0.78      0.76      0.58      1718
",0.7823050058207218,"[[-0.95516298 -0.7038458  -0.31005739 ...  0.50063908 -0.48441624
  -0.8064    ]
 [-1.63133617  0.12563305 -0.44014564 ... -0.22415256 -0.26704712
  -0.33500511]
 [-0.27898979 -0.69663294 -0.44014564 ...  0.58117148 -0.76971321
  -0.6318093 ]
 ...
 [ 0.08462653 -0.41886393 -0.02503503 ... -0.27962175  1.56184245
  -0.65122711]
 [-1.66856304  0.29748541 -0.23427021 ...  1.25302749  3.16433661
   4.10219698]
 [-1.04459554 -0.51723805 -0.27732961 ...  0.66946305 -0.35274539
   0.87474278]]"
54,HOS,0,3,0.8442988364972442,0.7317652530722595,0.6848591549295775,0.8269565217391305,0.7525614557242243,0.5074681467654221,0.779976717112922,389,951,199,179,1150,568,0.8415929203539823,0.6615646258503401,0.8269565217391305,0.6848591549295775,0.8342105263157895,0.6730103806228374,2.6240854991498668,3.957728784768916,0.3151408450704225,0.6848591549295775,[0.82695652 0.68485915],0.1,0.779976717112922,0.5074681467654221,,"(0.779976717112922, 0.779976717112922, None)",0.779976717112922,"[[951 199]
 [179 389]]",7.599427588570924,True,"(array([0.82695652, 0.68485915]), array([0.68485915, 0.82695652]), array([1150,  568]))",0.1,-1,[0.68485915 0.82695652],0.779976717112922,rbf,0.22002328288707795,[1 1 1 ... 1 1 1],0.779976717112922,0.5072956814664198,0.5572695102652057,"(array([0.        , 0.17304348, 1.        ]), array([0.        , 0.68485915, 1.        ]), array([2, 1, 0]))",,0.7559078383343539,0.220023282887078,0.779976717112922,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.83      0.68      0.83      0.75      0.57      1150
          1       0.66      0.68      0.83      0.67      0.75      0.56       568

avg / total       0.78      0.78      0.73      0.78      0.75      0.57      1718
","              precision    recall  f1-score   support

           0       0.84      0.83      0.83      1150
           1       0.66      0.68      0.67       568

    accuracy                           0.78      1718
   macro avg       0.75      0.76      0.75      1718
weighted avg       0.78      0.78      0.78      1718
",0.779976717112922,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.83      0.68      0.83      0.75      0.59      1150
          1       0.66      0.68      0.83      0.67      0.75      0.54       568

avg / total       0.78      0.78      0.73      0.78      0.75      0.57      1718
",0.779976717112922,"[[-1.65403912  0.12558083 -0.45152486 ... -0.21551598 -0.26642031
  -0.32905694]
 [-0.28824957 -0.70178052 -0.45152486 ...  0.58481244 -0.7701145
  -0.62661591]
 [-1.24430225 -0.08488828 -0.34603042 ... -0.13548313  0.45508758
   1.17624139]
 ...
 [-0.46252654 -0.0934046  -0.18991032 ...  0.60967902 -0.58659059
   1.61034167]
 [ 0.42539668  1.0361167  -0.0417442  ... -0.57168699 -0.37789553
  -0.34418223]
 [ 0.01952789 -0.25958731 -0.24133662 ...  0.49558785  3.69835819
   1.96864824]]"
27,HOS,0,4,0.843108542559706,0.7251862289403037,0.6813380281690141,0.8165217391304348,0.7458735225869495,0.4916663846544169,0.7718277066356228,387,939,211,181,1150,568,0.8383928571428572,0.6471571906354515,0.8165217391304348,0.6813380281690141,0.8273127753303965,0.6638078902229846,2.5623444631275527,3.713453708030172,0.3186619718309859,0.6813380281690141,[0.81652174 0.68133803],0.1,0.7718277066356228,0.4916663846544169,,"(0.7718277066356228, 0.7718277066356228, None)",0.7718277066356228,"[[939 211]
 [181 387]]",7.880890024367147,True,"(array([0.81652174, 0.68133803]), array([0.68133803, 0.81652174]), array([1150,  568]))",0.1,-1,[0.68133803 0.81652174],0.7718277066356228,rbf,0.22817229336437717,[0 1 1 ... 1 1 1],0.7718277066356228,0.4912936413215899,0.5462878682108968,"(array([0.        , 0.18347826, 1.        ]), array([0.        , 0.68133803, 1.        ]), array([2, 1, 0]))",,0.7489298836497245,0.2281722933643772,0.7718277066356228,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.82      0.68      0.83      0.75      0.56      1150
          1       0.65      0.68      0.82      0.66      0.75      0.55       568

avg / total       0.78      0.77      0.73      0.77      0.75      0.56      1718
","              precision    recall  f1-score   support

           0       0.84      0.82      0.83      1150
           1       0.65      0.68      0.66       568

    accuracy                           0.77      1718
   macro avg       0.74      0.75      0.75      1718
weighted avg       0.78      0.77      0.77      1718
",0.7718277066356228,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.82      0.68      0.83      0.75      0.58      1150
          1       0.65      0.68      0.82      0.66      0.75      0.53       568

avg / total       0.78      0.77      0.73      0.77      0.75      0.56      1718
",0.7718277066356228,"[[-0.97749158 -0.70006644 -0.31229662 ...  0.52234068 -0.49373608
  -0.79949608]
 [-0.29683307 -0.69285924 -0.44129452 ...  0.60671788 -0.78067579
  -0.62375739]
 [-1.24975499 -0.08024709 -0.3380962  ... -0.15267698  0.44906584
   1.18635103]
 ...
 [ 0.46667499 -0.49141909 -0.09543226 ... -0.03466981 -0.74542406
   0.01288404]
 [-0.79817304 -0.53259667 -0.44129452 ...  0.04783323 -0.96667836
  -0.37460676]
 [ 0.5548809  -0.23464042 -0.11563832 ...  0.0949852  -0.63007072
  -0.35770008]]"
18,HOS,0,5,0.8376844764237599,0.7235507082363415,0.6602112676056338,0.8417391304347827,0.7454700921550185,0.5044756209082565,0.7817229336437719,375,968,182,193,1150,568,0.8337639965546942,0.6732495511669659,0.8417391304347827,0.6602112676056338,0.837732583297274,0.6666666666666667,2.4772426222122097,4.1716646030026325,0.33978873239436624,0.6602112676056338,[0.84173913 0.66021127],0.1,0.7817229336437719,0.5044756209082565,,"(0.7817229336437719, 0.7817229336437719, None)",0.7817229336437719,"[[968 182]
 [193 375]]",7.539107494076719,True,"(array([0.84173913, 0.66021127]), array([0.66021127, 0.84173913]), array([1150,  568]))",0.1,-1,[0.66021127 0.84173913],0.7817229336437719,rbf,0.21827706635622812,[0 1 1 ... 1 1 1],0.7817229336437719,0.5044223144958684,0.5568268697422053,"(array([0.        , 0.15826087, 1.        ]), array([0.        , 0.66021127, 1.        ]), array([2, 1, 0]))",,0.7509751990202082,0.21827706635622818,0.7817229336437719,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.83      0.84      0.66      0.84      0.75      0.57      1150
          1       0.67      0.66      0.84      0.67      0.75      0.55       568

avg / total       0.78      0.78      0.72      0.78      0.75      0.56      1718
","              precision    recall  f1-score   support

           0       0.83      0.84      0.84      1150
           1       0.67      0.66      0.67       568

    accuracy                           0.78      1718
   macro avg       0.75      0.75      0.75      1718
weighted avg       0.78      0.78      0.78      1718
",0.7817229336437719,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.83      0.84      0.66      0.84      0.75      0.59      1150
          1       0.67      0.66      0.84      0.67      0.75      0.53       568

avg / total       0.78      0.78      0.72      0.78      0.75      0.57      1718
",0.7817229336437719,"[[-0.96342067 -0.7120603  -0.31351339 ...  0.51672202 -0.48488649
  -0.82645734]
 [-1.64074642  0.12302537 -0.44390306 ... -0.21481977 -0.26152238
  -0.3452591 ]
 [-0.28609493 -0.70479868 -0.44390306 ...  0.59800445 -0.77805189
  -0.64823577]
 ...
 [ 1.26241151 -0.65133874  0.08080354 ... -0.34514927 -0.83268457
   0.33291156]
 [-0.8510455  -0.56790093 -0.28026393 ...  0.35415718  0.46866306
   0.44179178]
 [-0.07539155 -0.35517477  0.43599221 ...  0.48362311 -0.01230663
   0.53537951]]"
0,HOS,0,6,0.8423606858542559,0.7304341086405814,0.6971830985915493,0.8226086956521739,0.7573036903139554,0.5129274957103286,0.7811408614668219,396,946,204,172,1150,568,0.8461538461538461,0.66,0.8226086956521739,0.6971830985915493,0.8342151675485008,0.678082191780822,2.7165217391304344,3.9301988400994188,0.30281690140845074,0.6971830985915493,[0.8226087 0.6971831],0.1,0.7811408614668219,0.5129274957103286,,"(0.7811408614668219, 0.7811408614668219, None)",0.7811408614668219,"[[946 204]
 [172 396]]",7.559221794157263,True,"(array([0.8226087, 0.6971831]), array([0.6971831, 0.8226087]), array([1150,  568]))",0.1,-1,[0.6971831 0.8226087],0.7811408614668219,rbf,0.21885913853317807,[0 1 1 ... 1 1 1],0.7811408614668219,0.5124858115777525,0.5602572595058125,"(array([0.       , 0.1773913, 1.       ]), array([0.       , 0.6971831, 1.       ]), array([2, 1, 0]))",,0.7598958971218616,0.21885913853317812,0.7811408614668219,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.85      0.82      0.70      0.83      0.76      0.58      1150
          1       0.66      0.70      0.82      0.68      0.76      0.57       568

avg / total       0.78      0.78      0.74      0.78      0.76      0.58      1718
","              precision    recall  f1-score   support

           0       0.85      0.82      0.83      1150
           1       0.66      0.70      0.68       568

    accuracy                           0.78      1718
   macro avg       0.75      0.76      0.76      1718
weighted avg       0.78      0.78      0.78      1718
",0.7811408614668219,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.85      0.82      0.70      0.83      0.76      0.60      1150
          1       0.66      0.70      0.82      0.68      0.76      0.55       568

avg / total       0.78      0.78      0.74      0.78      0.76      0.58      1718
",0.7811408614668219,"[[-0.9731331  -0.70157668 -0.33233143 ...  0.5129142  -0.48483417
  -0.81098269]
 [-1.65627354  0.13026539 -0.47302229 ... -0.23152535 -0.26713644
  -0.33588757]
 [-0.28999265 -0.69434327 -0.47302229 ...  0.5956297  -0.77056244
  -0.63502154]
 ...
 [-0.83650501  0.3737154   1.43927676 ...  1.09192274  0.68061511
  -0.45287296]
 [ 0.75141865 -0.27539498  0.13219139 ... -0.11756277 -0.55548608
   0.00416943]
 [-0.14550718 -0.50278511 -0.188734   ...  0.15826761 -0.79816589
   0.15224994]]"
9,HOS,0,7,0.844324862216779,0.7338875118255567,0.6654929577464789,0.8408695652173913,0.7480593385791782,0.5079682090382975,0.7828870779976718,378,967,183,190,1150,568,0.8357821953327571,0.6737967914438503,0.8408695652173913,0.6654929577464789,0.8383181621153013,0.6696191319751993,2.513757437070938,4.182059570537982,0.3345070422535211,0.6654929577464789,[0.84086957 0.66549296],0.1,0.7828870779976718,0.5079682090382975,,"(0.7828870779976718, 0.7828870779976718, None)",0.7828870779976718,"[[967 183]
 [190 378]]",7.498899837969389,True,"(array([0.84086957, 0.66549296]), array([0.66549296, 0.84086957]), array([1150,  568]))",0.1,-1,[0.66549296 0.84086957],0.7828870779976718,rbf,0.21711292200232823,[0 1 1 ... 1 1 1],0.7828870779976718,0.50794655101718,0.5590007332785443,"(array([0.        , 0.15913043, 1.        ]), array([0.        , 0.66549296, 1.        ]), array([2, 1, 0]))",,0.7531812614819352,0.2171129220023283,0.7828870779976718,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.84      0.67      0.84      0.75      0.57      1150
          1       0.67      0.67      0.84      0.67      0.75      0.55       568

avg / total       0.78      0.78      0.72      0.78      0.75      0.56      1718
","              precision    recall  f1-score   support

           0       0.84      0.84      0.84      1150
           1       0.67      0.67      0.67       568

    accuracy                           0.78      1718
   macro avg       0.75      0.75      0.75      1718
weighted avg       0.78      0.78      0.78      1718
",0.7828870779976717,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.84      0.67      0.84      0.75      0.59      1150
          1       0.67      0.67      0.84      0.67      0.75      0.53       568

avg / total       0.78      0.78      0.72      0.78      0.75      0.57      1718
",0.7828870779976718,"[[-0.97352    -0.72548597 -0.31415757 ...  0.51881116 -0.49362915
  -0.8290769 ]
 [-1.65991991  0.11690309 -0.44268829 ... -0.2278884  -0.27230934
  -0.34438849]
 [-0.28712009 -0.71816085 -0.44268829 ...  0.60177778 -0.7841114
  -0.64956268]
 ...
 [-0.40193855 -0.30242667 -0.18983284 ... -0.49715054  0.07161225
  -1.06424232]
 [ 1.03891877 -0.69509816  0.04280973 ... -0.04782492  0.81217936
   1.47355777]
 [-0.49644762  2.39002939  2.86653805 ...  0.65767684 -0.19314052
   0.0926839 ]]"
81,HOS,0,8,0.8430036742192285,0.7311346589659942,0.7024647887323944,0.8260869565217391,0.7617722752815503,0.5217736520080035,0.7852153667054714,399,950,200,169,1150,568,0.8489722966934763,0.666110183639399,0.8260869565217391,0.7024647887323944,0.8373732921992066,0.6838046272493573,2.7764342680730643,4.039172535211268,0.2975352112676056,0.7024647887323944,[0.82608696 0.70246479],0.1,0.7852153667054714,0.5217736520080035,,"(0.7852153667054714, 0.7852153667054714, None)",0.7852153667054714,"[[950 200]
 [169 399]]",7.418491507105985,True,"(array([0.82608696, 0.70246479]), array([0.70246479, 0.82608696]), array([1150,  568]))",0.1,-1,[0.70246479 0.82608696],0.7852153667054714,rbf,0.21478463329452857,[0 1 1 ... 1 1 1],0.7852153667054714,0.5213516333671087,0.5662891473272871,"(array([0.        , 0.17391304, 1.        ]), array([0.        , 0.70246479, 1.        ]), array([2, 1, 0]))",,0.7642758726270668,0.21478463329452852,0.7852153667054714,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.85      0.83      0.70      0.84      0.76      0.59      1150
          1       0.67      0.70      0.83      0.68      0.76      0.57       568

avg / total       0.79      0.79      0.74      0.79      0.76      0.58      1718
","              precision    recall  f1-score   support

           0       0.85      0.83      0.84      1150
           1       0.67      0.70      0.68       568

    accuracy                           0.79      1718
   macro avg       0.76      0.76      0.76      1718
weighted avg       0.79      0.79      0.79      1718
",0.7852153667054714,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.85      0.83      0.70      0.84      0.76      0.60      1150
          1       0.67      0.70      0.83      0.68      0.76      0.56       568

avg / total       0.79      0.79      0.74      0.79      0.76      0.59      1718
",0.7852153667054714,"[[-0.96819432 -0.70786174 -0.3175248  ...  0.50424589 -0.49440998
  -0.80774744]
 [-1.65061896  0.11506383 -0.4502753  ... -0.2280227  -0.2755872
  -0.33925416]
 [-0.28576968 -0.70070587 -0.4502753  ...  0.58560907 -0.78161489
  -0.63423141]
 ...
 [-0.6860119  -0.58409125 -0.33159975 ... -0.30389396  0.47068524
  -0.59504392]
 [-1.42313077 -0.62597046  0.33244342 ...  1.76991383  0.28971566
  -0.21201585]
 [ 0.44202967 -0.00177132  0.29298713 ... -0.20140348 -0.78222947
   0.00182584]]"
72,HOS,0,9,0.8434905082669932,0.7308102799737416,0.6778169014084507,0.831304347826087,0.7506478116739242,0.5066909736794883,0.780558789289872,385,956,194,183,1150,568,0.839332748024583,0.6649395509499136,0.831304347826087,0.6778169014084507,0.8352992573176059,0.6713164777680907,2.5802233309574722,4.01798678669958,0.32218309859154926,0.6778169014084507,[0.83130435 0.6778169 ],0.1,0.780558789289872,0.5066909736794883,,"(0.780558789289872, 0.780558789289872, None)",0.7805587892898719,"[[956 194]
 [183 385]]",7.579321200688467,True,"(array([0.83130435, 0.6778169 ]), array([0.6778169 , 0.83130435]), array([1150,  568]))",0.1,-1,[0.6778169  0.83130435],0.780558789289872,rbf,0.219441210710128,[0 1 1 ... 1 1 1],0.780558789289872,0.5066384725190851,0.5572264744306364,"(array([0.        , 0.16869565, 1.        ]), array([0.       , 0.6778169, 1.       ]), array([2, 1, 0]))",,0.7545606246172688,0.21944121071012807,0.780558789289872,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.83      0.68      0.84      0.75      0.57      1150
          1       0.66      0.68      0.83      0.67      0.75      0.55       568

avg / total       0.78      0.78      0.73      0.78      0.75      0.57      1718
","              precision    recall  f1-score   support

           0       0.84      0.83      0.84      1150
           1       0.66      0.68      0.67       568

    accuracy                           0.78      1718
   macro avg       0.75      0.75      0.75      1718
weighted avg       0.78      0.78      0.78      1718
",0.780558789289872,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.84      0.83      0.68      0.84      0.75      0.59      1150
          1       0.66      0.68      0.83      0.67      0.75      0.54       568

avg / total       0.78      0.78      0.73      0.78      0.75      0.57      1718
",0.780558789289872,"[[-0.98137486 -0.71259794 -0.31952372 ...  0.50681029 -0.47922392
  -0.81588817]
 [-1.66593865  0.13411669 -0.45519804 ... -0.2113334  -0.26089939
  -0.33283842]
 [-0.29681106 -0.7052352  -0.45519804 ...  0.58660404 -0.76577486
  -0.63698086]
 ...
 [-0.09354228  0.03239379 -0.10733389 ...  0.38834378  0.30287305
   0.83133993]
 [ 2.03707514 -0.27716895  0.62115157 ... -0.13153965 -0.53570942
  -1.28146334]
 [ 0.17088206 -0.4219249  -0.34886308 ... -0.31593754 -0.48667628
   0.47833235]]"
