,id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,imb_sens_micro,imb_sens,confusion_matrix,imb_sens_spec_supp,cohen_kappa_score,imb_report_0.3,y,avg_prec_score,imb_report_0.1,imb_spec_micro,hamming_loss,C,max_iter,log_loss,gamma,rec_score,accuracy,roc_auc_score,f1_score,imb_spec,roc_curve,hinge_loss,zero_one_loss,prec_score,probability,imb_sens_spec_supp_micro,pr_curve,kernel,matthews_corrcoef,bal_report,X,fbeta_score
36,HOS,0,0,0.716956265818333,0.5359279723789342,0.6814701378254211,0.645447219983884,0.6632141478899951,0.3114320059989131,0.6578669482576558,445,801,440,208,1241,653,0.7938553022794846,0.5028248587570622,0.645447219983884,0.6814701378254211,0.712,0.5786736020806242,2.026331897353251,1.9220555478212447,0.3185298621745789,0.6814701378254211,0.6578669482576558,[0.64544722 0.68147014],"[[801 440]
 [208 445]]","(array([0.64544722, 0.68147014]), array([0.68147014, 0.64544722]), array([1241,  653]))",0.30153736536528786,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.65      0.68      0.71      0.66      0.44      1241
          1       0.50      0.68      0.65      0.58      0.66      0.44       653

avg / total       0.69      0.66      0.67      0.67      0.66      0.44      1894
",[0 1 0 ... 1 1 1],0.45248061154367925,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.65      0.68      0.71      0.66      0.44      1241
          1       0.50      0.68      0.65      0.58      0.66      0.44       653

avg / total       0.69      0.66      0.67      0.67      0.66      0.44      1894
",0.6578669482576558,0.34213305174234426,0.1,-1,11.817042727968008,0.1,0.6578669482576558,0.6578669482576558,0.6634586789046526,0.6578669482576558,[0.68147014 0.64544722],"(array([0.        , 0.35455278, 1.        ]), array([0.        , 0.68147014, 1.        ]), array([2, 1, 0]))",,0.3421330517423442,0.6578669482576558,True,"(0.6578669482576558, 0.6578669482576558, None)",,rbf,0.3114320059989131,"              precision    recall  f1-score   support

           0       0.79      0.65      0.71      1241
           1       0.50      0.68      0.58       653

    accuracy                           0.66      1894
   macro avg       0.65      0.66      0.65      1894
weighted avg       0.69      0.66      0.67      1894
","[[ 1.31340911e+00 -1.61181905e-01 -2.08934534e-02 -3.81180551e-01
   6.83248091e-04  7.65023238e-01]
 [ 1.11325075e+00 -5.05722065e-01 -2.34064183e-01 -3.91419439e-01
  -4.70194109e-01  6.83374748e-01]
 [-2.10873783e-01 -3.53719053e-01 -1.00832477e-01  3.78092748e+00
  -8.98800639e-01 -2.01150558e-01]
 ...
 [-6.16842772e-01 -2.81245255e-01 -1.77736259e-01 -5.85958314e-01
  -7.55176629e-01  5.03363916e-01]
 [ 1.97656949e+00  7.69978135e-01 -1.87962101e-01 -1.89242824e-01
  -7.41293700e-01 -2.28586950e-01]
 [-4.98475291e-01  9.95019763e-01 -1.48887786e-01  8.42243120e-01
  -6.98192165e-01  1.65072180e+00]]",0.6578669482576558
45,HOS,0,1,0.7170784317838823,0.5336421010613173,0.7136294027565084,0.6172441579371475,0.6636893699492485,0.31453087598610646,0.6504751847940866,466,766,475,187,1241,653,0.8037775445960126,0.4952178533475027,0.6172441579371475,0.7136294027565084,0.6982680036463081,0.5846925972396487,2.1554033964329267,1.8644507133070043,0.28637059724349156,0.7136294027565084,0.6504751847940866,[0.61724416 0.7136294 ],"[[766 475]
 [187 466]]","(array([0.61724416, 0.7136294 ]), array([0.7136294 , 0.61724416]), array([1241,  653]))",0.29957264718533705,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.62      0.71      0.70      0.66      0.43      1241
          1       0.50      0.71      0.62      0.58      0.66      0.45       653

avg / total       0.70      0.65      0.68      0.66      0.66      0.44      1894
",[0 1 1 ... 1 1 1],0.45213486146784093,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.62      0.71      0.70      0.66      0.44      1241
          1       0.50      0.71      0.62      0.58      0.66      0.44       653

avg / total       0.70      0.65      0.68      0.66      0.66      0.44      1894
",0.6504751847940866,0.3495248152059134,0.1,-1,12.07235996948797,0.1,0.6504751847940866,0.6504751847940866,0.665436780346828,0.6504751847940866,[0.7136294  0.61724416],"(array([0.        , 0.38275584, 1.        ]), array([0.       , 0.7136294, 1.       ]), array([2, 1, 0]))",,0.3495248152059134,0.6504751847940866,True,"(0.6504751847940866, 0.6504751847940866, None)",,rbf,0.31453087598610646,"              precision    recall  f1-score   support

           0       0.80      0.62      0.70      1241
           1       0.50      0.71      0.58       653

    accuracy                           0.65      1894
   macro avg       0.65      0.67      0.64      1894
weighted avg       0.70      0.65      0.66      1894
","[[ 1.35554826 -0.1476946  -0.02662271 -0.37932239 -0.00250772  0.77807388]
 [ 1.15203334 -0.43680116 -0.2271157  -0.38948653 -0.47108754  0.69589951]
 [-0.74613467 -0.03290229 -0.1268692  -0.43268415  0.19509796 -0.16008348]
 ...
 [-0.54462868 -0.24980762  1.13462471 -0.48110832  0.25120728  0.47812891]
 [ 1.34354985 -0.37300226  0.07257587 -0.48992577 -0.83350842  0.22528689]
 [ 1.62302914  1.39645887 -0.14750111 -0.45285867 -0.43096574  0.17552755]]",0.6504751847940866
63,HOS,0,2,0.7183371114289346,0.5417896358979297,0.7029096477794793,0.6228847703464948,0.6616885328698515,0.30976547841424673,0.6504751847940866,459,773,468,194,1241,653,0.7993795243019648,0.49514563106796117,0.6228847703464948,0.7029096477794793,0.7001811594202899,0.5810126582278481,2.0966172940013457,1.8639121215690895,0.2970903522205207,0.7029096477794793,0.6504751847940866,[0.62288477 0.70290965],"[[773 468]
 [194 459]]","(array([0.62288477, 0.70290965]), array([0.70290965, 0.62288477]), array([1241,  653]))",0.2963367451278386,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.62      0.70      0.70      0.66      0.43      1241
          1       0.50      0.70      0.62      0.58      0.66      0.45       653

avg / total       0.69      0.65      0.68      0.66      0.66      0.43      1894
",[0 1 0 ... 1 1 1],0.45047136341441557,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.62      0.70      0.70      0.66      0.43      1241
          1       0.50      0.70      0.62      0.58      0.66      0.44       653

avg / total       0.69      0.65      0.68      0.66      0.66      0.44      1894
",0.6504751847940866,0.3495248152059134,0.1,-1,12.072357014270434,0.1,0.6504751847940866,0.6504751847940866,0.6628972090629871,0.6504751847940866,[0.70290965 0.62288477],"(array([0.        , 0.37711523, 1.        ]), array([0.        , 0.70290965, 1.        ]), array([2, 1, 0]))",,0.3495248152059134,0.6504751847940866,True,"(0.6504751847940866, 0.6504751847940866, None)",,rbf,0.30976547841424673,"              precision    recall  f1-score   support

           0       0.80      0.62      0.70      1241
           1       0.50      0.70      0.58       653

    accuracy                           0.65      1894
   macro avg       0.65      0.66      0.64      1894
weighted avg       0.69      0.65      0.66      1894
","[[ 1.33187954 -0.14853482 -0.03182306 -0.38493801 -0.00644371  0.80963637]
 [ 1.13099168 -0.44179393 -0.22465348 -0.39509933 -0.47165067  0.7244455 ]
 [-0.19795877 -0.31241491 -0.10413447  3.74563974 -0.89509583 -0.19845556]
 ...
 [-0.35349663 -0.09678322 -0.09286929 -0.40592396 -0.65923005 -1.10901184]
 [-0.59211249  0.07178503 -0.07452944 -0.33348293 -0.90815747  0.04349442]
 [ 0.04869227 -0.35820938 -0.13195411 -0.51390745 -0.84653957 -0.59814388]]",0.6504751847940866
54,HOS,0,3,0.7143802915447578,0.5326111296475343,0.669218989280245,0.6559226430298146,0.6625374617441941,0.3102698526842113,0.660506863780359,437,814,427,216,1241,653,0.7902912621359224,0.5057870370370371,0.6559226430298146,0.669218989280245,0.7168648172611185,0.5761371127224786,1.982951323604023,1.9449666643952788,0.33078101071975496,0.669218989280245,0.660506863780359,[0.65592264 0.66921899],"[[814 427]
 [216 437]]","(array([0.65592264, 0.66921899]), array([0.66921899, 0.65592264]), array([1241,  653]))",0.30202187740355135,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.66      0.67      0.72      0.66      0.44      1241
          1       0.51      0.67      0.66      0.58      0.66      0.44       653

avg / total       0.69      0.66      0.66      0.67      0.66      0.44      1894
",[0 1 0 ... 1 1 1],0.45252664029775724,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.66      0.67      0.72      0.66      0.44      1241
          1       0.51      0.67      0.66      0.58      0.66      0.44       653

avg / total       0.69      0.66      0.66      0.67      0.66      0.44      1894
",0.660506863780359,0.33949313621964095,0.1,-1,11.725857787766769,0.1,0.660506863780359,0.660506863780359,0.6625708161550299,0.660506863780359,[0.66921899 0.65592264],"(array([0.        , 0.34407736, 1.        ]), array([0.        , 0.66921899, 1.        ]), array([2, 1, 0]))",,0.33949313621964095,0.660506863780359,True,"(0.660506863780359, 0.660506863780359, None)",,rbf,0.3102698526842113,"              precision    recall  f1-score   support

           0       0.79      0.66      0.72      1241
           1       0.51      0.67      0.58       653

    accuracy                           0.66      1894
   macro avg       0.65      0.66      0.65      1894
weighted avg       0.69      0.66      0.67      1894
","[[ 1.33193084 -0.1501103  -0.02173914 -0.38321625 -0.01143344  0.78982856]
 [ 1.12995669 -0.46458064 -0.22588988 -0.3934506  -0.47549708  0.70647887]
 [-0.20618003 -0.32584372 -0.09829566  3.77704592 -0.89790156 -0.1964761 ]
 ...
 [ 2.38512828  0.00462191 -0.05619517 -0.26888333 -0.56184528 -0.68207944]
 [ 1.14258462 -0.14998846  1.66284063 -0.46644373 -0.88051843 -0.70024641]
 [-0.12859142 -0.12651633 -0.29817063 -0.11960643  3.34653796  1.97262791]]",0.660506863780359
27,HOS,0,4,0.7170827507826643,0.5374752795117009,0.6830015313935681,0.6462530217566479,0.6643732411284423,0.31365849356845893,0.6589229144667371,446,802,439,207,1241,653,0.7948463825569871,0.503954802259887,0.6462530217566479,0.6830015313935681,0.712888888888889,0.5799739921976593,2.038662914043918,1.9307628712059637,0.3169984686064319,0.6830015313935681,0.6589229144667371,[0.64625302 0.68300153],"[[802 439]
 [207 446]]","(array([0.64625302, 0.68300153]), array([0.68300153, 0.64625302]), array([1241,  653]))",0.30369311423761725,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.65      0.68      0.71      0.66      0.44      1241
          1       0.50      0.68      0.65      0.58      0.66      0.45       653

avg / total       0.69      0.66      0.67      0.67      0.66      0.44      1894
",[0 1 0 ... 1 1 1],0.45349440433656113,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.65      0.68      0.71      0.66      0.44      1241
          1       0.50      0.68      0.65      0.58      0.66      0.44       653

avg / total       0.69      0.66      0.67      0.67      0.66      0.44      1894
",0.6589229144667371,0.34107708553326294,0.1,-1,11.780570525018033,0.1,0.6589229144667371,0.6589229144667371,0.664627276575108,0.6589229144667371,[0.68300153 0.64625302],"(array([0.        , 0.35374698, 1.        ]), array([0.        , 0.68300153, 1.        ]), array([2, 1, 0]))",,0.3410770855332629,0.6589229144667371,True,"(0.6589229144667371, 0.6589229144667371, None)",,rbf,0.31365849356845893,"              precision    recall  f1-score   support

           0       0.79      0.65      0.71      1241
           1       0.50      0.68      0.58       653

    accuracy                           0.66      1894
   macro avg       0.65      0.66      0.65      1894
weighted avg       0.69      0.66      0.67      1894
","[[ 1.30242454e+00 -1.53141104e-01 -2.18934943e-02 -3.84712724e-01
  -5.57757400e-04  8.50401040e-01]
 [ 1.10289647e+00 -4.57579017e-01 -2.41866658e-01 -3.94893477e-01
  -4.71837868e-01  7.61433225e-01]
 [-2.17058421e-01 -3.23268173e-01 -1.04383431e-01  3.75376327e+00
  -9.00810996e-01 -2.02384773e-01]
 ...
 [ 2.12503756e+00 -3.51308869e-01 -3.51853240e-01 -4.67498730e-01
  -7.60409411e-01  2.44929428e-01]
 [-8.48964424e-01 -2.53242372e-01 -1.96740951e-01 -5.13189972e-01
  -6.69544678e-01 -5.04903394e-01]
 [ 1.38308050e+00  2.07031299e-01 -1.57206007e-02 -5.41371621e-01
  -2.03279859e-01  4.28863727e-01]]",0.6589229144667371
18,HOS,0,5,0.715527294221303,0.5323753079277977,0.7013782542113323,0.6180499597099114,0.6583971459208506,0.3036828470599214,0.646779303062302,458,767,474,195,1241,653,0.7972972972972973,0.49141630901287553,0.6180499597099114,0.7013782542113323,0.6963231956423059,0.5779179810725551,2.069674993284985,1.8363088891904291,0.29862174578866774,0.7013782542113323,0.646779303062302,[0.61804996 0.70137825],"[[767 474]
 [195 458]]","(array([0.61804996, 0.70137825]), array([0.70137825, 0.61804996]), array([1241,  653]))",0.2900675594661132,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.62      0.70      0.70      0.66      0.42      1241
          1       0.49      0.70      0.62      0.58      0.66      0.44       653

avg / total       0.69      0.65      0.67      0.66      0.66      0.43      1894
",[0 1 0 ... 1 1 1],0.44762541829185487,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.62      0.70      0.70      0.66      0.43      1241
          1       0.49      0.70      0.62      0.58      0.66      0.44       653

avg / total       0.69      0.65      0.67      0.66      0.66      0.43      1894
",0.646779303062302,0.353220696937698,0.1,-1,12.20001078003018,0.1,0.646779303062302,0.646779303062302,0.6597141069606218,0.646779303062302,[0.70137825 0.61804996],"(array([0.        , 0.38195004, 1.        ]), array([0.        , 0.70137825, 1.        ]), array([2, 1, 0]))",,0.353220696937698,0.646779303062302,True,"(0.646779303062302, 0.646779303062302, None)",,rbf,0.3036828470599214,"              precision    recall  f1-score   support

           0       0.80      0.62      0.70      1241
           1       0.49      0.70      0.58       653

    accuracy                           0.65      1894
   macro avg       0.64      0.66      0.64      1894
weighted avg       0.69      0.65      0.66      1894
","[[ 1.36835819 -0.15108633 -0.02640706 -0.37899259 -0.00713509  0.76846591]
 [ 1.16321489 -0.48488119 -0.21885355 -0.38925994 -0.47737511  0.68659308]
 [-0.19388688 -0.33761875 -0.09857449  3.79468537 -0.90540151 -0.20036261]
 ...
 [ 0.81363913  5.31819081  0.07349034 -0.39474856 -0.79911624 -0.21797916]
 [ 0.54863867  0.62258392  0.2439884  -0.5382476  -0.75108916 -0.77996831]
 [ 0.11527816 -0.30936915 -0.14251431 -0.50675868  1.12096294  0.01810638]]",0.6467793030623019
0,HOS,0,6,0.7166502339046341,0.5341595000579102,0.6937212863705973,0.6341659951651893,0.66327554601273,0.31196425312667725,0.6546990496304118,453,787,454,200,1241,653,0.7973657548125633,0.4994487320837927,0.6341659951651893,0.6937212863705973,0.7064631956912029,0.5807692307692308,2.0705519742143434,1.8962733841099364,0.30627871362940273,0.6937212863705973,0.6546990496304118,[0.634166   0.69372129],"[[787 454]
 [200 453]]","(array([0.634166  , 0.69372129]), array([0.69372129, 0.634166  ]), array([1241,  653]))",0.30022179562939444,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.63      0.69      0.71      0.66      0.43      1241
          1       0.50      0.69      0.63      0.58      0.66      0.45       653

avg / total       0.69      0.65      0.67      0.66      0.66      0.44      1894
",[0 1 0 ... 1 1 1],0.4520748378054634,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.63      0.69      0.71      0.66      0.44      1241
          1       0.50      0.69      0.63      0.58      0.66      0.44       653

avg / total       0.69      0.65      0.67      0.66      0.66      0.44      1894
",0.6546990496304118,0.3453009503695882,0.1,-1,11.9264639807312,0.1,0.6546990496304118,0.6546990496304118,0.6639436407678933,0.6546990496304118,[0.69372129 0.634166  ],"(array([0.      , 0.365834, 1.      ]), array([0.        , 0.69372129, 1.        ]), array([2, 1, 0]))",,0.3453009503695882,0.6546990496304118,True,"(0.6546990496304118, 0.6546990496304118, None)",,rbf,0.31196425312667725,"              precision    recall  f1-score   support

           0       0.80      0.63      0.71      1241
           1       0.50      0.69      0.58       653

    accuracy                           0.65      1894
   macro avg       0.65      0.66      0.64      1894
weighted avg       0.69      0.65      0.66      1894
","[[ 1.33165081 -0.14382077 -0.03230729 -0.38728519  0.00421132  0.78941786]
 [ 1.13073245 -0.44815493 -0.22728106 -0.39728265 -0.46616171  0.70649209]
 [-0.19841977 -0.31388986 -0.10542245  3.67668434 -0.89430918 -0.19187035]
 ...
 [-0.72533882 -0.3898718  -0.18817565  2.22287136 -0.41633599  0.01480007]
 [ 1.026944   -0.13463152 -0.17503762 -0.31323554  3.16414964  1.23117525]
 [-0.0775926  -0.39268536 -0.19330581  0.47742111 -0.11156343  0.54043477]]",0.6546990496304118
9,HOS,0,7,0.7157599031557073,0.5313008419527976,0.7013782542113323,0.6261079774375503,0.6626752750502596,0.31141314050304425,0.6520591341077085,458,777,464,195,1241,653,0.7993827160493827,0.4967462039045553,0.6261079774375503,0.7013782542113323,0.702214188883868,0.5815873015873015,2.0966590218806167,1.8758845118022913,0.29862174578866774,0.7013782542113323,0.6520591341077085,[0.62610798 0.70137825],"[[777 464]
 [195 458]]","(array([0.62610798, 0.70137825]), array([0.70137825, 0.62610798]), array([1241,  653]))",0.29836788429820826,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.63      0.70      0.70      0.66      0.43      1241
          1       0.50      0.70      0.63      0.58      0.66      0.45       653

avg / total       0.70      0.65      0.68      0.66      0.66      0.44      1894
",[0 0 1 ... 1 1 1],0.45136369066611115,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.80      0.63      0.70      0.70      0.66      0.44      1241
          1       0.50      0.70      0.63      0.58      0.66      0.44       653

avg / total       0.70      0.65      0.68      0.66      0.66      0.44      1894
",0.6520591341077085,0.34794086589229145,0.1,-1,12.017647654410638,0.1,0.6520591341077085,0.6520591341077085,0.6637431158244413,0.6520591341077085,[0.70137825 0.62610798],"(array([0.        , 0.37389202, 1.        ]), array([0.        , 0.70137825, 1.        ]), array([2, 1, 0]))",,0.34794086589229145,0.6520591341077085,True,"(0.6520591341077085, 0.6520591341077085, None)",,rbf,0.31141314050304425,"              precision    recall  f1-score   support

           0       0.80      0.63      0.70      1241
           1       0.50      0.70      0.58       653

    accuracy                           0.65      1894
   macro avg       0.65      0.66      0.64      1894
weighted avg       0.70      0.65      0.66      1894
","[[ 1.32893254 -0.14676602 -0.02798228 -0.37931457  0.00404986  0.76762113]
 [-0.20070692 -0.32260734 -0.10376914  3.69602068 -0.9036138  -0.20566425]
 [-0.74535127 -0.02182614 -0.12903143 -0.43194805  0.20443025 -0.17139363]
 ...
 [ 0.1996692   0.05845382  0.02639031 -0.53906853 -0.88002305  0.3111041 ]
 [-0.70239684 -0.46142943  0.33971899 -0.44670877 -0.82987014 -0.21518723]
 [ 1.45626099  0.33761078  0.18337062  1.47349814 -0.24902684 -0.2417671 ]]",0.6520591341077085
81,HOS,0,8,0.7169118418308607,0.5355569543031458,0.6906584992343032,0.6309427880741337,0.6601257449259105,0.30595686552733187,0.6515311510031679,451,783,458,202,1241,653,0.7949238578680203,0.4961496149614962,0.6309427880741337,0.6906584992343032,0.7035040431266847,0.5774647887323944,2.0396318842198484,1.8714130950868346,0.3093415007656968,0.6906584992343032,0.6515311510031679,[0.63094279 0.6906585 ],"[[783 458]
 [202 451]]","(array([0.63094279, 0.6906585 ]), array([0.6906585 , 0.63094279]), array([1241,  653]))",0.29427067748976155,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.63      0.69      0.70      0.66      0.43      1241
          1       0.50      0.69      0.63      0.58      0.66      0.44       653

avg / total       0.69      0.65      0.67      0.66      0.66      0.43      1894
",[1 0 1 ... 1 1 1],0.4493225355821966,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.63      0.69      0.70      0.66      0.43      1241
          1       0.50      0.69      0.63      0.58      0.66      0.44       653

avg / total       0.69      0.65      0.67      0.66      0.66      0.43      1894
",0.6515311510031679,0.3484688489968321,0.1,-1,12.035881011755059,0.1,0.6515311510031679,0.6515311510031679,0.6608006436542186,0.6515311510031679,[0.6906585  0.63094279],"(array([0.        , 0.36905721, 1.        ]), array([0.       , 0.6906585, 1.       ]), array([2, 1, 0]))",,0.34846884899683206,0.6515311510031679,True,"(0.6515311510031679, 0.6515311510031679, None)",,rbf,0.30595686552733187,"              precision    recall  f1-score   support

           0       0.79      0.63      0.70      1241
           1       0.50      0.69      0.58       653

    accuracy                           0.65      1894
   macro avg       0.65      0.66      0.64      1894
weighted avg       0.69      0.65      0.66      1894
","[[ 1.07843691 -0.48019948 -0.23148109 -0.39418428 -0.47259301  0.75044371]
 [-0.20335483 -0.33483796 -0.10173992  3.72743015 -0.89936958 -0.19100056]
 [-0.72874039 -0.019888   -0.12768816 -0.43717045  0.19400068 -0.15479116]
 ...
 [-0.28905971 -0.10951078 -0.33527403 -0.60405539 -0.63336617 -0.10048066]
 [ 0.34399584 17.09337833  0.01842447 -0.42693615 -0.52111555  0.03539402]
 [ 0.69137521 -0.15435211 -0.16417471  1.48657489  0.40545047  2.61815906]]",0.6515311510031679
72,HOS,0,9,0.7143512925529355,0.542326772159797,0.6722817764165391,0.6446414182111201,0.658316548315967,0.30202034048579307,0.6541710665258712,439,800,441,214,1241,653,0.7889546351084813,0.49886363636363634,0.6446414182111201,0.6722817764165391,0.7095343680709536,0.5727332028701891,1.9670600284666424,1.8918405544964287,0.3277182235834609,0.6722817764165391,0.6541710665258712,[0.64464142 0.67228178],"[[800 441]
 [214 439]]","(array([0.64464142, 0.67228178]), array([0.67228178, 0.64464142]), array([1241,  653]))",0.29280900592969417,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.64      0.67      0.71      0.66      0.43      1241
          1       0.50      0.67      0.64      0.57      0.66      0.44       653

avg / total       0.69      0.65      0.66      0.66      0.66      0.43      1894
",[0 1 0 ... 1 1 1],0.44836531601585994,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.79      0.64      0.67      0.71      0.66      0.43      1241
          1       0.50      0.67      0.64      0.57      0.66      0.43       653

avg / total       0.69      0.65      0.66      0.66      0.66      0.43      1894
",0.6541710665258712,0.34582893347412885,0.1,-1,11.944694382858085,0.1,0.6541710665258712,0.6541710665258712,0.6584615973138295,0.6541710665258712,[0.67228178 0.64464142],"(array([0.        , 0.35535858, 1.        ]), array([0.        , 0.67228178, 1.        ]), array([2, 1, 0]))",,0.3458289334741288,0.6541710665258712,True,"(0.6541710665258712, 0.6541710665258712, None)",,rbf,0.30202034048579307,"              precision    recall  f1-score   support

           0       0.79      0.64      0.71      1241
           1       0.50      0.67      0.57       653

    accuracy                           0.65      1894
   macro avg       0.64      0.66      0.64      1894
weighted avg       0.69      0.65      0.66      1894
","[[ 1.30503806 -0.15264968 -0.03656908 -0.38190834 -0.01015602  0.81433719]
 [ 1.10733513 -0.50124101 -0.21765055 -0.39185163 -0.47783276  0.72789127]
 [-0.20054581 -0.34745071 -0.10447463  3.6600398  -0.90352599 -0.20860622]
 ...
 [ 0.55833454  2.42106264 -0.02810413 -0.51303039 -0.8992474  -0.69559486]
 [ 1.64388173  0.32412204 -0.12025589  0.63446645  0.95912255  0.64087098]
 [-0.20528207 -0.24492385 -0.00539744 -0.41670986 -0.75975858 -0.45329056]]",0.6541710665258711
